CED_NAME21	Age.min	persons
Banks	0	1706
Banks	1	1752
Banks	2	1826
Banks	3	1765
Banks	4	1810
Banks	5	1941
Banks	6	1827
Banks	7	1928
Banks	8	1878
Banks	9	2007
Banks	10	1874
Banks	11	1874
Banks	12	1837
Banks	13	1912
Banks	14	1840
Banks	15	1753
Banks	16	1851
Banks	17	1866
Banks	18	1826
Banks	19	1839
Banks	20	2047
Banks	21	2198
Banks	22	2360
Banks	23	2198
Banks	24	2222
Banks	25	2296
Banks	26	2242
Banks	27	2277
Banks	28	2291
Banks	29	2228
Banks	30	2245
Banks	31	2392
Banks	32	2302
Banks	33	2231
Banks	34	2256
Banks	35	2293
Banks	36	2362
Banks	37	2365
Banks	38	2375
Banks	39	2307
Banks	40	2243
Banks	41	2086
Banks	42	2071
Banks	43	1994
Banks	44	2128
Banks	45	1986
Banks	46	2121
Banks	47	2090
Banks	48	2123
Banks	49	2252
Banks	50	2142
Banks	51	2029
Banks	52	2013
Banks	53	2145
Banks	54	1910
Banks	55	2015
Banks	56	2088
Banks	57	2169
Banks	58	2163
Banks	59	2149
Banks	60	2211
Banks	61	2031
Banks	62	1825
Banks	63	2033
Banks	64	1940
Banks	65	1782
Banks	66	1788
Banks	67	1606
Banks	68	1627
Banks	69	1410
Banks	70	1463
Banks	71	1465
Banks	72	1377
Banks	73	1367
Banks	74	1280
Banks	75	1160
Banks	76	1077
Banks	77	1037
Banks	78	918
Banks	79	844
Banks	80	3820
Banks	85	2694
Banks	90	1393
Banks	95	371
Banks	100	58
Barton	0	2057
Barton	1	1983
Barton	2	1901
Barton	3	1945
Barton	4	1961
Barton	5	1868
Barton	6	1782
Barton	7	1800
Barton	8	1721
Barton	9	1863
Barton	10	1717
Barton	11	1736
Barton	12	1765
Barton	13	1749
Barton	14	1663
Barton	15	1609
Barton	16	1674
Barton	17	1556
Barton	18	1681
Barton	19	1739
Barton	20	2178
Barton	21	2721
Barton	22	2892
Barton	23	2874
Barton	24	3040
Barton	25	3350
Barton	26	3433
Barton	27	3457
Barton	28	3549
Barton	29	3678
Barton	30	3746
Barton	31	3646
Barton	32	3639
Barton	33	3464
Barton	34	3319
Barton	35	3250
Barton	36	3135
Barton	37	3124
Barton	38	3004
Barton	39	2763
Barton	40	2637
Barton	41	2533
Barton	42	2409
Barton	43	2208
Barton	44	2222
Barton	45	2242
Barton	46	2206
Barton	47	2256
Barton	48	2228
Barton	49	2346
Barton	50	2419
Barton	51	2127
Barton	52	2098
Barton	53	2079
Barton	54	1971
Barton	55	1996
Barton	56	2013
Barton	57	2079
Barton	58	2211
Barton	59	1899
Barton	60	1871
Barton	61	1919
Barton	62	1793
Barton	63	1724
Barton	64	1740
Barton	65	1648
Barton	66	1670
Barton	67	1681
Barton	68	1391
Barton	69	1449
Barton	70	1462
Barton	71	1353
Barton	72	1261
Barton	73	1359
Barton	74	1345
Barton	75	1172
Barton	76	1140
Barton	77	1044
Barton	78	934
Barton	79	890
Barton	80	4184
Barton	85	2759
Barton	90	1308
Barton	95	360
Barton	100	26
Bennelong	0	2031
Bennelong	1	2083
Bennelong	2	2046
Bennelong	3	2121
Bennelong	4	2286
Bennelong	5	2270
Bennelong	6	2308
Bennelong	7	2243
Bennelong	8	2450
Bennelong	9	2320
Bennelong	10	2162
Bennelong	11	2146
Bennelong	12	2084
Bennelong	13	2098
Bennelong	14	1979
Bennelong	15	1815
Bennelong	16	1883
Bennelong	17	1761
Bennelong	18	1883
Bennelong	19	1953
Bennelong	20	2220
Bennelong	21	2430
Bennelong	22	2391
Bennelong	23	2610
Bennelong	24	2784
Bennelong	25	2784
Bennelong	26	2875
Bennelong	27	3069
Bennelong	28	3093
Bennelong	29	3289
Bennelong	30	3427
Bennelong	31	3579
Bennelong	32	3626
Bennelong	33	3524
Bennelong	34	3510
Bennelong	35	3442
Bennelong	36	3429
Bennelong	37	3434
Bennelong	38	3604
Bennelong	39	3330
Bennelong	40	3153
Bennelong	41	2919
Bennelong	42	2880
Bennelong	43	2723
Bennelong	44	2413
Bennelong	45	2502
Bennelong	46	2382
Bennelong	47	2411
Bennelong	48	2292
Bennelong	49	2387
Bennelong	50	2418
Bennelong	51	2313
Bennelong	52	2128
Bennelong	53	2113
Bennelong	54	1956
Bennelong	55	2099
Bennelong	56	2174
Bennelong	57	2320
Bennelong	58	2293
Bennelong	59	2144
Bennelong	60	2101
Bennelong	61	2042
Bennelong	62	1943
Bennelong	63	1994
Bennelong	64	1977
Bennelong	65	1941
Bennelong	66	1812
Bennelong	67	1688
Bennelong	68	1669
Bennelong	69	1576
Bennelong	70	1527
Bennelong	71	1515
Bennelong	72	1375
Bennelong	73	1309
Bennelong	74	1362
Bennelong	75	1069
Bennelong	76	919
Bennelong	77	957
Bennelong	78	861
Bennelong	79	894
Bennelong	80	3866
Bennelong	85	2564
Bennelong	90	1409
Bennelong	95	422
Bennelong	100	54
Berowra	0	1100
Berowra	1	1292
Berowra	2	1435
Berowra	3	1485
