CED_NAME16	Age5yr	ChildrenEverBorn	females
Banks	15-19		328
Banks	15-19	0	4053
Banks	15-19	1	3
Banks	15-19	6	3
Banks	20-24		380
Banks	20-24	0	4749
Banks	20-24	1	123
Banks	20-24	2	38
Banks	20-24	3	9
Banks	25-29		400
Banks	25-29	0	4151
Banks	25-29	1	614
Banks	25-29	2	262
Banks	25-29	3	70
Banks	25-29	4	19
Banks	25-29	5	3
Banks	25-29	6	5
Banks	30-34		341
Banks	30-34	0	2590
Banks	30-34	1	1369
Banks	30-34	2	1038
Banks	30-34	3	324
Banks	30-34	4	87
Banks	30-34	5	18
Banks	30-34	6	9
Banks	35-39		320
Banks	35-39	0	1379
Banks	35-39	1	1283
Banks	35-39	2	2051
Banks	35-39	3	674
Banks	35-39	4	171
Banks	35-39	5	43
Banks	35-39	6	38
Banks	40-44		208
Banks	40-44	0	936
Banks	40-44	1	961
Banks	40-44	2	2171
Banks	40-44	3	859
Banks	40-44	4	244
Banks	40-44	5	60
Banks	40-44	6	48
Banks	45-49		236
Banks	45-49	0	856
Banks	45-49	1	902
Banks	45-49	2	2169
Banks	45-49	3	973
Banks	45-49	4	284
Banks	45-49	5	74
Banks	45-49	6	41
Banks	50-54		204
Banks	50-54	0	739
Banks	50-54	1	927
Banks	50-54	2	2142
Banks	50-54	3	939
Banks	50-54	4	283
Banks	50-54	5	93
Banks	50-54	6	45
Banks	55-59		187
Banks	55-59	0	739
Banks	55-59	1	1025
Banks	55-59	2	2109
Banks	55-59	3	885
Banks	55-59	4	323
Banks	55-59	5	83
Banks	55-59	6	54
Banks	60-64		222
Banks	60-64	0	669
Banks	60-64	1	1119
Banks	60-64	2	1804
Banks	60-64	3	914
Banks	60-64	4	318
Banks	60-64	5	95
Banks	60-64	6	64
Banks	65-69		220
Banks	65-69	0	513
Banks	65-69	1	858
Banks	65-69	2	1430
Banks	65-69	3	801
Banks	65-69	4	307
Banks	65-69	5	109
Banks	65-69	6	53
Banks	70-74		189
Banks	70-74	0	353
Banks	70-74	1	520
Banks	70-74	2	1394
Banks	70-74	3	763
Banks	70-74	4	299
Banks	70-74	5	76
Banks	70-74	6	43
Banks	75-79		224
Banks	75-79	0	245
Banks	75-79	1	279
Banks	75-79	2	986
Banks	75-79	3	603
Banks	75-79	4	239
Banks	75-79	5	72
Banks	75-79	6	51
Banks	80-84		230
Banks	80-84	0	127
Banks	80-84	1	179
Banks	80-84	2	800
Banks	80-84	3	487
Banks	80-84	4	219
Banks	80-84	5	78
Banks	80-84	6	83
Banks	85+		529
Banks	85+	0	165
Banks	85+	1	228
Banks	85+	2	731
Banks	85+	3	573
Banks	85+	4	300
Banks	85+	5	148
Banks	85+	6	125
Barton	15-19		301
Barton	15-19	0	3557
Barton	15-19	1	10
Barton	15-19	4	3
Barton	20-24		575
Barton	20-24	0	5699
Barton	20-24	1	147
Barton	20-24	2	30
Barton	20-24	3	5
Barton	25-29		744
Barton	25-29	0	6637
Barton	25-29	1	788
Barton	25-29	2	322
Barton	25-29	3	68
Barton	25-29	4	14
Barton	30-34		631
Barton	30-34	0	4904
Barton	30-34	1	1927
Barton	30-34	2	1055
Barton	30-34	3	276
Barton	30-34	4	76
Barton	30-34	5	13
Barton	30-34	6	10
Barton	35-39		431
Barton	35-39	0	2589
Barton	35-39	1	1757
Barton	35-39	2	1986
Barton	35-39	3	621
Barton	35-39	4	138
Barton	35-39	5	45
Barton	35-39	6	14
Barton	40-44		323
Barton	40-44	0	1491
Barton	40-44	1	1098
Barton	40-44	2	1960
Barton	40-44	3	749
Barton	40-44	4	201
Barton	40-44	5	74
Barton	40-44	6	24
Barton	45-49		296
Barton	45-49	0	1289
Barton	45-49	1	1035
Barton	45-49	2	1985
Barton	45-49	3	795
Barton	45-49	4	284
Barton	45-49	5	79
Barton	45-49	6	35
Barton	50-54		268
Barton	50-54	0	1112
Barton	50-54	1	1024
Barton	50-54	2	1966
Barton	50-54	3	793
Barton	50-54	4	265
Barton	50-54	5	90
Barton	50-54	6	41
Barton	55-59		252
Barton	55-59	0	918
Barton	55-59	1	994
Barton	55-59	2	1857
Barton	55-59	3	752
Barton	55-59	4	246
Barton	55-59	5	98
Barton	55-59	6	60
Barton	60-64		215
Barton	60-64	0	763
Barton	60-64	1	1066
Barton	60-64	2	1558
Barton	60-64	3	722
Barton	60-64	4	246
