CED_NAME16	Age	MaxSchoolingCompleted	Sex	adults
Banks	15-19		F	163
Banks	15-19		M	162
Banks	15-19	Did not go to school	F	3
Banks	15-19	Did not go to school	M	5
Banks	15-19	Year 8 or below	F	6
Banks	15-19	Year 8 or below	M	13
Banks	15-19	Year 9	F	20
Banks	15-19	Year 9	M	49
Banks	15-19	Year 10	F	142
Banks	15-19	Year 10	M	287
Banks	15-19	Year 11	F	110
Banks	15-19	Year 11	M	169
Banks	15-19	Year 12	F	1354
Banks	15-19	Year 12	M	1332
Banks	20-24		F	237
Banks	20-24		M	281
Banks	20-24	Did not go to school	F	12
Banks	20-24	Did not go to school	M	16
Banks	20-24	Year 8 or below	F	4
Banks	20-24	Year 8 or below	M	13
Banks	20-24	Year 9	F	14
Banks	20-24	Year 9	M	33
Banks	20-24	Year 10	F	180
Banks	20-24	Year 10	M	320
Banks	20-24	Year 11	F	126
Banks	20-24	Year 11	M	241
Banks	20-24	Year 12	F	4708
Banks	20-24	Year 12	M	4792
Banks	25-34		F	632
Banks	25-34		M	679
Banks	25-34	Did not go to school	F	71
Banks	25-34	Did not go to school	M	92
Banks	25-34	Year 8 or below	F	34
Banks	25-34	Year 8 or below	M	76
Banks	25-34	Year 9	F	79
Banks	25-34	Year 9	M	117
Banks	25-34	Year 10	F	574
Banks	25-34	Year 10	M	884
Banks	25-34	Year 11	F	276
Banks	25-34	Year 11	M	393
Banks	25-34	Year 12	F	9625
Banks	25-34	Year 12	M	9201
Banks	35-44		F	496
Banks	35-44		M	527
Banks	35-44	Did not go to school	F	71
Banks	35-44	Did not go to school	M	62
Banks	35-44	Year 8 or below	F	84
Banks	35-44	Year 8 or below	M	96
Banks	35-44	Year 9	F	151
Banks	35-44	Year 9	M	175
Banks	35-44	Year 10	F	731
Banks	35-44	Year 10	M	1009
Banks	35-44	Year 11	F	283
Banks	35-44	Year 11	M	353
Banks	35-44	Year 12	F	9620
Banks	35-44	Year 12	M	8554
Banks	45-54		F	403
Banks	45-54		M	368
Banks	45-54	Did not go to school	F	136
Banks	45-54	Did not go to school	M	89
Banks	45-54	Year 8 or below	F	191
Banks	45-54	Year 8 or below	M	165
Banks	45-54	Year 9	F	211
Banks	45-54	Year 9	M	227
Banks	45-54	Year 10	F	1627
Banks	45-54	Year 10	M	1818
Banks	45-54	Year 11	F	421
Banks	45-54	Year 11	M	451
Banks	45-54	Year 12	F	7910
Banks	45-54	Year 12	M	6766
Banks	55-64		F	423
Banks	55-64		M	443
Banks	55-64	Did not go to school	F	242
Banks	55-64	Did not go to school	M	137
Banks	55-64	Year 8 or below	F	451
Banks	55-64	Year 8 or below	M	371
Banks	55-64	Year 9	F	419
Banks	55-64	Year 9	M	370
Banks	55-64	Year 10	F	2564
Banks	55-64	Year 10	M	2442
Banks	55-64	Year 11	F	426
Banks	55-64	Year 11	M	406
Banks	55-64	Year 12	F	6055
Banks	55-64	Year 12	M	5808
Banks	65-74		F	426
Banks	65-74		M	401
Banks	65-74	Did not go to school	F	298
Banks	65-74	Did not go to school	M	191
Banks	65-74	Year 8 or below	F	813
Banks	65-74	Year 8 or below	M	593
Banks	65-74	Year 9	F	698
Banks	65-74	Year 9	M	532
Banks	65-74	Year 10	F	2168
Banks	65-74	Year 10	M	1586
Banks	65-74	Year 11	F	248
Banks	65-74	Year 11	M	230
Banks	65-74	Year 12	F	3253
Banks	65-74	Year 12	M	3672
Banks	75-84		F	509
Banks	75-84		M	348
Banks	75-84	Did not go to school	F	239
Banks	75-84	Did not go to school	M	162
Banks	75-84	Year 8 or below	F	807
Banks	75-84	Year 8 or below	M	555
Banks	75-84	Year 9	F	599
Banks	75-84	Year 9	M	420
Banks	75-84	Year 10	F	1355
Banks	75-84	Year 10	M	950
Banks	75-84	Year 11	F	110
Banks	75-84	Year 11	M	126
Banks	75-84	Year 12	F	1260
Banks	75-84	Year 12	M	1390
Banks	85+		F	587
Banks	85+		M	242
