CED_NAME16	EduInstitutionType	Sex	students
Banks		F	4802
Banks		M	4326
Banks	Infants/Primary	F	6011
Banks	Infants/Primary	M	6403
Banks	Pre-school	F	1457
Banks	Pre-school	M	1706
Banks	Secondary	F	5139
Banks	Secondary	M	5259
Banks	Technical or Further Educational Institution	F	2090
Banks	Technical or Further Educational Institution	M	2073
Banks	University or other tertiary	F	5026
Banks	University or other tertiary	M	4118
Barton		F	6580
Barton		M	6655
Barton	Infants/Primary	F	5583
Barton	Infants/Primary	M	5917
Barton	Pre-school	F	1567
Barton	Pre-school	M	1691
Barton	Secondary	F	4590
Barton	Secondary	M	4838
Barton	Technical or Further Educational Institution	F	3222
Barton	Technical or Further Educational Institution	M	3064
Barton	University or other tertiary	F	6148
Barton	University or other tertiary	M	5614
Bennelong		F	4812
Bennelong		M	4499
Bennelong	Infants/Primary	F	7305
Bennelong	Infants/Primary	M	7733
Bennelong	Pre-school	F	1793
Bennelong	Pre-school	M	2040
Bennelong	Secondary	F	5399
Bennelong	Secondary	M	5803
Bennelong	Technical or Further Educational Institution	F	2935
Bennelong	Technical or Further Educational Institution	M	2143
Bennelong	University or other tertiary	F	7486
Bennelong	University or other tertiary	M	6787
Berowra		F	2740
Berowra		M	2451
Berowra	Infants/Primary	F	6785
Berowra	Infants/Primary	M	7601
Berowra	Pre-school	F	1532
Berowra	Pre-school	M	1653
Berowra	Secondary	F	6328
Berowra	Secondary	M	6568
Berowra	Technical or Further Educational Institution	F	1694
Berowra	Technical or Further Educational Institution	M	1567
Berowra	University or other tertiary	F	4806
Berowra	University or other tertiary	M	4084
Blaxland		F	8851
Blaxland		M	10179
Blaxland	Infants/Primary	F	7750
Blaxland	Infants/Primary	M	8008
Blaxland	Pre-school	F	1657
Blaxland	Pre-school	M	1909
Blaxland	Secondary	F	6338
Blaxland	Secondary	M	6436
Blaxland	Technical or Further Educational Institution	F	2772
Blaxland	Technical or Further Educational Institution	M	2762
Blaxland	University or other tertiary	F	5553
Blaxland	University or other tertiary	M	5237
Bradfield		F	3230
Bradfield		M	2727
Bradfield	Infants/Primary	F	7899
Bradfield	Infants/Primary	M	8265
Bradfield	Pre-school	F	1787
Bradfield	Pre-school	M	1952
Bradfield	Secondary	F	7017
Bradfield	Secondary	M	7286
Bradfield	Technical or Further Educational Institution	F	1937
Bradfield	Technical or Further Educational Institution	M	1318
Bradfield	University or other tertiary	F	5988
Bradfield	University or other tertiary	M	5289
Calare		F	6066
Calare		M	8052
Calare	Infants/Primary	F	7051
Calare	Infants/Primary	M	7505
Calare	Pre-school	F	1722
Calare	Pre-school	M	1908
Calare	Secondary	F	5554
Calare	Secondary	M	5708
Calare	Technical or Further Educational Institution	F	2405
Calare	Technical or Further Educational Institution	M	1926
Calare	University or other tertiary	F	2849
Calare	University or other tertiary	M	1538
Chifley		F	8048
Chifley		M	7905
Chifley	Infants/Primary	F	9799
Chifley	Infants/Primary	M	10119
Chifley	Pre-school	F	2045
Chifley	Pre-school	M	2341
Chifley	Secondary	F	6925
Chifley	Secondary	M	7155
Chifley	Technical or Further Educational Institution	F	2982
Chifley	Technical or Further Educational Institution	M	2304
Chifley	University or other tertiary	F	4888
Chifley	University or other tertiary	M	3787
Cook		F	3910
Cook		M	3467
Cook	Infants/Primary	F	5459
Cook	Infants/Primary	M	5942
Cook	Pre-school	F	1520
Cook	Pre-school	M	1697
Cook	Secondary	F	4783
Cook	Secondary	M	4873
Cook	Technical or Further Educational Institution	F	1656
Cook	Technical or Further Educational Institution	M	1801
Cook	University or other tertiary	F	3745
Cook	University or other tertiary	M	2683
Cowper		F	6435
Cowper		M	6617
Cowper	Infants/Primary	F	6271
Cowper	Infants/Primary	M	6363
Cowper	Pre-school	F	1521
Cowper	Pre-school	M	1611
Cowper	Secondary	F	5154
Cowper	Secondary	M	5175
Cowper	Technical or Further Educational Institution	F	2446
Cowper	Technical or Further Educational Institution	M	1840
Cowper	University or other tertiary	F	2858
Cowper	University or other tertiary	M	1370
Cunningham		F	4390
Cunningham		M	4026
Cunningham	Infants/Primary	F	5918
Cunningham	Infants/Primary	M	6255
Cunningham	Pre-school	F	1764
Cunningham	Pre-school	M	1866
Cunningham	Secondary	F	4954
Cunningham	Secondary	M	5026
Cunningham	Technical or Further Educational Institution	F	2362
Cunningham	Technical or Further Educational Institution	M	2119
Cunningham	University or other tertiary	F	6256
Cunningham	University or other tertiary	M	4872
Dobell		F	5365
Dobell		M	4676
Dobell	Infants/Primary	F	6641
Dobell	Infants/Primary	M	7027
Dobell	Pre-school	F	1910
Dobell	Pre-school	M	2056
Dobell	Secondary	F	5304
Dobell	Secondary	M	5479
Dobell	Technical or Further Educational Institution	F	2363
Dobell	Technical or Further Educational Institution	M	1935
Dobell	University or other tertiary	F	3077
Dobell	University or other tertiary	M	1697
Eden-Monaro		F	5473
Eden-Monaro		M	5850
Eden-Monaro	Infants/Primary	F	6062
Eden-Monaro	Infants/Primary	M	6667
Eden-Monaro	Pre-school	F	1454
Eden-Monaro	Pre-school	M	1558
Eden-Monaro	Secondary	F	4856
Eden-Monaro	Secondary	M	5060
Eden-Monaro	Technical or Further Educational Institution	F	2089
Eden-Monaro	Technical or Further Educational Institution	M	1838
Eden-Monaro	University or other tertiary	F	2963
Eden-Monaro	University or other tertiary	M	1639
Farrer		F	7264
Farrer		M	7499
Farrer	Infants/Primary	F	6725
Farrer	Infants/Primary	M	7059
Farrer	Pre-school	F	1723
Farrer	Pre-school	M	1838
Farrer	Secondary	F	5528
Farrer	Secondary	M	5351
Farrer	Technical or Further Educational Institution	F	2361
Farrer	Technical or Further Educational Institution	M	1805
Farrer	University or other tertiary	F	2361
Farrer	University or other tertiary	M	1076
Fowler		F	7438
Fowler		M	7035
Fowler	Infants/Primary	F	6349
Fowler	Infants/Primary	M	6823
Fowler	Pre-school	F	1140
Fowler	Pre-school	M	1345
Fowler	Secondary	F	6055
Fowler	Secondary	M	6181
Fowler	Technical or Further Educational Institution	F	2559
Fowler	Technical or Further Educational Institution	M	2057
Fowler	University or other tertiary	F	4575
Fowler	University or other tertiary	M	3660
Gilmore		F	5670
Gilmore		M	6329
Gilmore	Infants/Primary	F	5524
Gilmore	Infants/Primary	M	5714
Gilmore	Pre-school	F	1423
Gilmore	Pre-school	M	1679
Gilmore	Secondary	F	4372
Gilmore	Secondary	M	4415
Gilmore	Technical or Further Educational Institution	F	1955
Gilmore	Technical or Further Educational Institution	M	1632
Gilmore	University or other tertiary	F	2195
Gilmore	University or other tertiary	M	1116
Grayndler		F	3992
Grayndler		M	4128
Grayndler	Infants/Primary	F	4845
Grayndler	Infants/Primary	M	5045
Grayndler	Pre-school	F	1332
Grayndler	Pre-school	M	1462
Grayndler	Secondary	F	3673
Grayndler	Secondary	M	3890
Grayndler	Technical or Further Educational Institution	F	1954
Grayndler	Technical or Further Educational Institution	M	1704
Grayndler	University or other tertiary	F	5934
Grayndler	University or other tertiary	M	4502
Greenway		F	5264
Greenway		M	6837
Greenway	Infants/Primary	F	10126
Greenway	Infants/Primary	M	10622
Greenway	Pre-school	F	2414
Greenway	Pre-school	M	2573
Greenway	Secondary	F	6995
Greenway	Secondary	M	7381
Greenway	Technical or Further Educational Institution	F	2800
Greenway	Technical or Further Educational Institution	M	2373
Greenway	University or other tertiary	F	5701
Greenway	University or other tertiary	M	4512
Hughes		F	2988
Hughes		M	2819
Hughes	Infants/Primary	F	6793
Hughes	Infants/Primary	M	7201
Hughes	Pre-school	F	1839
Hughes	Pre-school	M	2034
Hughes	Secondary	F	5573
Hughes	Secondary	M	5672
Hughes	Technical or Further Educational Institution	F	1819
Hughes	Technical or Further Educational Institution	M	1936
Hughes	University or other tertiary	F	3929
Hughes	University or other tertiary	M	2765
Hume		F	4795
Hume		M	5103
Hume	Infants/Primary	F	7669
Hume	Infants/Primary	M	8122
Hume	Pre-school	F	2156
Hume	Pre-school	M	2327
Hume	Secondary	F	5849
Hume	Secondary	M	5908
Hume	Technical or Further Educational Institution	F	2226
Hume	Technical or Further Educational Institution	M	2140
Hume	University or other tertiary	F	3226
Hume	University or other tertiary	M	1665
Hunter		F	4740
Hunter		M	6611
Hunter	Infants/Primary	F	7225
Hunter	Infants/Primary	M	7568
Hunter	Pre-school	F	1950
Hunter	Pre-school	M	2081
Hunter	Secondary	F	5295
Hunter	Secondary	M	5345
Hunter	Technical or Further Educational Institution	F	2542
Hunter	Technical or Further Educational Institution	M	2015
Hunter	University or other tertiary	F	2963
Hunter	University or other tertiary	M	1576
Kingsford Smith		F	6334
Kingsford Smith		M	7188
Kingsford Smith	Infants/Primary	F	5781
Kingsford Smith	Infants/Primary	M	5989
Kingsford Smith	Pre-school	F	1570
Kingsford Smith	Pre-school	M	1736
Kingsford Smith	Secondary	F	4618
Kingsford Smith	Secondary	M	4827
Kingsford Smith	Technical or Further Educational Institution	F	2962
Kingsford Smith	Technical or Further Educational Institution	M	2492
Kingsford Smith	University or other tertiary	F	7601
Kingsford Smith	University or other tertiary	M	6833
Lindsay		F	6667
Lindsay		M	6627
Lindsay	Infants/Primary	F	8403
Lindsay	Infants/Primary	M	8825
Lindsay	Pre-school	F	2139
Lindsay	Pre-school	M	2440
Lindsay	Secondary	F	6216
Lindsay	Secondary	M	6205
Lindsay	Technical or Further Educational Institution	F	2807
Lindsay	Technical or Further Educational Institution	M	2276
Lindsay	University or other tertiary	F	4102
Lindsay	University or other tertiary	M	2535
Lyne		F	5595
Lyne		M	5276
Lyne	Infants/Primary	F	5456
Lyne	Infants/Primary	M	5782
Lyne	Pre-school	F	1310
Lyne	Pre-school	M	1423
Lyne	Secondary	F	4424
Lyne	Secondary	M	4487
Lyne	Technical or Further Educational Institution	F	2011
Lyne	Technical or Further Educational Institution	M	1405
Lyne	University or other tertiary	F	1880
Lyne	University or other tertiary	M	811
Macarthur		F	6307
Macarthur		M	5988
Macarthur	Infants/Primary	F	10004
Macarthur	Infants/Primary	M	10237
Macarthur	Pre-school	F	2395
Macarthur	Pre-school	M	2747
Macarthur	Secondary	F	7058
Macarthur	Secondary	M	7287
Macarthur	Technical or Further Educational Institution	F	2716
Macarthur	Technical or Further Educational Institution	M	2320
Macarthur	University or other tertiary	F	4741
Macarthur	University or other tertiary	M	3127
Mackellar		F	3598
Mackellar		M	3085
Mackellar	Infants/Primary	F	6337
Mackellar	Infants/Primary	M	6849
Mackellar	Pre-school	F	1738
Mackellar	Pre-school	M	1847
Mackellar	Secondary	F	5759
Mackellar	Secondary	M	6038
Mackellar	Technical or Further Educational Institution	F	1755
Mackellar	Technical or Further Educational Institution	M	1920
Mackellar	University or other tertiary	F	3945
Mackellar	University or other tertiary	M	2863
Macquarie		F	3388
Macquarie		M	3188
Macquarie	Infants/Primary	F	5838
Macquarie	Infants/Primary	M	6149
Macquarie	Pre-school	F	1531
Macquarie	Pre-school	M	1661
Macquarie	Secondary	F	4831
Macquarie	Secondary	M	5044
Macquarie	Technical or Further Educational Institution	F	2085
Macquarie	Technical or Further Educational Institution	M	1886
Macquarie	University or other tertiary	F	3385
Macquarie	University or other tertiary	M	1948
McMahon		F	6738
McMahon		M	6765
McMahon	Infants/Primary	F	7470
McMahon	Infants/Primary	M	7752
McMahon	Pre-school	F	1513
McMahon	Pre-school	M	1686
McMahon	Secondary	F	6433
McMahon	Secondary	M	6520
McMahon	Technical or Further Educational Institution	F	2463
McMahon	Technical or Further Educational Institution	M	2175
McMahon	University or other tertiary	F	4121
McMahon	University or other tertiary	M	3145
Mitchell		F	3131
Mitchell		M	2930
Mitchell	Infants/Primary	F	9648
Mitchell	Infants/Primary	M	10274
Mitchell	Pre-school	F	2321
Mitchell	Pre-school	M	2405
Mitchell	Secondary	F	7465
Mitchell	Secondary	M	7812
Mitchell	Technical or Further Educational Institution	F	2375
Mitchell	Technical or Further Educational Institution	M	1870
Mitchell	University or other tertiary	F	5718
Mitchell	University or other tertiary	M	4821
New England		F	7208
New England		M	7153
New England	Infants/Primary	F	6277
New England	Infants/Primary	M	6524
New England	Pre-school	F	1488
New England	Pre-school	M	1650
New England	Secondary	F	5201
New England	Secondary	M	5250
New England	Technical or Further Educational Institution	F	2237
New England	Technical or Further Educational Institution	M	1542
New England	University or other tertiary	F	2820
New England	University or other tertiary	M	1484
Newcastle		F	4551
Newcastle		M	4426
Newcastle	Infants/Primary	F	5906
Newcastle	Infants/Primary	M	6433
Newcastle	Pre-school	F	1625
Newcastle	Pre-school	M	1817
Newcastle	Secondary	F	4743
Newcastle	Secondary	M	4786
Newcastle	Technical or Further Educational Institution	F	2282
Newcastle	Technical or Further Educational Institution	M	2051
Newcastle	University or other tertiary	F	7531
Newcastle	University or other tertiary	M	5705
North Sydney		F	4472
North Sydney		M	3752
North Sydney	Infants/Primary	F	6185
North Sydney	Infants/Primary	M	6490
North Sydney	Pre-school	F	1624
North Sydney	Pre-school	M	1871
North Sydney	Secondary	F	4883
North Sydney	Secondary	M	5283
North Sydney	Technical or Further Educational Institution	F	1976
North Sydney	Technical or Further Educational Institution	M	1336
North Sydney	University or other tertiary	F	5535
North Sydney	University or other tertiary	M	4825
Page		F	6688
Page		M	7477
Page	Infants/Primary	F	6213
Page	Infants/Primary	M	6605
Page	Pre-school	F	1504
Page	Pre-school	M	1633
Page	Secondary	F	4928
Page	Secondary	M	5102
Page	Technical or Further Educational Institution	F	2290
Page	Technical or Further Educational Institution	M	1637
Page	University or other tertiary	F	2407
Page	University or other tertiary	M	1213
Parkes		F	9609
Parkes		M	9573
Parkes	Infants/Primary	F	6311
Parkes	Infants/Primary	M	6587
Parkes	Pre-school	F	1691
Parkes	Pre-school	M	1803
Parkes	Secondary	F	4371
Parkes	Secondary	M	4264
Parkes	Technical or Further Educational Institution	F	1986
Parkes	Technical or Further Educational Institution	M	1346
Parkes	University or other tertiary	F	1918
Parkes	University or other tertiary	M	702
Parramatta		F	7828
Parramatta		M	8814
Parramatta	Infants/Primary	F	8038
Parramatta	Infants/Primary	M	8529
Parramatta	Pre-school	F	2044
Parramatta	Pre-school	M	2171
Parramatta	Secondary	F	5211
Parramatta	Secondary	M	5520
Parramatta	Technical or Further Educational Institution	F	3461
Parramatta	Technical or Further Educational Institution	M	2879
