CED_NAME16	HomeCensusNight	Sex	persons
Banks	0	F	1804
Banks	0	M	1727
Banks	1	F	81224
Banks	1	M	78143
Barton	0	F	1999
Barton	0	M	2008
Barton	1	F	89140
Barton	1	M	88497
Bennelong	0	F	2254
Bennelong	0	M	2194
Bennelong	1	F	95445
Bennelong	1	M	91328
Berowra	0	F	1641
Berowra	0	M	1660
Berowra	1	F	75734
Berowra	1	M	73539
Blaxland	0	F	1691
Blaxland	0	M	1954
Blaxland	1	F	90410
Blaxland	1	M	94559
Bradfield	0	F	2217
Bradfield	0	M	2066
Bradfield	1	F	85312
Bradfield	1	M	79588
Calare	0	F	3256
Calare	0	M	4252
Calare	1	F	81248
Calare	1	M	80479
Chifley	0	F	1624
Chifley	0	M	1902
Chifley	1	F	100317
Chifley	1	M	98219
Cook	0	F	1949
Cook	0	M	2058
Cook	1	F	74863
Cook	1	M	70582
Cowper	0	F	3480
Cowper	0	M	3783
Cowper	1	F	84539
Cowper	1	M	78398
Cunningham	0	F	2624
Cunningham	0	M	2622
Cunningham	1	F	79482
Cunningham	1	M	76943
Dobell	0	F	2118
Dobell	0	M	2399
Dobell	1	F	81859
Dobell	1	M	76347
Eden-Monaro	0	F	3581
Eden-Monaro	0	M	3947
Eden-Monaro	1	F	77137
Eden-Monaro	1	M	76859
Farrer	0	F	3659
Farrer	0	M	4306
Farrer	1	F	83684
Farrer	1	M	81465
Fowler	0	F	1987
Fowler	0	M	2029
Fowler	1	F	85848
Fowler	1	M	83663
Gilmore	0	F	3773
Gilmore	0	M	4335
Gilmore	1	F	79284
Gilmore	1	M	76354
Grayndler	0	F	2798
Grayndler	0	M	2627
Grayndler	1	F	74415
Grayndler	1	M	70883
Greenway	0	F	1361
Greenway	0	M	1442
Greenway	1	F	98796
Greenway	1	M	99944
Hughes	0	F	1689
Hughes	0	M	1888
Hughes	1	F	74558
Hughes	1	M	72165
Hume	0	F	2291
Hume	0	M	2549
Hume	1	F	84376
Hume	1	M	82877
Hunter	0	F	3009
Hunter	0	M	3424
Hunter	1	F	84377
Hunter	1	M	83615
Kingsford Smith	0	F	2819
Kingsford Smith	0	M	2849
Kingsford Smith	1	F	89585
Kingsford Smith	1	M	86675
Lindsay	0	F	1944
Lindsay	0	M	2195
Lindsay	1	F	93271
Lindsay	1	M	90436
Lyne	0	F	3320
Lyne	0	M	3851
Lyne	1	F	77142
Lyne	1	M	73035
Macarthur	0	F	2051
Macarthur	0	M	2158
Macarthur	1	F	102160
Macarthur	1	M	99132
Mackellar	0	F	2316
Mackellar	0	M	2307
Mackellar	1	F	77105
Mackellar	1	M	73659
Macquarie	0	F	1966
Macquarie	0	M	2167
Macquarie	1	F	72040
Macquarie	1	M	69155
McMahon	0	F	1497
McMahon	0	M	1611
McMahon	1	F	86724
McMahon	1	M	85813
Mitchell	0	F	1551
Mitchell	0	M	1547
Mitchell	1	F	94282
Mitchell	1	M	90825
New England	0	F	3311
New England	0	M	3627
New England	1	F	77582
New England	1	M	74125
Newcastle	0	F	3499
Newcastle	0	M	3739
Newcastle	1	F	80983
Newcastle	1	M	77943
North Sydney	0	F	3380
North Sydney	0	M	3143
North Sydney	1	F	83449
North Sydney	1	M	77240
Page	0	F	3142
Page	0	M	3729
Page	1	F	82230
Page	1	M	79680
Parkes	0	F	3397
Parkes	0	M	4065
Parkes	1	F	74821
Parkes	1	M	72688
Parramatta	0	F	1909
Parramatta	0	M	2002
Parramatta	1	F	97611
Parramatta	1	M	101755
Paterson	0	F	3095
Paterson	0	M	3568
Paterson	1	F	86558
Paterson	1	M	82357
Reid	0	F	2234
Reid	0	M	2235
Reid	1	F	99534
Reid	1	M	97818
Richmond	0	F	3575
Richmond	0	M	3725
Richmond	1	F	83424
Richmond	1	M	76714
Riverina	0	F	3283
Riverina	0	M	3733
Riverina	1	F	78291
Riverina	1	M	76041
Robertson	0	F	2281
Robertson	0	M	2386
Robertson	1	F	76093
Robertson	1	M	71211
Shortland	0	F	2495
Shortland	0	M	2966
Shortland	1	F	75280
Shortland	1	M	71179
Sydney	0	F	4666
Sydney	0	M	4595
Sydney	1	F	92643
Sydney	1	M	102314
Warringah	0	F	2934
Warringah	0	M	2778
Warringah	1	F	75211
Warringah	1	M	69895
Watson	0	F	1837
Watson	0	M	1950
Watson	1	F	88511
Watson	1	M	90859
Wentworth	0	F	4055
Wentworth	0	M	3599
Wentworth	1	F	72030
Wentworth	1	M	66421
Werriwa	0	F	1696
Werriwa	0	M	1827
Werriwa	1	F	98829
Werriwa	1	M	96826
Whitlam	0	F	2315
Whitlam	0	M	2550
Whitlam	1	F	84191
Whitlam	1	M	79489
No usual address (NSW)	0	F	4997
No usual address (NSW)	0	M	6375
Aston	0	F	1755
Aston	0	M	1760
Aston	1	F	79412
Aston	1	M	76177
Ballarat	0	F	2855
Ballarat	0	M	3062
Ballarat	1	F	75210
Ballarat	1	M	71116
Bendigo	0	F	2758
Bendigo	0	M	2880
Bendigo	1	F	75530
Bendigo	1	M	71389
Bruce	0	F	1719
Bruce	0	M	1792
Bruce	1	F	87086
Bruce	1	M	88550
Calwell	0	F	1342
Calwell	0	M	1433
Calwell	1	F	92386
Calwell	1	M	93325
Casey	0	F	2510
Casey	0	M	2717
Casey	1	F	77026
Casey	1	M	75191
Chisholm	0	F	2132
Chisholm	0	M	2006
Chisholm	1	F	91424
Chisholm	1	M	88092
Cooper	0	F	2551
Cooper	0	M	2236
Cooper	1	F	77737
Cooper	1	M	73752
Corangamite	0	F	3304
Corangamite	0	M	3551
Corangamite	1	F	75362
Corangamite	1	M	70533
Corio	0	F	2651
Corio	0	M	2785
Corio	1	F	78614
Corio	1	M	75194
Deakin	0	F	2299
Deakin	0	M	2156
Deakin	1	F	83986
Deakin	1	M	78661
Dunkley	0	F	2291
Dunkley	0	M	2375
Dunkley	1	F	78576
Dunkley	1	M	74772
Flinders	0	F	3835
Flinders	0	M	3932
Flinders	1	F	73875
Flinders	1	M	68705
Fraser	0	F	2042
Fraser	0	M	2089
Fraser	1	F	85554
Fraser	1	M	86706
Gellibrand	0	F	1858
Gellibrand	0	M	1985
Gellibrand	1	F	93052
Gellibrand	1	M	93092
Gippsland	0	F	3426
Gippsland	0	M	3976
Gippsland	1	F	74635
Gippsland	1	M	72321
Goldstein	0	F	2657
Goldstein	0	M	2445
Goldstein	1	F	77813
Goldstein	1	M	71818
