CED_NAME21	MaxSchoolingCompleted	adults
Banks	Did not go to school	2069
Banks	Year 8	5349
Banks	Year 9	5934
Banks	Year 10	21271
Banks	Year 11	6171
Banks	Year 12	86954
Barton	Did not go to school	3290
Barton	Year 8	7674
Barton	Year 9	4717
Barton	Year 10	17484
Barton	Year 11	6510
Barton	Year 12	104412
Bennelong	Did not go to school	1652
Bennelong	Year 8	3742
Bennelong	Year 9	4558
Bennelong	Year 10	15117
Bennelong	Year 11	5621
Bennelong	Year 12	120712
Berowra	Did not go to school	714
Berowra	Year 8	2300
Berowra	Year 9	4826
Berowra	Year 10	18573
Berowra	Year 11	6025
Berowra	Year 12	87208
Blaxland	Did not go to school	6229
Blaxland	Year 8	9551
Blaxland	Year 9	6889
Blaxland	Year 10	20512
Blaxland	Year 11	7037
Blaxland	Year 12	85766
Bradfield	Did not go to school	777
Bradfield	Year 8	1976
Bradfield	Year 9	3837
Bradfield	Year 10	10772
Bradfield	Year 11	5526
Bradfield	Year 12	109181
Calare	Did not go to school	498
Calare	Year 8	6266
Calare	Year 9	10907
Calare	Year 10	39827
Calare	Year 11	9545
Calare	Year 12	56735
Chifley	Did not go to school	2428
Chifley	Year 8	6967
Chifley	Year 9	8514
Chifley	Year 10	27185
Chifley	Year 11	8584
Chifley	Year 12	89618
Cook	Did not go to school	813
Cook	Year 8	3647
Cook	Year 9	5814
Cook	Year 10	25161
Cook	Year 11	6623
Cook	Year 12	75531
Cowper	Did not go to school	675
Cowper	Year 8	6728
Cowper	Year 9	12620
Cowper	Year 10	41524
Cowper	Year 11	10579
Cowper	Year 12	58210
Cunningham	Did not go to school	1108
Cunningham	Year 8	5627
Cunningham	Year 9	7999
Cunningham	Year 10	29729
Cunningham	Year 11	7914
Cunningham	Year 12	74572
Dobell	Did not go to school	526
Dobell	Year 8	5362
Dobell	Year 9	10798
Dobell	Year 10	39963
Dobell	Year 11	9698
Dobell	Year 12	56689
Eden-Monaro	Did not go to school	457
Eden-Monaro	Year 8	5024
Eden-Monaro	Year 9	8004
Eden-Monaro	Year 10	31147
Eden-Monaro	Year 11	9736
Eden-Monaro	Year 12	68827
Farrer	Did not go to school	1025
Farrer	Year 8	7927
Farrer	Year 9	11807
Farrer	Year 10	37163
Farrer	Year 11	15378
Farrer	Year 12	54748
Fowler	Did not go to school	9404
Fowler	Year 8	12004
Fowler	Year 9	7669
Fowler	Year 10	20222
Fowler	Year 11	7386
Fowler	Year 12	74649
Gilmore	Did not go to school	426
Gilmore	Year 8	6041
Gilmore	Year 9	11895
Gilmore	Year 10	41533
Gilmore	Year 11	9587
Gilmore	Year 12	57793
Grayndler	Did not go to school	1424
Grayndler	Year 8	3967
Grayndler	Year 9	2980
Grayndler	Year 10	11385
Grayndler	Year 11	4704
Grayndler	Year 12	97077
Greenway	Did not go to school	1567
Greenway	Year 8	4607
Greenway	Year 9	6211
Greenway	Year 10	23802
Greenway	Year 11	7540
Greenway	Year 12	103521
Hughes	Did not go to school	552
Hughes	Year 8	2754
Hughes	Year 9	5820
Hughes	Year 10	26263
Hughes	Year 11	6946
Hughes	Year 12	73160
Hume	Did not go to school	510
Hume	Year 8	4980
Hume	Year 9	10224
Hume	Year 10	41452
Hume	Year 11	9798
Hume	Year 12	60701
Hunter	Did not go to school	514
Hunter	Year 8	6207
Hunter	Year 9	13250
Hunter	Year 10	46676
Hunter	Year 11	11561
Hunter	Year 12	52816
Kingsford Smith	Did not go to school	1392
Kingsford Smith	Year 8	4286
Kingsford Smith	Year 9	4499
Kingsford Smith	Year 10	16561
Kingsford Smith	Year 11	6475
Kingsford Smith	Year 12	110545
Lindsay	Did not go to school	1059
Lindsay	Year 8	5600
Lindsay	Year 9	9889
Lindsay	Year 10	38858
Lindsay	Year 11	10136
Lindsay	Year 12	71280
Lyne	Did not go to school	324
Lyne	Year 8	6640
Lyne	Year 9	13597
Lyne	Year 10	45419
Lyne	Year 11	9443
Lyne	Year 12	47116
Macarthur	Did not go to school	1749
Macarthur	Year 8	5670
Macarthur	Year 9	9741
Macarthur	Year 10	35594
Macarthur	Year 11	10396
Macarthur	Year 12	85383
Mackellar	Did not go to school	631
Mackellar	Year 8	2497
Mackellar	Year 9	5109
Mackellar	Year 10	21679
Mackellar	Year 11	7152
Mackellar	Year 12	84391
Macquarie	Did not go to school	373
Macquarie	Year 8	3373
Macquarie	Year 9	7529
Macquarie	Year 10	31884
Macquarie	Year 11	7956
Macquarie	Year 12	62201
McMahon	Did not go to school	6917
McMahon	Year 8	10157
McMahon	Year 9	8291
McMahon	Year 10	25506
McMahon	Year 11	7768
McMahon	Year 12	71328
Mitchell	Did not go to school	807
Mitchell	Year 8	2923
Mitchell	Year 9	5453
Mitchell	Year 10	20985
Mitchell	Year 11	6805
Mitchell	Year 12	106081
New England	Did not go to school	658
New England	Year 8	6762
New England	Year 9	11074
New England	Year 10	37308
New England	Year 11	9073
New England	Year 12	51766
Newcastle	Did not go to school	705
Newcastle	Year 8	4248
Newcastle	Year 9	8408
Newcastle	Year 10	30025
Newcastle	Year 11	8299
Newcastle	Year 12	79212
North Sydney	Did not go to school	631
North Sydney	Year 8	1854
North Sydney	Year 9	2995
North Sydney	Year 10	10099
North Sydney	Year 11	4963
North Sydney	Year 12	112482
Page	Did not go to school	481
Page	Year 8	6594
Page	Year 9	11986
Page	Year 10	43015
Page	Year 11	10323
Page	Year 12	54934
Parkes	Did not go to school	544
Parkes	Year 8	7059
Parkes	Year 9	10639
Parkes	Year 10	35800
Parkes	Year 11	8756
Parkes	Year 12	44547
Parramatta	Did not go to school	3101
Parramatta	Year 8	5293
Parramatta	Year 9	5103
Parramatta	Year 10	17421
Parramatta	Year 11	6104
Parramatta	Year 12	115565
Paterson	Did not go to school	478
Paterson	Year 8	6144
Paterson	Year 9	13482
Paterson	Year 10	46697
Paterson	Year 11	11413
Paterson	Year 12	55202
Reid	Did not go to school	2434
Reid	Year 8	4983
Reid	Year 9	4327
Reid	Year 10	15180
Reid	Year 11	5853
Reid	Year 12	129074
Richmond	Did not go to school	373
Richmond	Year 8	5018
Richmond	Year 9	8970
Richmond	Year 10	35233
Richmond	Year 11	10281
Richmond	Year 12	68189
Riverina	Did not go to school	706
Riverina	Year 8	6647
Riverina	Year 9	11037
Riverina	Year 10	39206
Riverina	Year 11	9830
Riverina	Year 12	51493
Robertson	Did not go to school	439
Robertson	Year 8	3859
Robertson	Year 9	8546
Robertson	Year 10	32929
Robertson	Year 11	8326
Robertson	Year 12	64310
Shortland	Did not go to school	362
Shortland	Year 8	4774
Shortland	Year 9	11214
Shortland	Year 10	39692
Shortland	Year 11	8882
Shortland	Year 12	53559
Sydney	Did not go to school	1443
Sydney	Year 8	2470
Sydney	Year 9	2758
Sydney	Year 10	10429
Sydney	Year 11	6018
Sydney	Year 12	150897
Warringah	Did not go to school	374
Warringah	Year 8	1737
Warringah	Year 9	3344
Warringah	Year 10	12831
Warringah	Year 11	5490
Warringah	Year 12	95130
Watson	Did not go to school	4817
Watson	Year 8	8711
Watson	Year 9	5785
Watson	Year 10	18699
Watson	Year 11	6380
Watson	Year 12	92395
Wentworth	Did not go to school	318
Wentworth	Year 8	1376
Wentworth	Year 9	2377
Wentworth	Year 10	8014
Wentworth	Year 11	4331
Wentworth	Year 12	99614
Werriwa	Did not go to school	5128
Werriwa	Year 8	8340
Werriwa	Year 9	7849
Werriwa	Year 10	25523
Werriwa	Year 11	8931
Werriwa	Year 12	88505
Whitlam	Did not go to school	868
Whitlam	Year 8	6195
Whitlam	Year 9	10958
Whitlam	Year 10	41524
Whitlam	Year 11	10339
Whitlam	Year 12	59640
No usual address (NSW)	Did not go to school	75
No usual address (NSW)	Year 8	332
No usual address (NSW)	Year 9	576
No usual address (NSW)	Year 10	1883
No usual address (NSW)	Year 11	526
No usual address (NSW)	Year 12	3320
Aston	Did not go to school	1063
Aston	Year 8	4873
Aston	Year 9	7073
Aston	Year 10	17439
Aston	Year 11	16156
Aston	Year 12	80120
Ballarat	Did not go to school	422
Ballarat	Year 8	5754
Ballarat	Year 9	9294
Ballarat	Year 10	20998
Ballarat	Year 11	18095
Ballarat	Year 12	61430
Bendigo	Did not go to school	774
Bendigo	Year 8	6352
Bendigo	Year 9	9385
Bendigo	Year 10	22363
Bendigo	Year 11	17822
Bendigo	Year 12	59269
Bruce	Did not go to school	4666
Bruce	Year 8	8495
Bruce	Year 9	7631
Bruce	Year 10	17778
Bruce	Year 11	14455
Bruce	Year 12	83201
Calwell	Did not go to school	5120
Calwell	Year 8	10489
Calwell	Year 9	8295
Calwell	Year 10	15846
Calwell	Year 11	12578
Calwell	Year 12	82253
Casey	Did not go to school	700
Casey	Year 8	4733
Casey	Year 9	8655
Casey	Year 10	21368
Casey	Year 11	19515
Casey	Year 12	67337
Chisholm	Did not go to school	1850
Chisholm	Year 8	5973
Chisholm	Year 9	5645
Chisholm	Year 10	11337
Chisholm	Year 11	11284
Chisholm	Year 12	111700
Cooper	Did not go to school	2396
Cooper	Year 8	8277
Cooper	Year 9	4702
Cooper	Year 10	9680
Cooper	Year 11	9496
Cooper	Year 12	90944
Corangamite	Did not go to school	332
Corangamite	Year 8	4028
Corangamite	Year 9	7135
Corangamite	Year 10	17977
Corangamite	Year 11	18265
Corangamite	Year 12	69334
Corio	Did not go to school	1321
Corio	Year 8	7044
Corio	Year 9	8692
Corio	Year 10	19675
Corio	Year 11	18024
Corio	Year 12	68776
Deakin	Did not go to school	1349
Deakin	Year 8	5189
Deakin	Year 9	6584
Deakin	Year 10	15738
Deakin	Year 11	15887
Deakin	Year 12	86787
Dunkley	Did not go to school	559
Dunkley	Year 8	4795
Dunkley	Year 9	8247
Dunkley	Year 10	20503
Dunkley	Year 11	17737
Dunkley	Year 12	68772
Flinders	Did not go to school	488
Flinders	Year 8	5283
Flinders	Year 9	8582
Flinders	Year 10	21266
Flinders	Year 11	18684
Flinders	Year 12	63533
Fraser	Did not go to school	5098
Fraser	Year 8	10476
Fraser	Year 9	6288
Fraser	Year 10	12652
Fraser	Year 11	10237
Fraser	Year 12	91959
Gellibrand	Did not go to school	1871
Gellibrand	Year 8	5767
Gellibrand	Year 9	5839
Gellibrand	Year 10	14302
Gellibrand	Year 11	12222
Gellibrand	Year 12	98108
Gippsland	Did not go to school	557
Gippsland	Year 8	7295
Gippsland	Year 9	11207
Gippsland	Year 10	26900
Gippsland	Year 11	21249
Gippsland	Year 12	49471
Goldstein	Did not go to school	584
Goldstein	Year 8	3194
Goldstein	Year 9	3968
Goldstein	Year 10	9510
Goldstein	Year 11	11043
Goldstein	Year 12	94048
Gorton	Did not go to school	3255
Gorton	Year 8	8636
Gorton	Year 9	6629
Gorton	Year 10	16804
Gorton	Year 11	12863
Gorton	Year 12	84699
Hawke	Did not go to school	1222
