GCCSA_NAME21	Age5yr	Indigenous	Sex	persons
No usual address (NSW)	0-4		F	60
No usual address (NSW)	0-4		M	59
No usual address (NSW)	0-4	0	F	97
No usual address (NSW)	0-4	0	M	131
No usual address (NSW)	0-4	1	F	50
No usual address (NSW)	0-4	1	M	66
No usual address (NSW)	5-9		F	86
No usual address (NSW)	5-9		M	70
No usual address (NSW)	5-9	0	F	98
No usual address (NSW)	5-9	0	M	96
No usual address (NSW)	5-9	1	F	44
No usual address (NSW)	5-9	1	M	41
No usual address (NSW)	10-14		F	70
No usual address (NSW)	10-14		M	63
No usual address (NSW)	10-14	0	F	91
No usual address (NSW)	10-14	0	M	86
No usual address (NSW)	10-14	1	F	25
No usual address (NSW)	10-14	1	M	32
No usual address (NSW)	15-19		F	51
No usual address (NSW)	15-19		M	57
No usual address (NSW)	15-19	0	F	183
No usual address (NSW)	15-19	0	M	152
No usual address (NSW)	15-19	1	F	49
No usual address (NSW)	15-19	1	M	50
No usual address (NSW)	20-24		F	43
No usual address (NSW)	20-24		M	56
No usual address (NSW)	20-24	0	F	314
No usual address (NSW)	20-24	0	M	296
No usual address (NSW)	20-24	1	F	56
No usual address (NSW)	20-24	1	M	56
No usual address (NSW)	25-29		F	68
No usual address (NSW)	25-29		M	87
No usual address (NSW)	25-29	0	F	400
No usual address (NSW)	25-29	0	M	436
No usual address (NSW)	25-29	1	F	67
No usual address (NSW)	25-29	1	M	67
No usual address (NSW)	30-34		F	58
No usual address (NSW)	30-34		M	62
No usual address (NSW)	30-34	0	F	387
No usual address (NSW)	30-34	0	M	448
No usual address (NSW)	30-34	1	F	50
No usual address (NSW)	30-34	1	M	67
No usual address (NSW)	35-39		F	54
No usual address (NSW)	35-39		M	67
No usual address (NSW)	35-39	0	F	288
No usual address (NSW)	35-39	0	M	424
No usual address (NSW)	35-39	1	F	51
No usual address (NSW)	35-39	1	M	66
No usual address (NSW)	40-44		F	53
No usual address (NSW)	40-44		M	66
No usual address (NSW)	40-44	0	F	266
No usual address (NSW)	40-44	0	M	422
No usual address (NSW)	40-44	1	F	43
No usual address (NSW)	40-44	1	M	55
No usual address (NSW)	45-49		F	60
No usual address (NSW)	45-49		M	72
No usual address (NSW)	45-49	0	F	237
No usual address (NSW)	45-49	0	M	411
No usual address (NSW)	45-49	1	F	40
No usual address (NSW)	45-49	1	M	65
No usual address (NSW)	50-54		F	33
