GCCSA_NAME21	AgeStudent	students
No usual address (NSW)	0-4	65
No usual address (NSW)	5-14	425
No usual address (NSW)	15-19	188
No usual address (NSW)	20-24	130
No usual address (NSW)	25+	337
Greater Sydney	0-4	93070
Greater Sydney	5-14	610955
Greater Sydney	15-19	244240
Greater Sydney	20-24	164062
Greater Sydney	25+	246866
Rest of NSW	0-4	47437
Rest of NSW	5-14	322684
Rest of NSW	15-19	113871
Rest of NSW	20-24	47557
Rest of NSW	25+	94098
No usual address (Vic.)	0-4	63
No usual address (Vic.)	5-14	407
No usual address (Vic.)	15-19	140
No usual address (Vic.)	20-24	133
No usual address (Vic.)	25+	267
Greater Melbourne	0-4	87014
Greater Melbourne	5-14	565517
Greater Melbourne	15-19	232392
Greater Melbourne	20-24	163044
Greater Melbourne	25+	234306
Rest of Vic.	0-4	24346
Rest of Vic.	5-14	177053
Rest of Vic.	15-19	64792
Rest of Vic.	20-24	24582
Rest of Vic.	25+	48071
No usual address (Qld)	0-4	63
No usual address (Qld)	5-14	721
No usual address (Qld)	15-19	212
No usual address (Qld)	20-24	112
No usual address (Qld)	25+	369
Greater Brisbane	0-4	42631
Greater Brisbane	5-14	313392
Greater Brisbane	15-19	120800
Greater Brisbane	20-24	67350
Greater Brisbane	25+	114141
Rest of Qld	0-4	37801
Rest of Qld	5-14	309501
Rest of Qld	15-19	106604
Rest of Qld	20-24	39292
Rest of Qld	25+	90426
No usual address (SA)	0-4	25
No usual address (SA)	5-14	200
No usual address (SA)	15-19	92
No usual address (SA)	20-24	39
No usual address (SA)	25+	94
Greater Adelaide	0-4	20512
Greater Adelaide	5-14	155297
Greater Adelaide	15-19	62996
Greater Adelaide	20-24	40497
Greater Adelaide	25+	63084
Rest of SA	0-4	4516
Rest of SA	5-14	42257
Rest of SA	15-19	13949
Rest of SA	20-24	3257
Rest of SA	25+	8675
No usual address (WA)	0-4	34
No usual address (WA)	5-14	327
No usual address (WA)	15-19	76
No usual address (WA)	20-24	62
No usual address (WA)	25+	169
Migratory - Offshore - Shipping (WA)	25+	17
Greater Perth	0-4	37204
Greater Perth	5-14	257308
Greater Perth	15-19	96795
Greater Perth	20-24	54383
Greater Perth	25+	86085
Rest of WA	0-4	7567
Rest of WA	5-14	63679
Rest of WA	15-19	18309
Rest of WA	20-24	3703
Rest of WA	25+	13375
No usual address (Tas.)	0-4	6
No usual address (Tas.)	5-14	68
No usual address (Tas.)	15-19	36
No usual address (Tas.)	20-24	24
No usual address (Tas.)	25+	50
Greater Hobart	0-4	3474
Greater Hobart	5-14	27113
Greater Hobart	15-19	10275
Greater Hobart	20-24	5653
Greater Hobart	25+	14019
Rest of Tas.	0-4	3701
Rest of Tas.	5-14	32936
Rest of Tas.	15-19	11907
Rest of Tas.	20-24	3827
Rest of Tas.	25+	10087
No usual address (NT)	0-4	11
No usual address (NT)	5-14	180
No usual address (NT)	15-19	20
No usual address (NT)	20-24	13
No usual address (NT)	25+	56
Migratory - Offshore - Shipping (NT)	25+	3
Greater Darwin	0-4	2532
Greater Darwin	5-14	16884
Greater Darwin	15-19	5101
Greater Darwin	20-24	2440
Greater Darwin	25+	8522
Rest of NT	0-4	1562
Rest of NT	5-14	11842
Rest of NT	15-19	2562
Rest of NT	20-24	482
Rest of NT	25+	2771
No usual address (ACT)	0-4	7
No usual address (ACT)	5-14	19
No usual address (ACT)	15-19	42
No usual address (ACT)	20-24	29
No usual address (ACT)	25+	21
Australian Capital Territory	0-4	7872
Australian Capital Territory	5-14	53804
Australian Capital Territory	15-19	21598
Australian Capital Territory	20-24	17260
Australian Capital Territory	25+	28207
Other Territories	0-4	66
Other Territories	5-14	486
Other Territories	15-19	115
Other Territories	20-24	38
Other Territories	25+	113
