GCCSA_NAME21	Age	NeedsAssistance	Sex	persons
No usual address (NSW)	0-4		F	90
No usual address (NSW)	0-4		M	87
No usual address (NSW)	0-4	0	F	113
No usual address (NSW)	0-4	0	M	157
No usual address (NSW)	0-4	1	F	3
No usual address (NSW)	0-4	1	M	6
No usual address (NSW)	5-14		F	182
No usual address (NSW)	5-14		M	167
No usual address (NSW)	5-14	0	F	218
No usual address (NSW)	5-14	0	M	200
No usual address (NSW)	5-14	1	F	9
No usual address (NSW)	5-14	1	M	24
No usual address (NSW)	15-19		F	91
No usual address (NSW)	15-19		M	91
No usual address (NSW)	15-19	0	F	180
No usual address (NSW)	15-19	0	M	156
No usual address (NSW)	15-19	1	F	9
No usual address (NSW)	15-19	1	M	8
No usual address (NSW)	20-24		F	135
No usual address (NSW)	20-24		M	136
No usual address (NSW)	20-24	0	F	274
No usual address (NSW)	20-24	0	M	267
No usual address (NSW)	20-24	1	F	13
No usual address (NSW)	20-24	1	M	12
No usual address (NSW)	25-34		F	333
No usual address (NSW)	25-34		M	414
No usual address (NSW)	25-34	0	F	667
No usual address (NSW)	25-34	0	M	723
No usual address (NSW)	25-34	1	F	26
No usual address (NSW)	25-34	1	M	25
No usual address (NSW)	35-44		F	286
No usual address (NSW)	35-44		M	480
No usual address (NSW)	35-44	0	F	434
No usual address (NSW)	35-44	0	M	586
No usual address (NSW)	35-44	1	F	27
No usual address (NSW)	35-44	1	M	34
No usual address (NSW)	45-54		F	197
No usual address (NSW)	45-54		M	433
No usual address (NSW)	45-54	0	F	428
No usual address (NSW)	45-54	0	M	531
No usual address (NSW)	45-54	1	F	41
No usual address (NSW)	45-54	1	M	42
No usual address (NSW)	55-64		F	149
No usual address (NSW)	55-64		M	308
No usual address (NSW)	55-64	0	F	500
No usual address (NSW)	55-64	0	M	569
No usual address (NSW)	55-64	1	F	51
No usual address (NSW)	55-64	1	M	73
No usual address (NSW)	65-74		F	64
No usual address (NSW)	65-74		M	130
No usual address (NSW)	65-74	0	F	312
No usual address (NSW)	65-74	0	M	476
No usual address (NSW)	65-74	1	F	31
No usual address (NSW)	65-74	1	M	39
No usual address (NSW)	75-84		F	20
No usual address (NSW)	75-84		M	35
No usual address (NSW)	75-84	0	F	76
No usual address (NSW)	75-84	0	M	115
No usual address (NSW)	75-84	1	F	12
No usual address (NSW)	75-84	1	M	20
No usual address (NSW)	85+		F	8
No usual address (NSW)	85+		M	6
No usual address (NSW)	85+	0	F	5
No usual address (NSW)	85+	0	M	10
No usual address (NSW)	85+	1	F	15
No usual address (NSW)	85+	1	M	8
Greater Sydney	0-4		F	8435
Greater Sydney	0-4		M	8914
Greater Sydney	0-4	0	F	141787
Greater Sydney	0-4	0	M	149294
Greater Sydney	0-4	1	F	1347
Greater Sydney	0-4	1	M	2585
Greater Sydney	5-14		F	16318
Greater Sydney	5-14		M	17506
Greater Sydney	5-14	0	F	293099
Greater Sydney	5-14	0	M	301740
Greater Sydney	5-14	1	F	6974
Greater Sydney	5-14	1	M	15210
Greater Sydney	15-19		F	6562
Greater Sydney	15-19		M	7423
Greater Sydney	15-19	0	F	133001
Greater Sydney	15-19	0	M	139698
Greater Sydney	15-19	1	F	2970
Greater Sydney	15-19	1	M	5103
Greater Sydney	20-24		F	8870
Greater Sydney	20-24		M	10700
Greater Sydney	20-24	0	F	155218
Greater Sydney	20-24	0	M	162050
Greater Sydney	20-24	1	F	2482
Greater Sydney	20-24	1	M	3749
Greater Sydney	25-34		F	23557
Greater Sydney	25-34		M	26152
Greater Sydney	25-34	0	F	381598
Greater Sydney	25-34	0	M	369169
Greater Sydney	25-34	1	F	5034
Greater Sydney	25-34	1	M	5802
Greater Sydney	35-44		F	19585
Greater Sydney	35-44		M	21885
Greater Sydney	35-44	0	F	366167
Greater Sydney	35-44	0	M	357359
Greater Sydney	35-44	1	F	6498
Greater Sydney	35-44	1	M	6246
Greater Sydney	45-54		F	14586
Greater Sydney	45-54		M	16419
Greater Sydney	45-54	0	F	315261
Greater Sydney	45-54	0	M	301443
Greater Sydney	45-54	1	F	10549
Greater Sydney	45-54	1	M	8919
Greater Sydney	55-64		F	12041
Greater Sydney	55-64		M	13514
Greater Sydney	55-64	0	F	266812
Greater Sydney	55-64	0	M	254822
Greater Sydney	55-64	1	F	17640
Greater Sydney	55-64	1	M	14336
Greater Sydney	65-74		F	10116
Greater Sydney	65-74		M	9923
Greater Sydney	65-74	0	F	194898
Greater Sydney	65-74	0	M	178550
Greater Sydney	65-74	1	F	25588
Greater Sydney	65-74	1	M	20400
Greater Sydney	75-84		F	8967
Greater Sydney	75-84		M	7446
Greater Sydney	75-84	0	F	90533
Greater Sydney	75-84	0	M	84839
Greater Sydney	75-84	1	F	34515
Greater Sydney	75-84	1	M	23210
Greater Sydney	85+		F	9532
Greater Sydney	85+		M	4936
Greater Sydney	85+	0	F	21555
Greater Sydney	85+	0	M	18204
Greater Sydney	85+	1	F	33817
Greater Sydney	85+	1	M	17684
