LGA_NAME21	Age	MaxSchoolingCompleted	Sex	adults
Albury	15-19		F	80
Albury	15-19		M	96
Albury	15-19	Year 8 or below	F	7
Albury	15-19	Year 8 or below	M	10
Albury	15-19	Year 9	F	27
Albury	15-19	Year 9	M	60
Albury	15-19	Year 10	F	126
Albury	15-19	Year 10	M	210
Albury	15-19	Year 11	F	98
Albury	15-19	Year 11	M	123
Albury	15-19	Year 12	F	358
Albury	15-19	Year 12	M	279
Albury	20-24		F	101
Albury	20-24		M	104
Albury	20-24	Did not go to school	F	8
Albury	20-24	Did not go to school	M	4
Albury	20-24	Year 8 or below	F	15
Albury	20-24	Year 8 or below	M	9
Albury	20-24	Year 9	F	34
Albury	20-24	Year 9	M	38
Albury	20-24	Year 10	F	178
Albury	20-24	Year 10	M	299
Albury	20-24	Year 11	F	173
Albury	20-24	Year 11	M	246
Albury	20-24	Year 12	F	1256
Albury	20-24	Year 12	M	987
Albury	25-34		F	217
Albury	25-34		M	229
Albury	25-34	Did not go to school	F	19
Albury	25-34	Did not go to school	M	27
Albury	25-34	Year 8 or below	F	42
Albury	25-34	Year 8 or below	M	44
Albury	25-34	Year 9	F	68
Albury	25-34	Year 9	M	105
Albury	25-34	Year 10	F	476
Albury	25-34	Year 10	M	701
Albury	25-34	Year 11	F	262
Albury	25-34	Year 11	M	352
Albury	25-34	Year 12	F	2635
Albury	25-34	Year 12	M	2120
Albury	35-44		F	195
Albury	35-44		M	223
Albury	35-44	Did not go to school	F	35
Albury	35-44	Did not go to school	M	18
Albury	35-44	Year 8 or below	F	68
Albury	35-44	Year 8 or below	M	64
Albury	35-44	Year 9	F	72
Albury	35-44	Year 9	M	116
Albury	35-44	Year 10	F	460
Albury	35-44	Year 10	M	654
Albury	35-44	Year 11	F	259
Albury	35-44	Year 11	M	312
Albury	35-44	Year 12	F	2468
Albury	35-44	Year 12	M	1934
Albury	45-54		F	170
Albury	45-54		M	207
Albury	45-54	Did not go to school	F	53
Albury	45-54	Did not go to school	M	46
Albury	45-54	Year 8 or below	F	52
Albury	45-54	Year 8 or below	M	70
Albury	45-54	Year 9	F	117
Albury	45-54	Year 9	M	146
Albury	45-54	Year 10	F	814
Albury	45-54	Year 10	M	858
Albury	45-54	Year 11	F	400
Albury	45-54	Year 11	M	425
Albury	45-54	Year 12	F	1878
Albury	45-54	Year 12	M	1479
Albury	55-64		F	207
Albury	55-64		M	185
Albury	55-64	Did not go to school	F	35
Albury	55-64	Did not go to school	M	39
Albury	55-64	Year 8 or below	F	94
Albury	55-64	Year 8 or below	M	137
Albury	55-64	Year 9	F	225
Albury	55-64	Year 9	M	260
Albury	55-64	Year 10	F	1232
Albury	55-64	Year 10	M	1172
Albury	55-64	Year 11	F	460
Albury	55-64	Year 11	M	406
Albury	55-64	Year 12	F	1331
Albury	55-64	Year 12	M	1047
Albury	65-74		F	206
Albury	65-74		M	176
Albury	65-74	Did not go to school	F	26
Albury	65-74	Did not go to school	M	31
Albury	65-74	Year 8 or below	F	179
Albury	65-74	Year 8 or below	M	198
Albury	65-74	Year 9	F	362
Albury	65-74	Year 9	M	339
Albury	65-74	Year 10	F	1079
Albury	65-74	Year 10	M	856
Albury	65-74	Year 11	F	375
Albury	65-74	Year 11	M	269
Albury	65-74	Year 12	F	945
Albury	65-74	Year 12	M	998
Albury	75-84		F	223
Albury	75-84		M	140
Albury	75-84	Did not go to school	F	23
Albury	75-84	Did not go to school	M	17
Albury	75-84	Year 8 or below	F	238
Albury	75-84	Year 8 or below	M	206
Albury	75-84	Year 9	F	264
Albury	75-84	Year 9	M	234
Albury	75-84	Year 10	F	652
Albury	75-84	Year 10	M	432
Albury	75-84	Year 11	F	169
Albury	75-84	Year 11	M	116
Albury	75-84	Year 12	F	423
Albury	75-84	Year 12	M	397
Albury	85+		F	122
Albury	85+		M	72
Albury	85+	Did not go to school	F	12
Albury	85+	Did not go to school	M	11
Albury	85+	Year 8 or below	F	187
Albury	85+	Year 8 or below	M	100
Albury	85+	Year 9	F	160
Albury	85+	Year 9	M	80
Albury	85+	Year 10	F	234
Albury	85+	Year 10	M	93
Albury	85+	Year 11	F	47
Albury	85+	Year 11	M	35
Albury	85+	Year 12	F	123
Albury	85+	Year 12	M	114
Armidale Regional	15-19		F	222
Armidale Regional	15-19		M	151
Armidale Regional	15-19	Year 8 or below	F	3
Armidale Regional	15-19	Year 8 or below	M	10
Armidale Regional	15-19	Year 9	F	28
Armidale Regional	15-19	Year 9	M	26
Armidale Regional	15-19	Year 10	F	54
Armidale Regional	15-19	Year 10	M	75
Armidale Regional	15-19	Year 11	F	43
Armidale Regional	15-19	Year 11	M	60
Armidale Regional	15-19	Year 12	F	348
Armidale Regional	15-19	Year 12	M	203
Armidale Regional	20-24		F	200
Armidale Regional	20-24		M	185
Armidale Regional	20-24	Did not go to school	F	7
Armidale Regional	20-24	Did not go to school	M	14
Armidale Regional	20-24	Year 8 or below	F	13
Armidale Regional	20-24	Year 8 or below	M	8
Armidale Regional	20-24	Year 9	F	19
Armidale Regional	20-24	Year 9	M	23
Armidale Regional	20-24	Year 10	F	66
Armidale Regional	20-24	Year 10	M	89
Armidale Regional	20-24	Year 11	F	48
Armidale Regional	20-24	Year 11	M	71
Armidale Regional	20-24	Year 12	F	816
Armidale Regional	20-24	Year 12	M	743
Armidale Regional	25-34		F	191
Armidale Regional	25-34		M	196
Armidale Regional	25-34	Did not go to school	F	33
Armidale Regional	25-34	Did not go to school	M	18
Armidale Regional	25-34	Year 8 or below	F	27
Armidale Regional	25-34	Year 8 or below	M	23
Armidale Regional	25-34	Year 9	F	46
Armidale Regional	25-34	Year 9	M	53
Armidale Regional	25-34	Year 10	F	170
Armidale Regional	25-34	Year 10	M	248
Armidale Regional	25-34	Year 11	F	104
Armidale Regional	25-34	Year 11	M	86
Armidale Regional	25-34	Year 12	F	1370
Armidale Regional	25-34	Year 12	M	1196
Armidale Regional	35-44		F	143
Armidale Regional	35-44		M	128
Armidale Regional	35-44	Did not go to school	F	16
Armidale Regional	35-44	Did not go to school	M	14
Armidale Regional	35-44	Year 8 or below	F	25
Armidale Regional	35-44	Year 8 or below	M	39
Armidale Regional	35-44	Year 9	F	33
Armidale Regional	35-44	Year 9	M	69
Armidale Regional	35-44	Year 10	F	152
Armidale Regional	35-44	Year 10	M	251
Armidale Regional	35-44	Year 11	F	76
Armidale Regional	35-44	Year 11	M	76
Armidale Regional	35-44	Year 12	F	1173
Armidale Regional	35-44	Year 12	M	981
Armidale Regional	45-54		F	140
Armidale Regional	45-54		M	124
Armidale Regional	45-54	Did not go to school	F	21
Armidale Regional	45-54	Did not go to school	M	3
Armidale Regional	45-54	Year 8 or below	F	26
Armidale Regional	45-54	Year 8 or below	M	32
Armidale Regional	45-54	Year 9	F	41
Armidale Regional	45-54	Year 9	M	59
Armidale Regional	45-54	Year 10	F	327
Armidale Regional	45-54	Year 10	M	370
Armidale Regional	45-54	Year 11	F	91
Armidale Regional	45-54	Year 11	M	78
Armidale Regional	45-54	Year 12	F	1053
Armidale Regional	45-54	Year 12	M	842
Armidale Regional	55-64		F	117
Armidale Regional	55-64		M	145
Armidale Regional	55-64	Did not go to school	F	18
Armidale Regional	55-64	Did not go to school	M	4
Armidale Regional	55-64	Year 8 or below	F	39
Armidale Regional	55-64	Year 8 or below	M	88
Armidale Regional	55-64	Year 9	F	82
Armidale Regional	55-64	Year 9	M	99
Armidale Regional	55-64	Year 10	F	567
Armidale Regional	55-64	Year 10	M	603
Armidale Regional	55-64	Year 11	F	100
Armidale Regional	55-64	Year 11	M	91
Armidale Regional	55-64	Year 12	F	901
Armidale Regional	55-64	Year 12	M	723
Armidale Regional	65-74		F	129
Armidale Regional	65-74		M	101
Armidale Regional	65-74	Did not go to school	F	9
Armidale Regional	65-74	Did not go to school	M	19
Armidale Regional	65-74	Year 8 or below	F	100
Armidale Regional	65-74	Year 8 or below	M	108
Armidale Regional	65-74	Year 9	F	131
Armidale Regional	65-74	Year 9	M	116
Armidale Regional	65-74	Year 10	F	446
Armidale Regional	65-74	Year 10	M	376
Armidale Regional	65-74	Year 11	F	59
Armidale Regional	65-74	Year 11	M	70
Armidale Regional	65-74	Year 12	F	622
Armidale Regional	65-74	Year 12	M	614
Armidale Regional	75-84		F	155
Armidale Regional	75-84		M	111
Armidale Regional	75-84	Did not go to school	F	11
Armidale Regional	75-84	Did not go to school	M	5
Armidale Regional	75-84	Year 8 or below	F	97
Armidale Regional	75-84	Year 8 or below	M	101
Armidale Regional	75-84	Year 9	F	106
Armidale Regional	75-84	Year 9	M	102
Armidale Regional	75-84	Year 10	F	265
Armidale Regional	75-84	Year 10	M	180
Armidale Regional	75-84	Year 11	F	57
Armidale Regional	75-84	Year 11	M	38
Armidale Regional	75-84	Year 12	F	362
Armidale Regional	75-84	Year 12	M	325
Armidale Regional	85+		F	117
Armidale Regional	85+		M	42
Armidale Regional	85+	Did not go to school	F	5
Armidale Regional	85+	Did not go to school	M	4
Armidale Regional	85+	Year 8 or below	F	63
Armidale Regional	85+	Year 8 or below	M	54
Armidale Regional	85+	Year 9	F	63
Armidale Regional	85+	Year 9	M	28
Armidale Regional	85+	Year 10	F	93
Armidale Regional	85+	Year 10	M	53
Armidale Regional	85+	Year 11	F	15
Armidale Regional	85+	Year 11	M	16
Armidale Regional	85+	Year 12	F	90
Armidale Regional	85+	Year 12	M	71
Ballina	15-19		F	46
Ballina	15-19		M	74
Ballina	15-19	Year 8 or below	F	6
Ballina	15-19	Year 8 or below	M	3
Ballina	15-19	Year 9	F	18
Ballina	15-19	Year 9	M	32
Ballina	15-19	Year 10	F	87
Ballina	15-19	Year 10	M	162
Ballina	15-19	Year 11	F	46
Ballina	15-19	Year 11	M	80
Ballina	15-19	Year 12	F	256
Ballina	15-19	Year 12	M	189
Ballina	20-24		F	45
Ballina	20-24		M	68
Ballina	20-24	Year 8 or below	F	6
Ballina	20-24	Year 8 or below	M	4
Ballina	20-24	Year 9	F	7
Ballina	20-24	Year 9	M	19
Ballina	20-24	Year 10	F	100
Ballina	20-24	Year 10	M	158
Ballina	20-24	Year 11	F	74
Ballina	20-24	Year 11	M	103
Ballina	20-24	Year 12	F	664
Ballina	20-24	Year 12	M	620
Ballina	25-34		F	155
Ballina	25-34		M	148
Ballina	25-34	Did not go to school	F	11
