LGA_NAME21	Ancestry	FatherBornAus	MotherBornAus	responses
Albury				2793
Albury		0	0	109
Albury		0	1	22
Albury		1	0	9
Albury		1	1	456
Albury	Australian			196
Albury	Australian		1	18267
Albury	Australian	0	0	324
Albury	Australian	0	1	1574
Albury	Australian	1	0	1090
Albury	Australian Aboriginal			19
Albury	Australian Aboriginal	0	0	8
Albury	Australian Aboriginal	0	1	72
Albury	Australian Aboriginal	1	0	32
Albury	Australian Aboriginal	1	1	1911
Albury	Chinese			3
Albury	Chinese	0	0	316
Albury	Chinese	0	1	17
Albury	Chinese	1	0	28
Albury	Chinese	1	1	96
Albury	Croatian			4
Albury	Croatian	0	0	103
Albury	Croatian	0	1	39
Albury	Croatian	1	0	18
Albury	Croatian	1	1	69
Albury	Dutch			7
Albury	Dutch	0	0	374
Albury	Dutch	0	1	149
Albury	Dutch	1	0	85
Albury	Dutch	1	1	372
Albury	English			238
Albury	English	0	0	2018
Albury	English	0	1	1429
Albury	English	1	0	987
Albury	English	1	1	17559
Albury	Filipino			10
Albury	Filipino	0	0	442
Albury	Filipino	0	1	26
Albury	Filipino	1	0	80
Albury	Filipino	1	1	24
Albury	French			3
Albury	French	0	0	58
Albury	French	0	1	19
Albury	French	1	0	14
Albury	French	1	1	135
Albury	German			30
Albury	German	0	0	501
Albury	German	0	1	252
Albury	German	1	0	149
Albury	German	1	1	3210
Albury	Greek			5
Albury	Greek	0	0	141
Albury	Greek	0	1	41
Albury	Greek	1	0	13
Albury	Greek	1	1	151
Albury	Hungarian	0	0	83
Albury	Hungarian	0	1	24
Albury	Hungarian	1	0	5
Albury	Hungarian	1	1	61
Albury	Indian	0	0	845
Albury	Indian	0	1	31
Albury	Indian	1	0	21
Albury	Indian	1	1	10
Albury	Irish			43
Albury	Irish	0	0	401
Albury	Irish	0	1	385
Albury	Irish	1	0	222
Albury	Irish	1	1	6358
Albury	Italian			10
Albury	Italian	0	0	282
Albury	Italian	0	1	157
Albury	Italian	1	0	46
Albury	Italian	1	1	887
Albury	Korean	0	0	43
Albury	Korean	0	1	6
Albury	Korean	1	0	13
Albury	Korean	1	1	5
Albury	Lebanese	0	0	32
Albury	Lebanese	0	1	19
Albury	Lebanese	1	0	14
Albury	Lebanese	1	1	78
Albury	Macedonian	0	0	8
Albury	Macedonian	0	1	3
Albury	Macedonian	1	1	4
Albury	Maltese	0	0	40
Albury	Maltese	0	1	22
Albury	Maltese	1	0	15
Albury	Maltese	1	1	85
Albury	Maori			4
Albury	Maori	0	0	98
Albury	Maori	0	1	35
Albury	Maori	1	0	14
Albury	Maori	1	1	29
Albury	NZ	0	0	101
Albury	NZ	0	1	70
Albury	NZ	1	0	47
Albury	NZ	1	1	61
Albury	(Other)			50
Albury	(Other)	0	0	3128
Albury	(Other)	0	1	336
Albury	(Other)	1	0	269
Albury	(Other)	1	1	758
Albury	Polish	0	0	155
Albury	Polish	0	1	38
Albury	Polish	1	0	30
Albury	Polish	1	1	131
Albury	Russian	0	0	53
Albury	Russian	0	1	9
Albury	Russian	1	0	15
Albury	Russian	1	1	28
Albury	Samoan	0	0	17
Albury	Samoan	0	1	6
Albury	Samoan	1	1	3
Albury	Scottish			42
Albury	Scottish	0	0	537
Albury	Scottish	0	1	358
Albury	Scottish	1	0	247
Albury	Scottish	1	1	4882
Albury	Serbian	0	0	78
Albury	Serbian	0	1	13
Albury	Serbian	1	1	32
Albury	South African	0	0	88
Albury	South African	0	1	17
Albury	South African	1	0	9
Albury	South African	1	1	11
Albury	Spanish	0	0	73
Albury	Spanish	0	1	14
Albury	Spanish	1	0	15
Albury	Spanish	1	1	74
Albury	Sri Lankan	0	0	55
Albury	Sri Lankan	0	1	4
Albury	Sri Lankan	1	0	7
Albury	Sri Lankan	1	1	5
Albury	Vietnamese	0	0	72
Albury	Vietnamese	1	0	8
Albury	Vietnamese	1	1	6
Albury	Welsh	0	0	70
Albury	Welsh	0	1	38
Albury	Welsh	1	0	12
Albury	Welsh	1	1	153
Armidale Regional				2682
Armidale Regional		0	0	52
Armidale Regional		0	1	3
Armidale Regional		1	0	5
Armidale Regional		1	1	173
Armidale Regional	Australian			87
