LGA_NAME16	FamilyHousehold	IncomeHousehold.max	households
Albury	0		420
Albury	0	0	200
Albury	0	7875	74
Albury	0	15750	267
Albury	0	21000	506
Albury	0	26250	1291
Albury	0	34125	976
Albury	0	42000	625
Albury	0	52500	755
Albury	0	65625	755
Albury	0	78750	537
Albury	0	91875	417
Albury	0	105000	261
Albury	0	131250	425
Albury	0	157500	71
Albury	0	183750	78
Albury	0	210000	27
Albury	0	Inf	134
Albury	1		1043
Albury	1	0	98
Albury	1	7875	43
Albury	1	15750	67
Albury	1	21000	65
Albury	1	26250	246
Albury	1	34125	342
Albury	1	42000	937
Albury	1	52500	834
Albury	1	65625	1015
Albury	1	78750	1211
Albury	1	91875	929
Albury	1	105000	976
Albury	1	131250	2055
Albury	1	157500	1439
Albury	1	183750	1085
Albury	1	210000	642
Albury	1	Inf	1333
Armidale Regional	0		186
Armidale Regional	0	0	90
Armidale Regional	0	7875	52
Armidale Regional	0	15750	147
Armidale Regional	0	21000	251
Armidale Regional	0	26250	599
Armidale Regional	0	34125	437
Armidale Regional	0	42000	338
Armidale Regional	0	52500	369
Armidale Regional	0	65625	334
Armidale Regional	0	78750	253
Armidale Regional	0	91875	207
Armidale Regional	0	105000	145
Armidale Regional	0	131250	249
Armidale Regional	0	157500	38
Armidale Regional	0	183750	57
Armidale Regional	0	210000	8
Armidale Regional	0	Inf	74
Armidale Regional	1		491
Armidale Regional	1	0	72
Armidale Regional	1	7875	32
Armidale Regional	1	15750	35
Armidale Regional	1	21000	34
Armidale Regional	1	26250	130
Armidale Regional	1	34125	147
Armidale Regional	1	42000	484
Armidale Regional	1	52500	422
Armidale Regional	1	65625	489
Armidale Regional	1	78750	586
Armidale Regional	1	91875	431
Armidale Regional	1	105000	491
Armidale Regional	1	131250	880
Armidale Regional	1	157500	618
Armidale Regional	1	183750	448
Armidale Regional	1	210000	305
Armidale Regional	1	Inf	703
Ballina	0		338
Ballina	0	0	162
Ballina	0	7875	84
Ballina	0	15750	173
Ballina	0	21000	349
Ballina	0	26250	1066
Ballina	0	34125	824
Ballina	0	42000	499
Ballina	0	52500	562
Ballina	0	65625	446
Ballina	0	78750	332
Ballina	0	91875	252
Ballina	0	105000	189
Ballina	0	131250	291
Ballina	0	157500	62
Ballina	0	183750	64
Ballina	0	210000	13
Ballina	0	Inf	118
Ballina	1		935
Ballina	1	0	92
Ballina	1	7875	59
Ballina	1	15750	36
Ballina	1	21000	51
Ballina	1	26250	207
Ballina	1	34125	216
Ballina	1	42000	860
Ballina	1	52500	801
Ballina	1	65625	986
Ballina	1	78750	1109
Ballina	1	91875	751
Ballina	1	105000	801
Ballina	1	131250	1610
Ballina	1	157500	1142
Ballina	1	183750	872
Ballina	1	210000	529
Ballina	1	Inf	1402
Balranald	0		21
Balranald	0	0	6
Balranald	0	15750	9
Balranald	0	21000	20
Balranald	0	26250	46
Balranald	0	34125	22
Balranald	0	42000	12
Balranald	0	52500	16
Balranald	0	65625	26
Balranald	0	78750	19
Balranald	0	91875	5
Balranald	0	105000	4
Balranald	0	131250	11
Balranald	0	Inf	4
Balranald	1		61
Balranald	1	0	6
Balranald	1	15750	3
Balranald	1	21000	4
Balranald	1	26250	9
Balranald	1	34125	18
Balranald	1	42000	35
Balranald	1	52500	31
Balranald	1	65625	42
Balranald	1	78750	31
Balranald	1	91875	34
Balranald	1	105000	47
Balranald	1	131250	67
Balranald	1	157500	40
Balranald	1	183750	28
Balranald	1	210000	20
Balranald	1	Inf	33
Bathurst Regional	0		231
Bathurst Regional	0	0	148
Bathurst Regional	0	7875	63
Bathurst Regional	0	15750	139
Bathurst Regional	0	21000	320
