LGA_NAME21	PrivateDwelling	persons
Albury	0	4106
Albury	1	51728
Armidale Regional	0	4042
Armidale Regional	1	24900
Ballina	0	3178
Ballina	1	43109
Balranald	0	468
Balranald	1	1831
Bathurst Regional	0	4451
Bathurst Regional	1	39237
Bayside (NSW)	0	10474
Bayside (NSW)	1	164558
Bega Valley	0	3611
Bega Valley	1	32644
Bellingen	0	1399
Bellingen	1	12079
Berrigan	0	984
Berrigan	1	7500
Blacktown	0	21652
Blacktown	1	374682
Bland	0	835
Bland	1	4944
Blayney	0	543
Blayney	1	6883
Blue Mountains	0	3420
Blue Mountains	1	74488
Bogan	0	321
Bogan	1	2255
Bourke	0	577
Bourke	1	1936
Brewarrina	0	312
Brewarrina	1	1115
Broken Hill	0	2023
Broken Hill	1	15738
Burwood	0	2448
Burwood	1	37661
Byron	0	4875
Byron	1	31694
Cabonne	0	1155
Cabonne	1	12555
Camden	0	3641
Camden	1	115243
Campbelltown (NSW)	0	9515
Campbelltown (NSW)	1	166573
Canada Bay	0	4203
Canada Bay	1	84899
Canterbury-Bankstown	0	23093
Canterbury-Bankstown	1	345943
Carrathool	0	602
Carrathool	1	2403
Central Coast (NSW)	0	19852
Central Coast (NSW)	1	325898
Central Darling	0	627
Central Darling	1	1363
Cessnock	0	4937
Cessnock	1	58522
Clarence Valley	0	6370
Clarence Valley	1	48544
Cobar	0	1107
Cobar	1	3300
Coffs Harbour	0	6607
Coffs Harbour	1	72991
Coolamon	0	279
Coolamon	1	4035
Coonamble	0	712
Coonamble	1	3148
Cootamundra-Gundagai Regional	0	1178
Cootamundra-Gundagai Regional	1	10237
Cowra	0	1248
Cowra	1	11533
Cumberland	0	15661
Cumberland	1	219057
Dubbo Regional	0	6164
Dubbo Regional	1	48650
Dungog	0	543
Dungog	1	9030
Edward River	0	944
Edward River	1	7439
Eurobodalla	0	4608
Eurobodalla	1	36603
Fairfield	0	11097
Fairfield	1	196328
Federation	0	1060
Federation	1	11535
Forbes	0	1039
Forbes	1	8416
Georges River	0	6926
Georges River	1	145005
Gilgandra	0	648
Gilgandra	1	3697
Glen Innes Severn	0	1124
Glen Innes Severn	1	7774
Goulburn Mulwaree	0	3654
Goulburn Mulwaree	1	28814
Greater Hume Shire	0	1052
Greater Hume Shire	1	9975
Griffith	0	2512
Griffith	1	24800
Gunnedah	0	1292
Gunnedah	1	11755
Gwydir	0	577
Gwydir	1	4372
Hawkesbury	0	3517
Hawkesbury	1	63519
Hay	0	419
Hay	1	2470
Hilltops	0	1679
Hilltops	1	17543
Hornsby	0	5196
Hornsby	1	145666
Hunters Hill	0	982
Hunters Hill	1	12290
Inner West	0	10399
Inner West	1	169724
Inverell	0	2120
Inverell	1	15778
Junee	0	1335
Junee	1	5134
Kempsey	0	4066
Kempsey	1	27208
Kiama	0	1436
Kiama	1	21495
Ku-ring-gai	0	3851
Ku-ring-gai	1	119346
Kyogle	0	1017
Kyogle	1	8356
Lachlan	0	846
Lachlan	1	5253
Lake Macquarie	0	9151
Lake Macquarie	1	202247
Lane Cove	0	1534
Lane Cove	1	37351
Leeton	0	1506
Leeton	1	9897
Lismore	0	4071
Lismore	1	40626
Lithgow	0	2077
Lithgow	1	18842
Liverpool	0	14453
Liverpool	1	219216
Liverpool Plains	0	927
Liverpool Plains	1	6658
Lockhart	0	295
Lockhart	1	2979
Maitland	0	3537
Maitland	1	86155
Mid-Coast	0	8799
Mid-Coast	1	88606
Mid-Western Regional	0	2507
Mid-Western Regional	1	23540
Moree Plains	0	3222
Moree Plains	1	10051
Mosman	0	1131
Mosman	1	26464
Murray River	0	1157
Murray River	1	11448
Murrumbidgee	0	361
Murrumbidgee	1	2935
Muswellbrook	0	1678
Muswellbrook	1	14890
Nambucca Valley	0	2110
Nambucca Valley	1	18648
Narrabri	0	1976
Narrabri	1	11162
Narrandera	0	707
Narrandera	1	4959
Narromine	0	863
Narromine	1	5447
Newcastle	0	11674
Newcastle	1	155965
North Sydney	0	3415
North Sydney	1	64138
Northern Beaches	0	10172
Northern Beaches	1	250446
Oberon	0	867
Oberon	1	4769
Orange	0	3913
Orange	1	40067
Parkes	0	1396
Parkes	1	12991
Parramatta	0	14456
Parramatta	1	242451
Penrith	0	13036
Penrith	1	204448
Port Macquarie-Hastings	0	6064
Port Macquarie-Hastings	1	81253
Port Stephens	0	4098
Port Stephens	1	70350
Queanbeyan-Palerang Regional	0	3621
Queanbeyan-Palerang Regional	1	59373
Randwick	0	10638
Randwick	1	122299
Richmond Valley	0	2651
Richmond Valley	1	21155
Ryde	0	6748
Ryde	1	122030
Shellharbour	0	3285
Shellharbour	1	72581
Shoalhaven	0	9869
Shoalhaven	1	99189
Singleton	0	2249
Singleton	1	22630
Snowy Monaro Regional	0	7708
Snowy Monaro Regional	1	19632
Snowy Valleys	0	1669
Snowy Valleys	1	13259
Strathfield	0	2228
Strathfield	1	43137
Sutherland Shire	0	7900
Sutherland Shire	1	220331
Sydney	0	29132
Sydney	1	186267
Tamworth Regional	0	5560
Tamworth Regional	1	57834
Temora	0	463
Temora	1	5558
Tenterfield	0	931
Tenterfield	1	6064
The Hills Shire	0	5010
The Hills Shire	1	186466
Tweed	0	8852
Tweed	1	89273
Upper Hunter Shire	0	1242
Upper Hunter Shire	1	13144
Upper Lachlan Shire	0	851
Upper Lachlan Shire	1	7724
Uralla	0	431
Uralla	1	5505
Wagga Wagga	0	6819
Wagga Wagga	1	61836
Walcha	0	356
Walcha	1	2641
Walgett	0	1897
Walgett	1	3757
Warren	0	382
Warren	1	2237
Warrumbungle Shire	0	1583
Warrumbungle Shire	1	7836
Waverley	0	4464
Waverley	1	62671
Weddin	0	271
Weddin	1	3258
Wentworth	0	1325
Wentworth	1	6349
Willoughby	0	4215
Willoughby	1	71673
Wingecarribee	0	3694
Wingecarribee	1	49397
Wollondilly	0	2263
Wollondilly	1	51348
Wollongong	0	11444
Wollongong	1	202026
Woollahra	0	3039
Woollahra	1	48759
Yass Valley	0	1215
Yass Valley	1	16094
Unincorporated NSW	0	305
Unincorporated NSW	1	919
Migratory - Offshore - Shipping (NSW)	0	32
Alpine	0	1723
Alpine	1	11832
Ararat	0	1707
Ararat	1	10131
Ballarat	0	7583
Ballarat	1	105529
Banyule	0	5924
Banyule	1	119930
Bass Coast	0	3669
Bass Coast	1	36701
Baw Baw	0	3389
Baw Baw	1	53248
Bayside (Vic.)	0	4280
Bayside (Vic.)	1	95340
Benalla	0	1333
Benalla	1	13076
Boroondara	0	7550
Boroondara	1	157939
Brimbank	0	11224
Brimbank	1	182951
Buloke	0	693
Buloke	1	5543
Campaspe	0	3081
Campaspe	1	35408
Cardinia	0	5327
Cardinia	1	111905
Casey	0	15782
Casey	1	347960
Central Goldfields	0	1098
Central Goldfields	1	12275
Colac Otway	0	2046
Colac Otway	1	20355
Corangamite	0	1261
Corangamite	1	14642
Darebin	0	7252
Darebin	1	139916
East Gippsland	0	4646
East Gippsland	1	43728
Frankston	0	7998
Frankston	1	130515
Gannawarra	0	931
Gannawarra	1	9631
Glen Eira	0	5841
Glen Eira	1	141556
Glenelg	0	1701
Glenelg	1	18215
Golden Plains	0	1098
Golden Plains	1	23559
Greater Bendigo	0	8409
Greater Bendigo	1	112371
Greater Dandenong	0	9812
Greater Dandenong	1	148426
Greater Geelong	0	17880
Greater Geelong	1	250595
Greater Shepparton	0	5766
Greater Shepparton	1	62219
Hepburn	0	1609
Hepburn	1	14864
Hindmarsh	0	435
Hindmarsh	1	5203
Hobsons Bay	0	4356
Hobsons Bay	1	86171
Horsham	0	1448
Horsham	1	18910
Hume	0	11870
Hume	1	231661
Indigo	0	1252
Indigo	1	15771
Kingston (Vic.)	0	6084
Kingston (Vic.)	1	150777
Knox	0	5903
Knox	1	152501
Latrobe (Vic.)	0	6837
Latrobe (Vic.)	1	70404
Loddon	0	932
Loddon	1	6780
Macedon Ranges	0	2802
Macedon Ranges	1	48001
Manningham	0	4438
Manningham	1	119285
Mansfield	0	1627
Mansfield	1	8687
Maribyrnong	0	4918
Maribyrnong	1	79604
Maroondah	0	4509
Maroondah	1	109418
Melbourne	0	24093
Melbourne	1	129202
Melton	0	10287
Melton	1	168214
Mildura	0	5363
Mildura	1	51678
Mitchell	0	3509
Mitchell	1	45838
Moira	0	2763
Moira	1	27520
Monash	0	12002
Monash	1	178384
Moonee Valley	0	5278
Moonee Valley	1	115303
Moorabool	0	1924
Moorabool	1	35311
Moreland	0	8088
Moreland	1	161625
Mornington Peninsula	0	13446
Mornington Peninsula	1	154240
Mount Alexander	0	2019
Mount Alexander	1	18153
Moyne	0	1220
Moyne	1	15936
Murrindindi	0	1635
Murrindindi	1	13549
Nillumbik	0	1883
Nillumbik	1	60122
Northern Grampians	0	1311
Northern Grampians	1	10665
Port Phillip	0	8271
Port Phillip	1	92355
Pyrenees	0	978
Pyrenees	1	6610
Queenscliffe	0	408
Queenscliffe	1	2924
South Gippsland	0	2465
South Gippsland	1	27855
Southern Grampians	0	1271
Southern Grampians	1	15231
Stonnington	0	6587
Stonnington	1	96439
Strathbogie	0	1147
Strathbogie	1	10228
Surf Coast	0	3102
