LGA_NAME21	Religion	Denomination	Sex	persons
Albury	(Other)		F	1890
Albury	(Other)		M	2084
Albury	(Other)	(Other)	F	107
Albury	(Other)	(Other)	M	80
Albury	(Other)	Australian Aboriginal Traditional	F	3
Albury	(Other)	Other spiritual beliefs	F	41
Albury	(Other)	Other spiritual beliefs	M	31
Albury	(Other)	Secular beliefs	F	48
Albury	(Other)	Secular beliefs	M	69
Albury	(Other)	Sikhism	F	312
Albury	(Other)	Sikhism	M	378
Albury	Buddhism		F	278
Albury	Buddhism		M	182
Albury	Christianity		F	593
Albury	Christianity		M	513
Albury	Christianity	(Other)	F	20
Albury	Christianity	(Other)	M	14
Albury	Christianity	Anglican	F	3986
Albury	Christianity	Anglican	M	3099
Albury	Christianity	Baptist	F	261
Albury	Christianity	Baptist	M	244
Albury	Christianity	Brethren	F	75
Albury	Christianity	Brethren	M	75
Albury	Christianity	Catholic	F	6600
Albury	Christianity	Catholic	M	5740
Albury	Christianity	Churches Of Christ	F	20
Albury	Christianity	Churches Of Christ	M	11
Albury	Christianity	Eastern Orthodox	F	143
Albury	Christianity	Eastern Orthodox	M	143
Albury	Christianity	Jehovah's Witnesses	F	125
Albury	Christianity	Jehovah's Witnesses	M	79
Albury	Christianity	Latter Day Saints	F	27
Albury	Christianity	Latter Day Saints	M	29
Albury	Christianity	Lutheran	F	568
Albury	Christianity	Lutheran	M	376
Albury	Christianity	Oriental Orthodox	F	13
Albury	Christianity	Oriental Orthodox	M	12
Albury	Christianity	Pentecostal	F	342
Albury	Christianity	Pentecostal	M	266
Albury	Christianity	Presbyterian Reformed	F	794
Albury	Christianity	Presbyterian Reformed	M	653
Albury	Christianity	Protestant (Other)	F	60
Albury	Christianity	Protestant (Other)	M	53
Albury	Christianity	Salvation Army	F	48
Albury	Christianity	Salvation Army	M	38
Albury	Christianity	Seventh Day Adventist	F	110
Albury	Christianity	Seventh Day Adventist	M	99
Albury	Christianity	Uniting Church	F	1020
Albury	Christianity	Uniting Church	M	703
Albury	Hinduism		F	595
Albury	Hinduism		M	676
Albury	Islam		F	141
Albury	Islam		M	186
Albury	Judaism		F	21
Albury	Judaism		M	21
Albury	No religion		F	10788
Albury	No religion		M	11241
Armidale Regional	(Other)		F	1707
Armidale Regional	(Other)		M	1598
Armidale Regional	(Other)	(Other)	F	362
Armidale Regional	(Other)	(Other)	M	296
Armidale Regional	(Other)	Australian Aboriginal Traditional	F	8
Armidale Regional	(Other)	Australian Aboriginal Traditional	M	8
Armidale Regional	(Other)	Other spiritual beliefs	F	36
Armidale Regional	(Other)	Other spiritual beliefs	M	16
Armidale Regional	(Other)	Secular beliefs	F	45
Armidale Regional	(Other)	Secular beliefs	M	62
Armidale Regional	(Other)	Sikhism	F	50
Armidale Regional	(Other)	Sikhism	M	45
Armidale Regional	Buddhism		F	179
Armidale Regional	Buddhism		M	124
Armidale Regional	Christianity		F	315
Armidale Regional	Christianity		M	254
Armidale Regional	Christianity	(Other)	F	11
Armidale Regional	Christianity	(Other)	M	15
Armidale Regional	Christianity	Anglican	F	2758
Armidale Regional	Christianity	Anglican	M	2392
Armidale Regional	Christianity	Baptist	F	136
Armidale Regional	Christianity	Baptist	M	112
Armidale Regional	Christianity	Brethren	F	77
Armidale Regional	Christianity	Brethren	M	89
Armidale Regional	Christianity	Catholic	F	2656
Armidale Regional	Christianity	Catholic	M	2279
Armidale Regional	Christianity	Churches Of Christ	F	7
Armidale Regional	Christianity	Churches Of Christ	M	7
Armidale Regional	Christianity	Eastern Orthodox	F	36
Armidale Regional	Christianity	Eastern Orthodox	M	33
Armidale Regional	Christianity	Jehovah's Witnesses	F	44
Armidale Regional	Christianity	Jehovah's Witnesses	M	30
Armidale Regional	Christianity	Latter Day Saints	F	15
Armidale Regional	Christianity	Latter Day Saints	M	19
Armidale Regional	Christianity	Lutheran	F	23
Armidale Regional	Christianity	Lutheran	M	19
Armidale Regional	Christianity	Oriental Orthodox	F	4
Armidale Regional	Christianity	Pentecostal	F	117
Armidale Regional	Christianity	Pentecostal	M	92
Armidale Regional	Christianity	Presbyterian Reformed	F	541
Armidale Regional	Christianity	Presbyterian Reformed	M	467
Armidale Regional	Christianity	Protestant (Other)	F	33
Armidale Regional	Christianity	Protestant (Other)	M	44
Armidale Regional	Christianity	Salvation Army	F	47
Armidale Regional	Christianity	Salvation Army	M	32
Armidale Regional	Christianity	Seventh Day Adventist	F	78
Armidale Regional	Christianity	Seventh Day Adventist	M	73
Armidale Regional	Christianity	Uniting Church	F	401
Armidale Regional	Christianity	Uniting Church	M	291
Armidale Regional	Hinduism		F	219
Armidale Regional	Hinduism		M	218
Armidale Regional	Islam		F	174
Armidale Regional	Islam		M	194
Armidale Regional	Judaism		F	9
Armidale Regional	Judaism		M	15
Armidale Regional	No religion		F	5016
Armidale Regional	No religion		M	5175
Ballina	(Other)		F	1683
Ballina	(Other)		M	1649
Ballina	(Other)	(Other)	F	89
Ballina	(Other)	(Other)	M	51
Ballina	(Other)	Australian Aboriginal Traditional	F	13
Ballina	(Other)	Australian Aboriginal Traditional	M	10
Ballina	(Other)	Other spiritual beliefs	F	100
Ballina	(Other)	Other spiritual beliefs	M	47
Ballina	(Other)	Secular beliefs	F	52
Ballina	(Other)	Secular beliefs	M	68
Ballina	(Other)	Sikhism	F	47
Ballina	(Other)	Sikhism	M	51
Ballina	Buddhism		F	308
Ballina	Buddhism		M	183
Ballina	Christianity		F	535
Ballina	Christianity		M	446
Ballina	Christianity	(Other)	F	32
Ballina	Christianity	(Other)	M	24
Ballina	Christianity	Anglican	F	3826
Ballina	Christianity	Anglican	M	3110
Ballina	Christianity	Baptist	F	290
Ballina	Christianity	Baptist	M	230
Ballina	Christianity	Catholic	F	4868
Ballina	Christianity	Catholic	M	4255
Ballina	Christianity	Churches Of Christ	F	4
Ballina	Christianity	Churches Of Christ	M	5
Ballina	Christianity	Eastern Orthodox	F	62
Ballina	Christianity	Eastern Orthodox	M	56
Ballina	Christianity	Jehovah's Witnesses	F	145
Ballina	Christianity	Jehovah's Witnesses	M	121
Ballina	Christianity	Latter Day Saints	F	30
Ballina	Christianity	Latter Day Saints	M	25
Ballina	Christianity	Lutheran	F	64
Ballina	Christianity	Lutheran	M	53
Ballina	Christianity	Oriental Orthodox	M	7
Ballina	Christianity	Pentecostal	F	283
Ballina	Christianity	Pentecostal	M	197
Ballina	Christianity	Presbyterian Reformed	F	812
Ballina	Christianity	Presbyterian Reformed	M	673
Ballina	Christianity	Protestant (Other)	F	62
Ballina	Christianity	Protestant (Other)	M	49
Ballina	Christianity	Salvation Army	F	44
Ballina	Christianity	Salvation Army	M	27
Ballina	Christianity	Seventh Day Adventist	F	128
Ballina	Christianity	Seventh Day Adventist	M	94
Ballina	Christianity	Uniting Church	F	847
Ballina	Christianity	Uniting Church	M	627
Ballina	Hinduism		F	78
Ballina	Hinduism		M	80
Ballina	Islam		F	34
Ballina	Islam		M	34
Ballina	Judaism		F	31
Ballina	Judaism		M	33
Ballina	No religion		F	9550
Ballina	No religion		M	10048
Balranald	(Other)		F	166
Balranald	(Other)		M	162
Balranald	(Other)	Sikhism	F	3
Balranald	(Other)	Sikhism	M	4
Balranald	Buddhism		F	17
Balranald	Buddhism		M	13
Balranald	Christianity		F	33
Balranald	Christianity		M	35
Balranald	Christianity	Anglican	F	135
Balranald	Christianity	Anglican	M	105
Balranald	Christianity	Baptist	F	3
Balranald	Christianity	Baptist	M	3
Balranald	Christianity	Catholic	F	330
Balranald	Christianity	Catholic	M	339
Balranald	Christianity	Churches Of Christ	F	4
Balranald	Christianity	Jehovah's Witnesses	F	7
Balranald	Christianity	Latter Day Saints	F	6
Balranald	Christianity	Lutheran	F	4
Balranald	Christianity	Lutheran	M	4
Balranald	Christianity	Presbyterian Reformed	F	54
Balranald	Christianity	Presbyterian Reformed	M	50
Balranald	Christianity	Protestant (Other)	F	6
Balranald	Christianity	Protestant (Other)	M	11
Balranald	Christianity	Seventh Day Adventist	F	6
Balranald	Christianity	Uniting Church	F	39
Balranald	Christianity	Uniting Church	M	29
Balranald	Hinduism		F	6
Balranald	Hinduism		M	9
Balranald	Islam		F	7
Balranald	Islam		M	8
Balranald	No religion		F	286
Balranald	No religion		M	348
Bathurst Regional	(Other)		F	1332
