LGA_NAME21	medianMortgageRepayment
Albury	17676
Armidale Regional	17232
Ballina	23400
Balranald	12996
Bathurst Regional	20796
Bayside (NSW)	29616
Bega Valley	18192
Bellingen	18204
Berrigan	14484
Blacktown	28596
Bland	12996
Blayney	18204
Blue Mountains	24420
Bogan	12996
Bourke	10944
Brewarrina	9048
Broken Hill	10404
Burwood	30000
Byron	26004
Cabonne	19500
Camden	30000
Campbelltown (NSW)	25200
Canada Bay	36000
Canterbury-Bankstown	26004
Carrathool	10404
Central Coast (NSW)	24000
Central Darling	7800
Cessnock	19764
Clarence Valley	16536
Cobar	13152
Coffs Harbour	20796
Coolamon	15600
Coonamble	10404
Cootamundra-Gundagai Regional	14040
Cowra	14400
Cumberland	26004
Dubbo Regional	18204
Dungog	21840
Edward River	12996
Eurobodalla	18204
Fairfield	24000
Federation	15600
Forbes	15396
Georges River	29688
Gilgandra	12996
Glen Innes Severn	12996
Goulburn Mulwaree	20796
Greater Hume Shire	15600
Griffith	17676
Gunnedah	17712
Gwydir	11964
Hawkesbury	26400
Hay	10728
Hilltops	14556
Hornsby	31200
Hunters Hill	48000
Inner West	36000
Inverell	14520
Junee	15084
Kempsey	15612
Kiama	26328
Ku-ring-gai	42000
Kyogle	14688
Lachlan	10536
Lake Macquarie	23400
Lane Cove	35760
Leeton	15600
Lismore	18204
Lithgow	18000
Liverpool	26400
Liverpool Plains	13596
Lockhart	14304
Maitland	21948
Mid-Coast	18000
Mid-Western Regional	20796
Moree Plains	15600
Mosman	46440
Murray River	16896
Murrumbidgee	10428
Muswellbrook	18204
Nambucca Valley	16416
Narrabri	16116
Narrandera	12000
Narromine	14400
Newcastle	23844
North Sydney	36000
Northern Beaches	37488
Oberon	18720
Orange	20400
Parkes	15600
Parramatta	28596
Penrith	26004
Port Macquarie-Hastings	20796
Port Stephens	20796
Queanbeyan-Palerang Regional	26004
Randwick	36396
Richmond Valley	16092
Ryde	31200
Shellharbour	25368
Shoalhaven	20796
Singleton	23004
Snowy Monaro Regional	18000
Snowy Valleys	15600
Strathfield	27600
Sutherland Shire	31440
Sydney	32400
Tamworth Regional	18204
Temora	13200
Tenterfield	12996
The Hills Shire	36000
Tweed	22464
Upper Hunter Shire	18720
Upper Lachlan Shire	18480
Uralla	15996
Wagga Wagga	18204
Walcha	12672
Walgett	10296
Warren	12540
Warrumbungle Shire	11064
Waverley	42000
Weddin	11436
Wentworth	15600
Willoughby	39588
Wingecarribee	26004
Wollondilly	28356
Wollongong	26004
Woollahra	46800
Yass Valley	26004
Unincorporated NSW	15600
