LGA_NAME21	medianTotalHouseholdIncome
Albury	74360
Armidale Regional	73008
Ballina	74308
Balranald	71240
Bathurst Regional	82420
Bayside (NSW)	101868
Bega Valley	62400
Bellingen	62244
Berrigan	58656
Blacktown	109564
Bland	68952
Blayney	80444
Blue Mountains	91312
Bogan	75088
Bourke	81068
Brewarrina	50024
Broken Hill	60996
Burwood	97084
Byron	83304
Cabonne	79976
Camden	122356
Campbelltown (NSW)	88400
Canada Bay	123292
Canterbury-Bankstown	80912
Carrathool	78832
Central Coast (NSW)	78364
Central Darling	51376
Cessnock	77636
Clarence Valley	58396
Cobar	90480
Coffs Harbour	70876
Coolamon	68120
Coonamble	64012
Cootamundra-Gundagai Regional	58864
Cowra	57824
Cumberland	87256
Dubbo Regional	83044
Dungog	77220
Edward River	64480
Eurobodalla	60684
Fairfield	72280
Federation	61724
Forbes	65468
Georges River	103532
Gilgandra	59748
Glen Innes Severn	48568
Goulburn Mulwaree	76232
Greater Hume Shire	73840
Griffith	90376
Gunnedah	80964
Gwydir	53508
Hawkesbury	102960
Hay	64272
Hilltops	61100
Hornsby	125684
Hunters Hill	155896
Inner West	121680
Inverell	60476
Junee	72696
Kempsey	56420
Kiama	95368
Ku-ring-gai	157976
Kyogle	51116
Lachlan	63336
Lake Macquarie	84396
Lane Cove	145652
Leeton	73684
Lismore	68588
Lithgow	62192
Liverpool	94588
Liverpool Plains	60580
Lockhart	67340
Maitland	91832
Mid-Coast	55120
Mid-Western Regional	77272
Moree Plains	79248
Mosman	150384
Murray River	65520
Murrumbidgee	72852
Muswellbrook	84656
Nambucca Valley	50752
Narrabri	77896
Narrandera	61568
Narromine	68016
Newcastle	91520
North Sydney	131248
Northern Beaches	134784
Oberon	74932
Orange	86580
Parkes	69472
Parramatta	106652
Penrith	98956
Port Macquarie-Hastings	65676
Port Stephens	71344
Queanbeyan-Palerang Regional	119340
Randwick	119860
Richmond Valley	59124
Ryde	109096
Shellharbour	85644
Shoalhaven	65000
Singleton	104832
Snowy Monaro Regional	82836
Snowy Valleys	67912
Strathfield	109460
Sutherland Shire	118976
Sydney	115024
Tamworth Regional	73632
Temora	62556
Tenterfield	46020
The Hills Shire	147212
Tweed	67392
Upper Hunter Shire	74308
Upper Lachlan Shire	76180
Uralla	69992
Wagga Wagga	85176
Walcha	63648
Walgett	52052
Warren	68692
Warrumbungle Shire	55536
Waverley	148408
Weddin	54392
Wentworth	72384
Willoughby	132912
Wingecarribee	86996
Wollondilly	111852
Wollongong	87464
Woollahra	165984
Yass Valley	119028
Unincorporated NSW	85176
No usual address (NSW)	
Migratory - Offshore - Shipping (NSW)	
Alpine	69680
Ararat	65104
Ballarat	74308
Banyule	105404
Bass Coast	60476
Baw Baw	77740
Bayside (Vic.)	129324
Benalla	61984
Boroondara	123552
Brimbank	78312
Buloke	56576
Campaspe	65728
Cardinia	97448
Casey	99736
Central Goldfields	47008
Colac Otway	66404
Corangamite	65676
Darebin	95108
East Gippsland	57720
Frankston	85956
Gannawarra	55692
Glen Eira	110916
