POA_CODE_2021	Age	persons
POA0800	0-4	258
POA0800	5-14	342
POA0800	15-19	151
POA0800	20-24	658
POA0800	25-34	2402
POA0800	35-44	1286
POA0800	45-54	825
POA0800	55-64	708
POA0800	65-74	394
POA0800	75-84	100
POA0800	85+	20
POA0810	0-4	2398
POA0810	5-14	4579
POA0810	15-19	1752
POA0810	20-24	2045
POA0810	25-34	6525
POA0810	35-44	5583
POA0810	45-54	4320
POA0810	55-64	3284
POA0810	65-74	2453
POA0810	75-84	1115
POA0810	85+	277
POA0812	0-4	1277
POA0812	5-14	2799
POA0812	15-19	1197
POA0812	20-24	1003
POA0812	25-34	2501
POA0812	35-44	2717
POA0812	45-54	2527
POA0812	55-64	2310
POA0812	65-74	1578
POA0812	75-84	611
POA0812	85+	114
POA0820	0-4	1093
POA0820	5-14	2008
POA0820	15-19	872
POA0820	20-24	1365
POA0820	25-34	4540
POA0820	35-44	3164
POA0820	45-54	2532
POA0820	55-64	2186
POA0820	65-74	1389
POA0820	75-84	602
POA0820	85+	168
POA0822	0-4	1658
POA0822	5-14	4073
POA0822	15-19	2303
POA0822	20-24	2147
POA0822	25-34	4262
POA0822	35-44	3595
POA0822	45-54	3163
POA0822	55-64	2411
POA0822	65-74	1259
POA0822	75-84	385
POA0822	85+	54
POA0828	0-4	110
POA0828	5-14	234
POA0828	15-19	153
POA0828	20-24	92
POA0828	25-34	290
POA0828	35-44	256
POA0828	45-54	221
POA0828	55-64	190
POA0828	65-74	100
POA0828	75-84	43
POA0828	85+	3
POA0829	0-4	16
POA0829	5-14	28
POA0829	15-19	103
POA0829	20-24	443
POA0829	25-34	588
POA0829	35-44	377
POA0829	45-54	225
POA0829	55-64	108
POA0829	65-74	51
POA0829	75-84	14
POA0829	85+	7
POA0830	0-4	1519
POA0830	5-14	2936
POA0830	15-19	1090
POA0830	20-24	1165
POA0830	25-34	3069
POA0830	35-44	2822
POA0830	45-54	2474
POA0830	55-64	1876
POA0830	65-74	1085
POA0830	75-84	350
POA0830	85+	113
POA0832	0-4	1798
POA0832	5-14	3149
POA0832	15-19	1173
POA0832	20-24	1356
POA0832	25-34	3820
POA0832	35-44	3271
POA0832	45-54	2129
POA0832	55-64	1196
POA0832	65-74	590
POA0832	75-84	202
POA0832	85+	51
POA0834	0-4	87
POA0834	5-14	228
POA0834	15-19	123
POA0834	20-24	86
POA0834	25-34	198
POA0834	35-44	215
POA0834	45-54	329
POA0834	55-64	300
POA0834	65-74	202
POA0834	75-84	47
POA0834	85+	10
POA0835	0-4	188
POA0835	5-14	367
POA0835	15-19	192
POA0835	20-24	151
POA0835	25-34	346
POA0835	35-44	411
POA0835	45-54	515
POA0835	55-64	498
POA0835	65-74	325
POA0835	75-84	140
POA0835	85+	16
POA0836	0-4	455
POA0836	5-14	1158
POA0836	15-19	483
POA0836	20-24	363
POA0836	25-34	869
POA0836	35-44	1106
POA0836	45-54	1326
POA0836	55-64	1049
POA0836	65-74	593
POA0836	75-84	159
POA0836	85+	33
POA0837	0-4	29
POA0837	5-14	55
POA0837	15-19	20
POA0837	20-24	17
POA0837	25-34	56
POA0837	35-44	83
POA0837	45-54	61
POA0837	55-64	89
POA0837	65-74	66
POA0837	75-84	15
POA0837	85+	4
POA0838	0-4	57
POA0838	5-14	148
POA0838	15-19	37
POA0838	20-24	33
POA0838	25-34	107
POA0838	35-44	140
POA0838	45-54	112
POA0838	55-64	135
POA0838	65-74	85
POA0838	75-84	21
POA0839	0-4	35
POA0839	5-14	52
POA0839	15-19	12
POA0839	20-24	56
POA0839	25-34	143
POA0839	35-44	45
POA0839	45-54	50
POA0839	55-64	36
POA0839	65-74	54
POA0839	75-84	14
POA0839	85+	6
POA0840	0-4	9
POA0840	5-14	35
POA0840	15-19	6
POA0840	25-34	7
POA0840	35-44	39
POA0840	45-54	76
POA0840	55-64	104
POA0840	65-74	148
POA0840	75-84	28
POA0841	0-4	32
POA0841	5-14	74
POA0841	15-19	35
POA0841	20-24	24
POA0841	25-34	46
POA0841	35-44	80
POA0841	45-54	134
POA0841	55-64	106
POA0841	65-74	77
POA0841	75-84	30
POA0845	0-4	26
POA0845	5-14	50
POA0845	15-19	23
POA0845	20-24	14
POA0845	25-34	37
POA0845	35-44	46
POA0845	45-54	61
POA0845	55-64	66
POA0845	65-74	57
POA0845	75-84	18
POA0846	0-4	11
POA0846	5-14	41
POA0846	15-19	10
POA0846	20-24	11
POA0846	25-34	41
POA0846	35-44	21
POA0846	45-54	40
POA0846	55-64	64
POA0846	65-74	57
POA0846	75-84	25
POA0846	85+	3
POA0847	0-4	15
POA0847	5-14	46
POA0847	15-19	27
POA0847	20-24	19
POA0847	25-34	46
POA0847	35-44	24
POA0847	45-54	49
POA0847	55-64	45
POA0847	65-74	35
POA0847	75-84	12
POA0850	0-4	552
POA0850	5-14	1176
POA0850	15-19	438
POA0850	20-24	529
POA0850	25-34	1441
POA0850	35-44	1091
POA0850	45-54	986
POA0850	55-64	892
POA0850	65-74	522
POA0850	75-84	204
POA0850	85+	39
POA0852	0-4	695
POA0852	5-14	1463
POA0852	15-19	802
POA0852	20-24	901
POA0852	25-34	1531
POA0852	35-44	1129
POA0852	45-54	968
POA0852	55-64	716
POA0852	65-74	401
POA0852	75-84	104
POA0852	85+	27
POA0853	0-4	85
POA0853	5-14	146
POA0853	15-19	16
POA0853	20-24	88
POA0853	25-34	261
POA0853	35-44	162
POA0853	45-54	69
POA0853	55-64	23
POA0853	65-74	3
POA0853	85+	3
POA0854	0-4	53
POA0854	5-14	123
POA0854	15-19	55
POA0854	20-24	63
POA0854	25-34	108
POA0854	35-44	93
POA0854	45-54	107
POA0854	55-64	86
POA0854	65-74	42
POA0854	75-84	14
POA0860	0-4	271
POA0860	5-14	400
POA0860	15-19	167
POA0860	20-24	185
POA0860	25-34	571
POA0860	35-44	407
POA0860	45-54	416
POA0860	55-64	385
POA0860	65-74	204
POA0860	75-84	68
POA0860	85+	11
POA0862	0-4	54
POA0862	5-14	94
POA0862	15-19	59
POA0862	20-24	99
POA0862	25-34	145
POA0862	35-44	84
POA0862	45-54	67
POA0862	55-64	66
POA0862	65-74	42
POA0862	75-84	6
POA0870	0-4	1467
POA0870	5-14	2782
POA0870	15-19	1176
POA0870	20-24	1005
POA0870	25-34	3998
POA0870	35-44	3235
POA0870	45-54	2533
POA0870	55-64	2317
POA0870	65-74	1310
POA0870	75-84	429
POA0870	85+	96
POA0872	0-4	1101
POA0872	5-14	2312
POA0872	15-19	1175
POA0872	20-24	1311
POA0872	25-34	2833
POA0872	35-44	2157
POA0872	45-54	1728
POA0872	55-64	1269
POA0872	65-74	567
POA0872	75-84	178
POA0872	85+	43
POA0873	0-4	167
POA0873	5-14	326
POA0873	15-19	154
POA0873	20-24	118
POA0873	25-34	402
POA0873	35-44	339
POA0873	45-54	390
POA0873	55-64	403
POA0873	65-74	262
POA0873	75-84	124
POA0873	85+	69
POA0874	0-4	45
POA0874	5-14	62
POA0874	15-19	9
POA0874	20-24	28
POA0874	25-34	130
POA0874	35-44	93
POA0874	45-54	82
POA0874	55-64	85
POA0874	65-74	18
POA0874	75-84	3
POA0874	85+	4
POA0875	0-4	212
POA0875	5-14	411
POA0875	15-19	163
POA0875	20-24	141
POA0875	25-34	385
POA0875	35-44	387
POA0875	45-54	333
POA0875	55-64	269
POA0875	65-74	123
POA0875	75-84	49
POA0875	85+	11
POA0880	0-4	355
POA0880	5-14	893
POA0880	15-19	335
POA0880	20-24	278
POA0880	25-34	852
POA0880	35-44	907
POA0880	45-54	660
POA0880	55-64	464
POA0880	65-74	168
POA0880	75-84	43
POA0885	0-4	95
POA0885	5-14	161
POA0885	15-19	19
POA0885	20-24	14
POA0885	25-34	107
POA0885	35-44	167
POA0885	45-54	97
POA0885	55-64	77
POA0885	65-74	20
POA0886	0-4	63
POA0886	5-14	107
POA0886	15-19	40
POA0886	20-24	37
POA0886	25-34	137
POA0886	35-44	114
POA0886	45-54	136
POA0886	55-64	96
POA0886	65-74	23
POA0886	75-84	9
POA2000	0-4	694
POA2000	5-14	725
POA2000	15-19	610
POA2000	20-24	3429
POA2000	25-34	10684
POA2000	35-44	5424
POA2000	45-54	2398
POA2000	55-64	1872
POA2000	65-74	1310
POA2000	75-84	625
POA2000	85+	165
POA2007	0-4	219
POA2007	5-14	266
POA2007	15-19	265
POA2007	20-24	1261
POA2007	25-34	2654
POA2007	35-44	1281
POA2007	45-54	600
POA2007	55-64	389
POA2007	65-74	292
POA2007	75-84	122
POA2007	85+	56
POA2008	0-4	213
POA2008	5-14	205
POA2008	15-19	480
POA2008	20-24	2662
POA2008	25-34	3861
POA2008	35-44	1384
POA2008	45-54	686
POA2008	55-64	504
POA2008	65-74	295
POA2008	75-84	97
POA2008	85+	25
POA2009	0-4	612
POA2009	5-14	684
POA2009	15-19	296
POA2009	20-24	708
POA2009	25-34	3197
POA2009	35-44	2708
POA2009	45-54	1489
POA2009	55-64	1325
POA2009	65-74	1087
POA2009	75-84	447
POA2009	85+	98
POA2010	0-4	609
POA2010	5-14	825
POA2010	15-19	369
POA2010	20-24	1987
POA2010	25-34	8431
POA2010	35-44	5247
POA2010	45-54	3422
POA2010	55-64	2706
POA2010	65-74	1653
POA2010	75-84	863
POA2010	85+	330
POA2011	0-4	350
POA2011	5-14	416
POA2011	15-19	246
POA2011	20-24	998
POA2011	25-34	5205
POA2011	35-44	3462
POA2011	45-54	2440
POA2011	55-64	2119
POA2011	65-74	1651
POA2011	75-84	872
POA2011	85+	418
POA2015	0-4	578
POA2015	5-14	731
POA2015	15-19	236
POA2015	20-24	727
POA2015	25-34	3634
POA2015	35-44	2464
POA2015	45-54	1455
POA2015	55-64	884
POA2015	65-74	493
POA2015	75-84	179
POA2015	85+	44
POA2016	0-4	453
POA2016	5-14	617
POA2016	15-19	257
POA2016	20-24	1072
POA2016	25-34	3578
POA2016	35-44	2286
POA2016	45-54	1649
POA2016	55-64	1391
POA2016	65-74	978
POA2016	75-84	569
POA2016	85+	211
POA2017	0-4	1252
POA2017	5-14	1041
POA2017	15-19	564
POA2017	20-24	3481
POA2017	25-34	11184
POA2017	35-44	5261
POA2017	45-54	2272
POA2017	55-64	1779
POA2017	65-74	1293
POA2017	75-84	634
POA2017	85+	233
POA2018	0-4	1150
POA2018	5-14	1487
POA2018	15-19	789
POA2018	20-24	1660
POA2018	25-34	4905
POA2018	35-44	3264
POA2018	45-54	2238
POA2018	55-64	1724
POA2018	65-74	1359
POA2018	75-84	959
POA2018	85+	339
POA2019	0-4	938
POA2019	5-14	1606
POA2019	15-19	690
POA2019	20-24	769
POA2019	25-34	2296
POA2019	35-44	2304
POA2019	45-54	1907
POA2019	55-64	1381
POA2019	65-74	925
POA2019	75-84	499
POA2019	85+	155
POA2020	0-4	1138
POA2020	5-14	1393
POA2020	15-19	702
POA2020	20-24	2876
POA2020	25-34	7408
POA2020	35-44	3256
POA2020	45-54	1794
POA2020	55-64	1394
POA2020	65-74	917
POA2020	75-84	522
POA2020	85+	190
POA2021	0-4	714
POA2021	5-14	1238
POA2021	15-19	536
POA2021	20-24	931
POA2021	25-34	3288
POA2021	35-44	2406
POA2021	45-54	2051
POA2021	55-64	1549
POA2021	65-74	1195
POA2021	75-84	772
POA2021	85+	267
POA2022	0-4	666
POA2022	5-14	1288
POA2022	15-19	471
POA2022	20-24	778
POA2022	25-34	3211
POA2022	35-44	2222
POA2022	45-54	1628
POA2022	55-64	1206
POA2022	65-74	1046
POA2022	75-84	688
POA2022	85+	306
POA2023	0-4	509
POA2023	5-14	1314
POA2023	15-19	690
POA2023	20-24	557
POA2023	25-34	1593
POA2023	35-44	1449
POA2023	45-54	1409
POA2023	55-64	1257
POA2023	65-74	1083
POA2023	75-84	555
POA2023	85+	177
POA2024	0-4	631
POA2024	5-14	1421
POA2024	15-19	617
POA2024	20-24	452
POA2024	25-34	1909
POA2024	35-44	1765
POA2024	45-54	1630
POA2024	55-64	1199
POA2024	65-74	813
POA2024	75-84	542
POA2024	85+	401
POA2025	0-4	357
POA2025	5-14	744
POA2025	15-19	294
POA2025	20-24	351
POA2025	25-34	1143
POA2025	35-44	983
POA2025	45-54	886
POA2025	55-64	768
POA2025	65-74	789
POA2025	75-84	589
POA2025	85+	284
POA2026	0-4	1858
POA2026	5-14	2815
POA2026	15-19	1143
POA2026	20-24	1519
POA2026	25-34	9669
POA2026	35-44	5951
POA2026	45-54	3931
POA2026	55-64	2496
POA2026	65-74	1791
POA2026	75-84	1079
POA2026	85+	449
POA2027	0-4	281
POA2027	5-14	565
POA2027	15-19	262
POA2027	20-24	350
POA2027	25-34	1257
POA2027	35-44	1048
POA2027	45-54	882
POA2027	55-64	954
POA2027	65-74	1025
POA2027	75-84	831
POA2027	85+	341
POA2028	0-4	242
POA2028	5-14	342
POA2028	15-19	139
POA2028	20-24	286
POA2028	25-34	1005
POA2028	35-44	663
POA2028	45-54	509
POA2028	55-64	488
POA2028	65-74	532
POA2028	75-84	365
POA2028	85+	144
POA2029	0-4	514
POA2029	5-14	1108
POA2029	15-19	486
POA2029	20-24	522
POA2029	25-34	1427
POA2029	35-44	1452
POA2029	45-54	1326
POA2029	55-64	1063
POA2029	65-74	936
POA2029	75-84	710
POA2029	85+	361
POA2030	0-4	664
POA2030	5-14	2088
POA2030	15-19	1119
POA2030	20-24	837
POA2030	25-34	1264
POA2030	35-44	1698
POA2030	45-54	2315
POA2030	55-64	1825
POA2030	65-74	1391
POA2030	75-84	814
POA2030	85+	428
POA2031	0-4	1873
POA2031	5-14	3364
POA2031	15-19	1511
POA2031	20-24	1984
POA2031	25-34	7238
POA2031	35-44	5497
POA2031	45-54	4386
