POA_CODE_2021	Age	Sex	persons
POA0800	0-4	F	130
POA0800	0-4	M	130
POA0800	5-14	F	168
POA0800	5-14	M	179
POA0800	15-19	F	83
POA0800	15-19	M	70
POA0800	20-24	F	320
POA0800	20-24	M	343
POA0800	25-34	F	1185
POA0800	25-34	M	1220
POA0800	35-44	F	605
POA0800	35-44	M	687
POA0800	45-54	F	335
POA0800	45-54	M	487
POA0800	55-64	F	321
POA0800	55-64	M	395
POA0800	65-74	F	151
POA0800	65-74	M	236
POA0800	75-84	F	37
POA0800	75-84	M	58
POA0800	85+	F	6
POA0800	85+	M	9
POA0810	0-4	F	1142
POA0810	0-4	M	1256
POA0810	5-14	F	2222
POA0810	5-14	M	2354
POA0810	15-19	F	858
POA0810	15-19	M	899
POA0810	20-24	F	983
POA0810	20-24	M	1062
POA0810	25-34	F	3436
POA0810	25-34	M	3090
POA0810	35-44	F	2860
POA0810	35-44	M	2718
POA0810	45-54	F	2205
POA0810	45-54	M	2114
POA0810	55-64	F	1632
POA0810	55-64	M	1648
POA0810	65-74	F	1261
POA0810	65-74	M	1195
POA0810	75-84	F	570
POA0810	75-84	M	543
POA0810	85+	F	161
POA0810	85+	M	118
POA0812	0-4	F	637
POA0812	0-4	M	641
POA0812	5-14	F	1348
POA0812	5-14	M	1448
POA0812	15-19	F	578
POA0812	15-19	M	620
POA0812	20-24	F	474
POA0812	20-24	M	529
POA0812	25-34	F	1284
POA0812	25-34	M	1218
POA0812	35-44	F	1470
POA0812	35-44	M	1248
POA0812	45-54	F	1290
POA0812	45-54	M	1233
POA0812	55-64	F	1210
POA0812	55-64	M	1110
POA0812	65-74	F	768
POA0812	65-74	M	807
POA0812	75-84	F	337
POA0812	75-84	M	273
POA0812	85+	F	62
POA0812	85+	M	52
POA0820	0-4	F	515
POA0820	0-4	M	577
POA0820	5-14	F	1011
POA0820	5-14	M	998
POA0820	15-19	F	458
POA0820	15-19	M	418
POA0820	20-24	F	643
POA0820	20-24	M	725
POA0820	25-34	F	2355
POA0820	25-34	M	2186
POA0820	35-44	F	1620
POA0820	35-44	M	1537
POA0820	45-54	F	1270
POA0820	45-54	M	1255
POA0820	55-64	F	1033
POA0820	55-64	M	1153
POA0820	65-74	F	642
POA0820	65-74	M	747
POA0820	75-84	F	285
POA0820	75-84	M	321
POA0820	85+	F	84
POA0820	85+	M	84
POA0822	0-4	F	796
POA0822	0-4	M	865
POA0822	5-14	F	1963
POA0822	5-14	M	2113
POA0822	15-19	F	1088
POA0822	15-19	M	1217
POA0822	20-24	F	1051
POA0822	20-24	M	1096
POA0822	25-34	F	2174
POA0822	25-34	M	2088
POA0822	35-44	F	1826
POA0822	35-44	M	1769
POA0822	45-54	F	1615
POA0822	45-54	M	1551
POA0822	55-64	F	1189
POA0822	55-64	M	1222
POA0822	65-74	F	603
POA0822	65-74	M	650
POA0822	75-84	F	169
POA0822	75-84	M	220
POA0822	85+	F	33
POA0822	85+	M	21
POA0828	0-4	F	56
POA0828	0-4	M	59
POA0828	5-14	F	125
POA0828	5-14	M	109
POA0828	15-19	F	72
POA0828	15-19	M	80
POA0828	20-24	F	41
POA0828	20-24	M	55
POA0828	25-34	F	147
POA0828	25-34	M	141
POA0828	35-44	F	120
POA0828	35-44	M	138
POA0828	45-54	F	108
POA0828	45-54	M	118
POA0828	55-64	F	105
POA0828	55-64	M	86
POA0828	65-74	F	40
POA0828	65-74	M	56
POA0828	75-84	F	18
POA0828	75-84	M	26
POA0828	85+	M	6
POA0829	0-4	F	7
POA0829	0-4	M	7
POA0829	5-14	F	19
POA0829	5-14	M	17
POA0829	15-19	F	16
POA0829	15-19	M	85
POA0829	20-24	F	48
POA0829	20-24	M	391
POA0829	25-34	F	69
POA0829	25-34	M	522
POA0829	35-44	F	52
POA0829	35-44	M	321
POA0829	45-54	F	31
POA0829	45-54	M	198
POA0829	55-64	F	35
POA0829	55-64	M	73
POA0829	65-74	F	21
POA0829	65-74	M	34
POA0829	75-84	F	7
POA0829	75-84	M	14
POA0829	85+	M	3
POA0830	0-4	F	728
POA0830	0-4	M	789
POA0830	5-14	F	1411
POA0830	5-14	M	1524
POA0830	15-19	F	540
POA0830	15-19	M	552
POA0830	20-24	F	538
POA0830	20-24	M	628
POA0830	25-34	F	1603
POA0830	25-34	M	1470
POA0830	35-44	F	1492
POA0830	35-44	M	1326
POA0830	45-54	F	1225
POA0830	45-54	M	1250
POA0830	55-64	F	906
POA0830	55-64	M	969
POA0830	65-74	F	527
POA0830	65-74	M	559
POA0830	75-84	F	182
POA0830	75-84	M	164
POA0830	85+	F	63
POA0830	85+	M	46
POA0832	0-4	F	902
POA0832	0-4	M	892
POA0832	5-14	F	1568
POA0832	5-14	M	1583
POA0832	15-19	F	583
POA0832	15-19	M	591
POA0832	20-24	F	678
POA0832	20-24	M	674
POA0832	25-34	F	2033
POA0832	25-34	M	1785
POA0832	35-44	F	1694
POA0832	35-44	M	1576
POA0832	45-54	F	1052
POA0832	45-54	M	1076
POA0832	55-64	F	615
POA0832	55-64	M	580
POA0832	65-74	F	329
POA0832	65-74	M	262
