SA2_NAME21	FamilyHousehold	IncomeHousehold.max	households
Braidwood	0		20
Braidwood	0	0	12
Braidwood	0	7875	6
Braidwood	0	15750	21
Braidwood	0	21000	49
Braidwood	0	26250	91
Braidwood	0	34125	59
Braidwood	0	42000	50
Braidwood	0	52500	55
Braidwood	0	65625	54
Braidwood	0	78750	36
Braidwood	0	91875	24
Braidwood	0	105000	15
Braidwood	0	131250	34
Braidwood	0	183750	11
Braidwood	0	Inf	16
Braidwood	1		108
Braidwood	1	0	12
Braidwood	1	7875	9
Braidwood	1	15750	14
Braidwood	1	21000	6
Braidwood	1	26250	22
Braidwood	1	34125	21
Braidwood	1	42000	69
Braidwood	1	52500	75
Braidwood	1	65625	70
Braidwood	1	78750	105
Braidwood	1	91875	79
Braidwood	1	105000	66
Braidwood	1	131250	139
Braidwood	1	157500	84
Braidwood	1	183750	93
Braidwood	1	210000	45
Braidwood	1	Inf	150
Karabar	0		34
Karabar	0	0	25
Karabar	0	7875	6
Karabar	0	15750	26
Karabar	0	21000	49
Karabar	0	26250	130
Karabar	0	34125	45
Karabar	0	42000	49
Karabar	0	52500	59
Karabar	0	65625	82
Karabar	0	78750	70
Karabar	0	91875	68
Karabar	0	105000	58
Karabar	0	131250	60
Karabar	0	157500	15
Karabar	0	183750	25
Karabar	0	210000	8
Karabar	0	Inf	23
Karabar	1		184
Karabar	1	0	27
Karabar	1	7875	4
Karabar	1	15750	9
Karabar	1	21000	10
Karabar	1	26250	40
Karabar	1	34125	40
Karabar	1	42000	94
Karabar	1	52500	101
Karabar	1	65625	87
Karabar	1	78750	134
Karabar	1	91875	110
Karabar	1	105000	118
Karabar	1	131250	289
Karabar	1	157500	244
Karabar	1	183750	227
Karabar	1	210000	155
Karabar	1	Inf	387
Queanbeyan	0		52
Queanbeyan	0	0	57
Queanbeyan	0	7875	12
Queanbeyan	0	15750	51
Queanbeyan	0	21000	94
Queanbeyan	0	26250	254
Queanbeyan	0	34125	169
Queanbeyan	0	42000	142
Queanbeyan	0	52500	175
Queanbeyan	0	65625	253
Queanbeyan	0	78750	223
Queanbeyan	0	91875	198
Queanbeyan	0	105000	174
Queanbeyan	0	131250	259
Queanbeyan	0	157500	15
Queanbeyan	0	183750	42
Queanbeyan	0	210000	3
Queanbeyan	0	Inf	60
Queanbeyan	1		157
Queanbeyan	1	0	10
Queanbeyan	1	7875	7
Queanbeyan	1	15750	9
Queanbeyan	1	21000	11
Queanbeyan	1	26250	29
Queanbeyan	1	34125	36
Queanbeyan	1	42000	105
Queanbeyan	1	52500	99
Queanbeyan	1	65625	143
Queanbeyan	1	78750	185
Queanbeyan	1	91875	166
Queanbeyan	1	105000	186
Queanbeyan	1	131250	398
Queanbeyan	1	157500	309
Queanbeyan	1	183750	247
Queanbeyan	1	210000	188
Queanbeyan	1	Inf	404
Queanbeyan - East	0		20
Queanbeyan - East	0	0	19
Queanbeyan - East	0	7875	7
Queanbeyan - East	0	15750	15
Queanbeyan - East	0	21000	46
Queanbeyan - East	0	26250	93
Queanbeyan - East	0	34125	54
Queanbeyan - East	0	42000	66
Queanbeyan - East	0	52500	88
Queanbeyan - East	0	65625	119
Queanbeyan - East	0	78750	105
Queanbeyan - East	0	91875	112
Queanbeyan - East	0	105000	83
Queanbeyan - East	0	131250	126
Queanbeyan - East	0	157500	10
Queanbeyan - East	0	183750	21
Queanbeyan - East	0	Inf	18
Queanbeyan - East	1		80
Queanbeyan - East	1	0	3
Queanbeyan - East	1	15750	3
Queanbeyan - East	1	21000	8
Queanbeyan - East	1	26250	17
Queanbeyan - East	1	34125	9
Queanbeyan - East	1	42000	35
Queanbeyan - East	1	52500	46
Queanbeyan - East	1	65625	58
Queanbeyan - East	1	78750	75
