SA2_NAME16	PrivateDwelling	Sex	persons
Braidwood	0	F	251
Braidwood	0	M	288
Braidwood	1	F	1902
Braidwood	1	M	1979
Karabar	0	F	220
Karabar	0	M	240
Karabar	1	F	3961
Karabar	1	M	3989
Queanbeyan	0	F	467
Queanbeyan	0	M	476
Queanbeyan	1	F	5143
Queanbeyan	1	M	5264
Queanbeyan - East	0	F	111
Queanbeyan - East	0	M	188
Queanbeyan - East	1	F	2344
Queanbeyan - East	1	M	2462
Queanbeyan West - Jerrabomberra	0	F	187
Queanbeyan West - Jerrabomberra	0	M	175
Queanbeyan West - Jerrabomberra	1	F	6188
Queanbeyan West - Jerrabomberra	1	M	6079
Googong	0	F	79
Googong	0	M	71
Googong	1	F	3033
Googong	1	M	2974
Queanbeyan Surrounds	0	F	447
Queanbeyan Surrounds	0	M	570
Queanbeyan Surrounds	1	F	7620
Queanbeyan Surrounds	1	M	7771
Bombala	0	F	156
Bombala	0	M	154
Bombala	1	F	1070
Bombala	1	M	1087
Cooma	0	F	256
Cooma	0	M	547
Cooma	1	F	3077
Cooma	1	M	3004
Cooma Surrounds	0	F	170
Cooma Surrounds	0	M	345
Cooma Surrounds	1	F	1483
Cooma Surrounds	1	M	1573
Jindabyne - Berridale	0	F	2773
Jindabyne - Berridale	0	M	3223
Jindabyne - Berridale	1	F	3616
Jindabyne - Berridale	1	M	3872
Batemans Bay	0	F	443
Batemans Bay	0	M	444
Batemans Bay	1	F	3993
Batemans Bay	1	M	3812
Batemans Bay - South	0	F	521
Batemans Bay - South	0	M	513
Batemans Bay - South	1	F	4199
Batemans Bay - South	1	M	3861
Bega - Tathra	0	F	415
Bega - Tathra	0	M	393
Bega - Tathra	1	F	4198
Bega - Tathra	1	M	3962
Bega-Eden Hinterland	0	F	313
Bega-Eden Hinterland	0	M	396
Bega-Eden Hinterland	1	F	4334
Bega-Eden Hinterland	1	M	4458
Broulee - Tomakin	0	F	218
Broulee - Tomakin	0	M	203
Broulee - Tomakin	1	F	1782
Broulee - Tomakin	1	M	1674
Deua - Wadbilliga	0	M	5
Deua - Wadbilliga	1	F	11
Deua - Wadbilliga	1	M	16
Eden	0	F	218
Eden	0	M	283
Eden	1	F	1546
Eden	1	M	1433
Eurobodalla Hinterland	0	F	230
Eurobodalla Hinterland	0	M	234
Eurobodalla Hinterland	1	F	1524
Eurobodalla Hinterland	1	M	1569
Merimbula - Tura Beach	0	F	651
Merimbula - Tura Beach	0	M	663
Merimbula - Tura Beach	1	F	5401
Merimbula - Tura Beach	1	M	4988
Moruya - Tuross Head	0	F	433
Moruya - Tuross Head	0	M	452
Moruya - Tuross Head	1	F	3930
Moruya - Tuross Head	1	M	3872
Narooma - Bermagui	0	F	654
Narooma - Bermagui	0	M	589
Narooma - Bermagui	1	F	4541
Narooma - Bermagui	1	M	4298
Goulburn	0	F	1146
Goulburn	0	M	1765
Goulburn	1	F	11350
Goulburn	1	M	10726
Goulburn Surrounds	0	F	641
Goulburn Surrounds	0	M	736
Goulburn Surrounds	1	F	6115
Goulburn Surrounds	1	M	6399
Yass	0	F	268
Yass	0	M	413
Yass	1	F	3209
Yass	1	M	3003
Yass Surrounds	0	F	336
Yass Surrounds	0	M	415
Yass Surrounds	1	F	5989
Yass Surrounds	1	M	5865
Young	0	F	435
Young	0	M	409
Young	1	F	5265
Young	1	M	4858
Young Surrounds	0	F	351
Young Surrounds	0	M	419
Young Surrounds	1	F	3413
Young Surrounds	1	M	3496
Avoca Beach - Copacabana	0	F	287
Avoca Beach - Copacabana	0	M	261
Avoca Beach - Copacabana	1	F	3567
Avoca Beach - Copacabana	1	M	3470
Box Head - MacMasters Beach	0	F	294
Box Head - MacMasters Beach	0	M	289
Box Head - MacMasters Beach	1	F	5402
Box Head - MacMasters Beach	1	M	5160
Calga - Kulnura	0	F	187
Calga - Kulnura	0	M	200
Calga - Kulnura	1	F	2085
Calga - Kulnura	1	M	2229
Erina - Green Point	0	F	559
Erina - Green Point	0	M	387
Erina - Green Point	1	F	7224
Erina - Green Point	1	M	6421
Gosford - Springfield	0	F	861
Gosford - Springfield	0	M	771
Gosford - Springfield	1	F	10171
Gosford - Springfield	1	M	9634
Kariong	0	F	93
Kariong	0	M	141
Kariong	1	F	3132
Kariong	1	M	3103
Kincumber - Picketts Valley	0	F	264
Kincumber - Picketts Valley	0	M	159
Kincumber - Picketts Valley	1	F	3872
Kincumber - Picketts Valley	1	M	3288
Narara	0	F	87
Narara	0	M	77
Narara	1	F	3552
Narara	1	M	3409
Niagara Park - Lisarow	0	F	155
Niagara Park - Lisarow	0	M	106
Niagara Park - Lisarow	1	F	4004
Niagara Park - Lisarow	1	M	3892
Point Clare - Koolewong	0	F	189
Point Clare - Koolewong	0	M	129
Point Clare - Koolewong	1	F	3148
Point Clare - Koolewong	1	M	3043
Saratoga - Davistown	0	F	94
Saratoga - Davistown	0	M	107
Saratoga - Davistown	1	F	3528
Saratoga - Davistown	1	M	3332
Terrigal - North Avoca	0	F	379
Terrigal - North Avoca	0	M	388
Terrigal - North Avoca	1	F	7185
Terrigal - North Avoca	1	M	6926
