SA2_NAME16	medianTotalFamilyIncome
Braidwood	98072
Karabar	121368
Queanbeyan	116116
Queanbeyan - East	125424
Queanbeyan West - Jerrabomberra	173264
Googong	179088
Queanbeyan Surrounds	162084
Bombala	91468
Cooma	99372
Cooma Surrounds	107536
Jindabyne - Berridale	118300
Batemans Bay	71032
Batemans Bay - South	75556
Bega - Tathra	86060
Bega-Eden Hinterland	75764
Broulee - Tomakin	91572
Deua - Wadbilliga	45032
Eden	69940
Eurobodalla Hinterland	78104
Merimbula - Tura Beach	83928
Moruya - Tuross Head	75452
Narooma - Bermagui	69784
Goulburn	99372
Goulburn Surrounds	99944
Yass	113620
Yass Surrounds	151632
Young	79352
Young Surrounds	81744
Avoca Beach - Copacabana	133224
Box Head - MacMasters Beach	113724
Calga - Kulnura	109304
Erina - Green Point	108524
Gosford - Springfield	103740
Kariong	122304
Kincumber - Picketts Valley	101504
Narara	113620
Niagara Park - Lisarow	118924
Point Clare - Koolewong	117728
Saratoga - Davistown	111488
Terrigal - North Avoca	130312
Umina - Booker Bay - Patonga	93184
Wamberal - Forresters Beach	131040
Woy Woy - Blackwall	89804
Wyoming	98800
Bateau Bay - Killarney Vale	101244
Blue Haven - San Remo	85644
Budgewoi - Buff Point - Halekulani	81588
Chittaway Bay - Tumbi Umbi	108368
Gorokan - Kanwal - Charmhaven	79872
Jilliby - Yarramalong	133952
Lake Munmorah - Mannering Park	75348
Ourimbah - Fountaindale	117676
Summerland Point - Gwandalan	88452
The Entrance	84552
Toukley - Norah Head	83668
Tuggerah - Kangy Angy	107588
Warnervale - Wadalba	112736
Wyong	79976
Bathurst - East	107796
Bathurst Surrounds	114972
Oberon	91052
Bathurst - South	85696
Bathurst - West	111332
Condobolin	81848
Cowra	74204
Cowra Surrounds	77480
Forbes	87776
Grenfell	72488
Parkes (NSW)	96408
Parkes Surrounds	80912
West Wyalong	94120
Lithgow	78520
Lithgow Surrounds	96824
Mudgee	112528
Mudgee Surrounds - East	68848
Mudgee Surrounds - West	95732
Wollangambe - Wollemi	
Blayney	102804
Orange	95576
Orange - North	120744
Orange Surrounds	113620
Grafton	73476
Grafton Surrounds	74360
Maclean - Yamba - Iluka	70668
Bellingen	83928
Coffs Harbour - North	80912
Coffs Harbour - South	81536
Coramba - Nana Glen - Bucca	98124
Dorrigo	66300
Korora - Emerald Beach	107432
Sawtell - Boambee	87880
Urunga	75244
Woolgoolga - Arrawarra	83304
Bourke - Brewarrina	87620
Cobar	116064
Coonamble	82160
Nyngan - Warren	94432
Walgett - Lightning Ridge	70356
Broken Hill	84396
Far West	66976
Coonabarabran	71864
Dubbo - East	103324
Dubbo - South	108004
Dubbo - West	101348
Dubbo Surrounds	112008
Gilgandra	72020
Narromine	90064
Wellington	75088
Branxton - Greta - Pokolbin	122720
Cessnock	79716
Cessnock Surrounds	106028
Dungog	96512
