SA3_NAME16	Age	IncomeTotPersonal.max	Sex	adults
Queanbeyan	15-19		F	92
Queanbeyan	15-19		M	101
Queanbeyan	15-19	0	F	574
Queanbeyan	15-19	0	M	672
Queanbeyan	15-19	7875	F	414
Queanbeyan	15-19	7875	M	366
Queanbeyan	15-19	15750	F	242
Queanbeyan	15-19	15750	M	208
Queanbeyan	15-19	21000	F	88
Queanbeyan	15-19	21000	M	72
Queanbeyan	15-19	26250	F	66
Queanbeyan	15-19	26250	M	87
Queanbeyan	15-19	34125	F	68
Queanbeyan	15-19	34125	M	134
Queanbeyan	15-19	42000	F	47
Queanbeyan	15-19	42000	M	91
Queanbeyan	15-19	52500	F	40
Queanbeyan	15-19	52500	M	62
Queanbeyan	15-19	65625	F	33
Queanbeyan	15-19	65625	M	23
Queanbeyan	15-19	78750	F	5
Queanbeyan	15-19	78750	M	8
Queanbeyan	15-19	91875	F	3
Queanbeyan	15-19	91875	M	8
Queanbeyan	15-19	105000	F	3
Queanbeyan	20-24		F	106
Queanbeyan	20-24		M	100
Queanbeyan	20-24	0	F	84
Queanbeyan	20-24	0	M	75
Queanbeyan	20-24	7875	F	35
Queanbeyan	20-24	7875	M	24
Queanbeyan	20-24	15750	F	97
Queanbeyan	20-24	15750	M	79
Queanbeyan	20-24	21000	F	113
Queanbeyan	20-24	21000	M	94
Queanbeyan	20-24	26250	F	101
Queanbeyan	20-24	26250	M	94
Queanbeyan	20-24	34125	F	156
Queanbeyan	20-24	34125	M	130
Queanbeyan	20-24	42000	F	170
Queanbeyan	20-24	42000	M	211
Queanbeyan	20-24	52500	F	222
Queanbeyan	20-24	52500	M	299
Queanbeyan	20-24	65625	F	242
Queanbeyan	20-24	65625	M	278
Queanbeyan	20-24	78750	F	191
Queanbeyan	20-24	78750	M	199
Queanbeyan	20-24	91875	F	88
Queanbeyan	20-24	91875	M	120
Queanbeyan	20-24	105000	F	29
Queanbeyan	20-24	105000	M	42
Queanbeyan	20-24	157500	F	21
Queanbeyan	20-24	157500	M	31
Queanbeyan	20-24	183750	F	3
Queanbeyan	20-24	183750	M	5
Queanbeyan	25-34		F	281
Queanbeyan	25-34		M	332
Queanbeyan	25-34	0	F	253
Queanbeyan	25-34	0	M	113
Queanbeyan	25-34	7875	F	37
Queanbeyan	25-34	7875	M	29
Queanbeyan	25-34	15750	F	103
Queanbeyan	25-34	15750	M	63
Queanbeyan	25-34	21000	F	129
Queanbeyan	25-34	21000	M	80
Queanbeyan	25-34	26250	F	187
Queanbeyan	25-34	26250	M	106
Queanbeyan	25-34	34125	F	267
Queanbeyan	25-34	34125	M	125
Queanbeyan	25-34	42000	F	329
Queanbeyan	25-34	42000	M	212
Queanbeyan	25-34	52500	F	452
Queanbeyan	25-34	52500	M	439
Queanbeyan	25-34	65625	F	601
Queanbeyan	25-34	65625	M	634
Queanbeyan	25-34	78750	F	557
Queanbeyan	25-34	78750	M	588
Queanbeyan	25-34	91875	F	637
Queanbeyan	25-34	91875	M	583
Queanbeyan	25-34	105000	F	404
Queanbeyan	25-34	105000	M	429
Queanbeyan	25-34	157500	F	509
Queanbeyan	25-34	157500	M	700
Queanbeyan	25-34	183750	F	52
Queanbeyan	25-34	183750	M	100
Queanbeyan	25-34	Inf	F	39
Queanbeyan	25-34	Inf	M	122
Queanbeyan	35-44		F	236
Queanbeyan	35-44		M	259
Queanbeyan	35-44	0	F	204
Queanbeyan	35-44	0	M	78
Queanbeyan	35-44	7875	F	63
Queanbeyan	35-44	7875	M	20
Queanbeyan	35-44	15750	F	91
Queanbeyan	35-44	15750	M	46
Queanbeyan	35-44	21000	F	106
Queanbeyan	35-44	21000	M	60
Queanbeyan	35-44	26250	F	127
Queanbeyan	35-44	26250	M	76
Queanbeyan	35-44	34125	F	193
Queanbeyan	35-44	34125	M	81
Queanbeyan	35-44	42000	F	251
Queanbeyan	35-44	42000	M	118
Queanbeyan	35-44	52500	F	358
Queanbeyan	35-44	52500	M	243
Queanbeyan	35-44	65625	F	457
Queanbeyan	35-44	65625	M	391
Queanbeyan	35-44	78750	F	434
Queanbeyan	35-44	78750	M	413
Queanbeyan	35-44	91875	F	500
Queanbeyan	35-44	91875	M	484
Queanbeyan	35-44	105000	F	437
Queanbeyan	35-44	105000	M	453
Queanbeyan	35-44	157500	F	895
Queanbeyan	35-44	157500	M	1189
Queanbeyan	35-44	183750	F	136
Queanbeyan	35-44	183750	M	266
Queanbeyan	35-44	Inf	F	157
Queanbeyan	35-44	Inf	M	403
Queanbeyan	45-54		F	212
Queanbeyan	45-54		M	250
Queanbeyan	45-54	0	F	216
Queanbeyan	45-54	0	M	112
Queanbeyan	45-54	7875	F	60
Queanbeyan	45-54	7875	M	25
Queanbeyan	45-54	15750	F	77
Queanbeyan	45-54	15750	M	48
Queanbeyan	45-54	21000	F	119
Queanbeyan	45-54	21000	M	101
Queanbeyan	45-54	26250	F	152
Queanbeyan	45-54	26250	M	84
Queanbeyan	45-54	34125	F	205
Queanbeyan	45-54	34125	M	95
Queanbeyan	45-54	42000	F	228
Queanbeyan	45-54	42000	M	129
Queanbeyan	45-54	52500	F	325
Queanbeyan	45-54	52500	M	236
Queanbeyan	45-54	65625	F	396
Queanbeyan	45-54	65625	M	396
Queanbeyan	45-54	78750	F	402
Queanbeyan	45-54	78750	M	379
Queanbeyan	45-54	91875	F	501
Queanbeyan	45-54	91875	M	420
Queanbeyan	45-54	105000	F	422
Queanbeyan	45-54	105000	M	425
Queanbeyan	45-54	157500	F	962
Queanbeyan	45-54	157500	M	1098
Queanbeyan	45-54	183750	F	166
Queanbeyan	45-54	183750	M	292
Queanbeyan	45-54	Inf	F	293
Queanbeyan	45-54	Inf	M	598
Queanbeyan	55-64		F	225
Queanbeyan	55-64		M	281
Queanbeyan	55-64	0	F	308
Queanbeyan	55-64	0	M	171
Queanbeyan	55-64	7875	F	104
Queanbeyan	55-64	7875	M	52
Queanbeyan	55-64	15750	F	140
Queanbeyan	55-64	15750	M	97
Queanbeyan	55-64	21000	F	187
Queanbeyan	55-64	21000	M	132
Queanbeyan	55-64	26250	F	238
Queanbeyan	55-64	26250	M	187
Queanbeyan	55-64	34125	F	248
Queanbeyan	55-64	34125	M	131
Queanbeyan	55-64	42000	F	240
Queanbeyan	55-64	42000	M	175
Queanbeyan	55-64	52500	F	297
Queanbeyan	55-64	52500	M	255
Queanbeyan	55-64	65625	F	397
Queanbeyan	55-64	65625	M	438
Queanbeyan	55-64	78750	F	333
Queanbeyan	55-64	78750	M	359
Queanbeyan	55-64	91875	F	358
Queanbeyan	55-64	91875	M	373
Queanbeyan	55-64	105000	F	272
Queanbeyan	55-64	105000	M	334
Queanbeyan	55-64	157500	F	459
Queanbeyan	55-64	157500	M	676
Queanbeyan	55-64	183750	F	75
Queanbeyan	55-64	183750	M	200
Queanbeyan	55-64	Inf	F	136
Queanbeyan	55-64	Inf	M	389
Queanbeyan	65-74		F	174
Queanbeyan	65-74		M	205
Queanbeyan	65-74	0	F	225
Queanbeyan	65-74	0	M	145
Queanbeyan	65-74	7875	F	117
Queanbeyan	65-74	7875	M	71
Queanbeyan	65-74	15750	F	185
Queanbeyan	65-74	15750	M	117
Queanbeyan	65-74	21000	F	327
Queanbeyan	65-74	21000	M	271
Queanbeyan	65-74	26250	F	380
Queanbeyan	65-74	26250	M	273
Queanbeyan	65-74	34125	F	285
Queanbeyan	65-74	34125	M	223
Queanbeyan	65-74	42000	F	217
Queanbeyan	65-74	42000	M	188
Queanbeyan	65-74	52500	F	190
Queanbeyan	65-74	52500	M	215
Queanbeyan	65-74	65625	F	184
Queanbeyan	65-74	65625	M	278
Queanbeyan	65-74	78750	F	121
Queanbeyan	65-74	78750	M	210
Queanbeyan	65-74	91875	F	87
Queanbeyan	65-74	91875	M	183
Queanbeyan	65-74	105000	F	64
Queanbeyan	65-74	105000	M	106
Queanbeyan	65-74	157500	F	64
Queanbeyan	65-74	157500	M	162
Queanbeyan	65-74	183750	F	18
Queanbeyan	65-74	183750	M	52
Queanbeyan	65-74	Inf	F	27
Queanbeyan	65-74	Inf	M	96
Queanbeyan	75-84		F	125
Queanbeyan	75-84		M	90
Queanbeyan	75-84	0	F	68
Queanbeyan	75-84	0	M	65
Queanbeyan	75-84	7875	F	32
Queanbeyan	75-84	7875	M	24
Queanbeyan	75-84	15750	F	88
Queanbeyan	75-84	15750	M	86
Queanbeyan	75-84	21000	F	220
Queanbeyan	75-84	21000	M	201
Queanbeyan	75-84	26250	F	324
Queanbeyan	75-84	26250	M	163
Queanbeyan	75-84	34125	F	172
Queanbeyan	75-84	34125	M	122
Queanbeyan	75-84	42000	F	114
Queanbeyan	75-84	42000	M	108
Queanbeyan	75-84	52500	F	65
Queanbeyan	75-84	52500	M	93
Queanbeyan	75-84	65625	F	53
Queanbeyan	75-84	65625	M	91
Queanbeyan	75-84	78750	F	20
Queanbeyan	75-84	78750	M	54
Queanbeyan	75-84	91875	F	11
Queanbeyan	75-84	91875	M	33
Queanbeyan	75-84	105000	F	7
Queanbeyan	75-84	105000	M	27
Queanbeyan	75-84	157500	F	10
Queanbeyan	75-84	157500	M	37
Queanbeyan	75-84	183750	F	6
Queanbeyan	75-84	183750	M	5
Queanbeyan	75-84	Inf	F	13
Queanbeyan	75-84	Inf	M	10
Queanbeyan	85+		F	74
Queanbeyan	85+		M	48
Queanbeyan	85+	0	F	7
Queanbeyan	85+	0	M	12
Queanbeyan	85+	7875	F	6
Queanbeyan	85+	7875	M	7
Queanbeyan	85+	15750	F	20
Queanbeyan	85+	15750	M	18
Queanbeyan	85+	21000	F	77
Queanbeyan	85+	21000	M	76
Queanbeyan	85+	26250	F	141
Queanbeyan	85+	26250	M	65
Queanbeyan	85+	34125	F	46
Queanbeyan	85+	34125	M	19
Queanbeyan	85+	42000	F	40
Queanbeyan	85+	42000	M	25
Queanbeyan	85+	52500	F	11
Queanbeyan	85+	52500	M	11
Queanbeyan	85+	65625	F	9
Queanbeyan	85+	65625	M	15
Queanbeyan	85+	78750	F	5
Queanbeyan	85+	78750	M	10
Queanbeyan	85+	91875	F	4
Queanbeyan	85+	157500	F	4
Queanbeyan	85+	157500	M	3
Queanbeyan	85+	183750	M	3
Queanbeyan	85+	Inf	F	4
Snowy Mountains	15-19		F	49
Snowy Mountains	15-19		M	51
Snowy Mountains	15-19	0	F	165
Snowy Mountains	15-19	0	M	196
Snowy Mountains	15-19	7875	F	143
Snowy Mountains	15-19	7875	M	135
Snowy Mountains	15-19	15750	F	58
Snowy Mountains	15-19	15750	M	42
Snowy Mountains	15-19	21000	F	28
Snowy Mountains	15-19	21000	M	25
Snowy Mountains	15-19	26250	F	25
Snowy Mountains	15-19	26250	M	27
Snowy Mountains	15-19	34125	F	40
Snowy Mountains	15-19	34125	M	43
Snowy Mountains	15-19	42000	F	30
Snowy Mountains	15-19	42000	M	34
Snowy Mountains	15-19	52500	F	13
Snowy Mountains	15-19	52500	M	23
Snowy Mountains	15-19	65625	F	4
Snowy Mountains	15-19	65625	M	14
Snowy Mountains	15-19	91875	M	3
Snowy Mountains	20-24		F	45
Snowy Mountains	20-24		M	63
Snowy Mountains	20-24	0	F	18
Snowy Mountains	20-24	0	M	15
Snowy Mountains	20-24	7875	F	9
Snowy Mountains	20-24	7875	M	4
Snowy Mountains	20-24	15750	F	27
Snowy Mountains	20-24	15750	M	25
Snowy Mountains	20-24	21000	F	35
Snowy Mountains	20-24	21000	M	30
Snowy Mountains	20-24	26250	F	31
Snowy Mountains	20-24	26250	M	22
Snowy Mountains	20-24	34125	F	64
Snowy Mountains	20-24	34125	M	55
Snowy Mountains	20-24	42000	F	107
Snowy Mountains	20-24	42000	M	98
Snowy Mountains	20-24	52500	F	100
Snowy Mountains	20-24	52500	M	108
Snowy Mountains	20-24	65625	F	54
Snowy Mountains	20-24	65625	M	66
Snowy Mountains	20-24	78750	F	21
Snowy Mountains	20-24	78750	M	52
Snowy Mountains	20-24	91875	F	13
Snowy Mountains	20-24	91875	M	23
Snowy Mountains	20-24	105000	F	5
Snowy Mountains	20-24	105000	M	17
Snowy Mountains	20-24	157500	F	3
Snowy Mountains	20-24	157500	M	14
Snowy Mountains	25-34		F	123
Snowy Mountains	25-34		M	206
Snowy Mountains	25-34	0	F	50
Snowy Mountains	25-34	0	M	16
Snowy Mountains	25-34	7875	F	17
Snowy Mountains	25-34	7875	M	5
Snowy Mountains	25-34	15750	F	32
Snowy Mountains	25-34	15750	M	21
Snowy Mountains	25-34	21000	F	46
Snowy Mountains	25-34	21000	M	34
Snowy Mountains	25-34	26250	F	68
Snowy Mountains	25-34	26250	M	31
Snowy Mountains	25-34	34125	F	111
Snowy Mountains	25-34	34125	M	73
Snowy Mountains	25-34	42000	F	172
Snowy Mountains	25-34	42000	M	107
Snowy Mountains	25-34	52500	F	211
Snowy Mountains	25-34	52500	M	183
Snowy Mountains	25-34	65625	F	167
Snowy Mountains	25-34	65625	M	212
Snowy Mountains	25-34	78750	F	94
Snowy Mountains	25-34	78750	M	163
Snowy Mountains	25-34	91875	F	70
Snowy Mountains	25-34	91875	M	138
Snowy Mountains	25-34	105000	F	54
Snowy Mountains	25-34	105000	M	78
Snowy Mountains	25-34	157500	F	51
Snowy Mountains	25-34	157500	M	107
Snowy Mountains	25-34	183750	F	7
Snowy Mountains	25-34	183750	M	23
Snowy Mountains	25-34	Inf	F	10
Snowy Mountains	25-34	Inf	M	17
Snowy Mountains	35-44		F	88
Snowy Mountains	35-44		M	167
Snowy Mountains	35-44	0	F	65
Snowy Mountains	35-44	0	M	23
Snowy Mountains	35-44	7875	F	16
Snowy Mountains	35-44	7875	M	8
Snowy Mountains	35-44	15750	F	28
Snowy Mountains	35-44	15750	M	13
Snowy Mountains	35-44	21000	F	52
Snowy Mountains	35-44	21000	M	14
Snowy Mountains	35-44	26250	F	48
Snowy Mountains	35-44	26250	M	18
Snowy Mountains	35-44	34125	F	90
Snowy Mountains	35-44	34125	M	37
Snowy Mountains	35-44	42000	F	121
Snowy Mountains	35-44	42000	M	52
Snowy Mountains	35-44	52500	F	129
Snowy Mountains	35-44	52500	M	88
Snowy Mountains	35-44	65625	F	135
Snowy Mountains	35-44	65625	M	132
Snowy Mountains	35-44	78750	F	86
Snowy Mountains	35-44	78750	M	135
Snowy Mountains	35-44	91875	F	86
Snowy Mountains	35-44	91875	M	117
Snowy Mountains	35-44	105000	F	64
Snowy Mountains	35-44	105000	M	101
Snowy Mountains	35-44	157500	F	97
Snowy Mountains	35-44	157500	M	162
Snowy Mountains	35-44	183750	F	17
Snowy Mountains	35-44	183750	M	41
Snowy Mountains	35-44	Inf	F	26
Snowy Mountains	35-44	Inf	M	46
Snowy Mountains	45-54		F	112
Snowy Mountains	45-54		M	155
Snowy Mountains	45-54	0	F	55
Snowy Mountains	45-54	0	M	27
Snowy Mountains	45-54	7875	F	25
Snowy Mountains	45-54	7875	M	11
Snowy Mountains	45-54	15750	F	37
Snowy Mountains	45-54	15750	M	22
Snowy Mountains	45-54	21000	F	59
Snowy Mountains	45-54	21000	M	45
Snowy Mountains	45-54	26250	F	73
Snowy Mountains	45-54	26250	M	46
Snowy Mountains	45-54	34125	F	123
Snowy Mountains	45-54	34125	M	63
Snowy Mountains	45-54	42000	F	116
Snowy Mountains	45-54	42000	M	68
Snowy Mountains	45-54	52500	F	155
Snowy Mountains	45-54	52500	M	113
Snowy Mountains	45-54	65625	F	135
Snowy Mountains	45-54	65625	M	163
Snowy Mountains	45-54	78750	F	130
Snowy Mountains	45-54	78750	M	151
Snowy Mountains	45-54	91875	F	106
Snowy Mountains	45-54	91875	M	134
Snowy Mountains	45-54	105000	F	98
Snowy Mountains	45-54	105000	M	130
Snowy Mountains	45-54	157500	F	130
Snowy Mountains	45-54	157500	M	191
Snowy Mountains	45-54	183750	F	30
Snowy Mountains	45-54	183750	M	55
Snowy Mountains	45-54	Inf	F	45
Snowy Mountains	45-54	Inf	M	98
Snowy Mountains	55-64		F	109
Snowy Mountains	55-64		M	127
Snowy Mountains	55-64	0	F	108
Snowy Mountains	55-64	0	M	75
Snowy Mountains	55-64	7875	F	32
Snowy Mountains	55-64	7875	M	24
Snowy Mountains	55-64	15750	F	76
Snowy Mountains	55-64	15750	M	42
Snowy Mountains	55-64	21000	F	91
Snowy Mountains	55-64	21000	M	87
Snowy Mountains	55-64	26250	F	116
Snowy Mountains	55-64	26250	M	87
Snowy Mountains	55-64	34125	F	115
Snowy Mountains	55-64	34125	M	85
Snowy Mountains	55-64	42000	F	142
Snowy Mountains	55-64	42000	M	98
Snowy Mountains	55-64	52500	F	130
Snowy Mountains	55-64	52500	M	114
Snowy Mountains	55-64	65625	F	162
Snowy Mountains	55-64	65625	M	184
Snowy Mountains	55-64	78750	F	110
Snowy Mountains	55-64	78750	M	142
Snowy Mountains	55-64	91875	F	80
Snowy Mountains	55-64	91875	M	142
Snowy Mountains	55-64	105000	F	77
Snowy Mountains	55-64	105000	M	95
Snowy Mountains	55-64	157500	F	101
Snowy Mountains	55-64	157500	M	146
Snowy Mountains	55-64	183750	F	13
Snowy Mountains	55-64	183750	M	28
Snowy Mountains	55-64	Inf	F	26
Snowy Mountains	55-64	Inf	M	95
Snowy Mountains	65-74		F	98
Snowy Mountains	65-74		M	113
Snowy Mountains	65-74	0	F	79
Snowy Mountains	65-74	0	M	63
Snowy Mountains	65-74	7875	F	34
Snowy Mountains	65-74	7875	M	26
Snowy Mountains	65-74	15750	F	82
Snowy Mountains	65-74	15750	M	65
Snowy Mountains	65-74	21000	F	199
Snowy Mountains	65-74	21000	M	172
Snowy Mountains	65-74	26250	F	194
Snowy Mountains	65-74	26250	M	180
Snowy Mountains	65-74	34125	F	107
Snowy Mountains	65-74	34125	M	117
Snowy Mountains	65-74	42000	F	89
Snowy Mountains	65-74	42000	M	101
Snowy Mountains	65-74	52500	F	71
Snowy Mountains	65-74	52500	M	96
Snowy Mountains	65-74	65625	F	49
Snowy Mountains	65-74	65625	M	100
Snowy Mountains	65-74	78750	F	34
Snowy Mountains	65-74	78750	M	67
Snowy Mountains	65-74	91875	F	26
Snowy Mountains	65-74	91875	M	34
Snowy Mountains	65-74	105000	F	14
Snowy Mountains	65-74	105000	M	39
Snowy Mountains	65-74	157500	F	18
Snowy Mountains	65-74	157500	M	54
Snowy Mountains	65-74	183750	F	6
Snowy Mountains	65-74	183750	M	9
Snowy Mountains	65-74	Inf	F	7
Snowy Mountains	65-74	Inf	M	16
Snowy Mountains	75-84		F	81
Snowy Mountains	75-84		M	80
Snowy Mountains	75-84	0	F	31
Snowy Mountains	75-84	0	M	24
Snowy Mountains	75-84	7875	F	18
Snowy Mountains	75-84	7875	M	17
Snowy Mountains	75-84	15750	F	44
Snowy Mountains	75-84	15750	M	38
Snowy Mountains	75-84	21000	F	114
Snowy Mountains	75-84	21000	M	142
Snowy Mountains	75-84	26250	F	153
Snowy Mountains	75-84	26250	M	91
Snowy Mountains	75-84	34125	F	72
Snowy Mountains	75-84	34125	M	72
Snowy Mountains	75-84	42000	F	52
Snowy Mountains	75-84	42000	M	55
Snowy Mountains	75-84	52500	F	33
Snowy Mountains	75-84	52500	M	38
Snowy Mountains	75-84	65625	F	16
Snowy Mountains	75-84	65625	M	43
Snowy Mountains	75-84	78750	F	7
Snowy Mountains	75-84	78750	M	13
Snowy Mountains	75-84	91875	F	18
Snowy Mountains	75-84	91875	M	19
Snowy Mountains	75-84	105000	F	3
Snowy Mountains	75-84	105000	M	15
Snowy Mountains	75-84	157500	F	3
Snowy Mountains	75-84	157500	M	10
Snowy Mountains	75-84	183750	M	6
Snowy Mountains	75-84	Inf	F	4
Snowy Mountains	75-84	Inf	M	9
Snowy Mountains	85+		F	47
Snowy Mountains	85+		M	27
Snowy Mountains	85+	0	F	10
Snowy Mountains	85+	0	M	8
Snowy Mountains	85+	7875	F	4
Snowy Mountains	85+	7875	M	11
Snowy Mountains	85+	15750	F	10
Snowy Mountains	85+	15750	M	18
Snowy Mountains	85+	21000	F	24
Snowy Mountains	85+	21000	M	37
Snowy Mountains	85+	26250	F	82
Snowy Mountains	85+	26250	M	35
Snowy Mountains	85+	34125	F	40
Snowy Mountains	85+	34125	M	16
Snowy Mountains	85+	42000	F	17
Snowy Mountains	85+	42000	M	13
Snowy Mountains	85+	52500	F	8
