SA3_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Queanbeyan			39
Queanbeyan		1951	42
Queanbeyan		1960	134
Queanbeyan		1970	283
Queanbeyan		1980	263
Queanbeyan		1990	225
Queanbeyan		2000	227
Queanbeyan		2010	299
Queanbeyan		2015	195
Queanbeyan		2016	41
Queanbeyan		2017	35
Queanbeyan		2018	30
Queanbeyan		2019	40
Queanbeyan		2020	23
Queanbeyan		2021	7
Queanbeyan	AFG	2010	13
Queanbeyan	AFG	2015	3
Queanbeyan	BGD	2000	11
Queanbeyan	BGD	2010	44
Queanbeyan	BGD	2015	41
Queanbeyan	BGD	2016	15
Queanbeyan	BGD	2017	22
Queanbeyan	BGD	2018	17
Queanbeyan	BGD	2019	28
Queanbeyan	CAN		5
Queanbeyan	CAN	1970	15
Queanbeyan	CAN	1980	30
Queanbeyan	CAN	1990	21
Queanbeyan	CAN	2000	24
Queanbeyan	CAN	2010	22
Queanbeyan	CAN	2015	23
Queanbeyan	CAN	2016	3
Queanbeyan	CAN	2020	5
Queanbeyan	CHN		8
Queanbeyan	CHN	1970	10
Queanbeyan	CHN	1990	15
Queanbeyan	CHN	2000	34
Queanbeyan	CHN	2010	71
Queanbeyan	CHN	2015	43
Queanbeyan	CHN	2016	14
Queanbeyan	CHN	2017	16
Queanbeyan	CHN	2018	4
Queanbeyan	CHN	2019	6
Queanbeyan	CHN	2020	4
Queanbeyan	DEU		4
Queanbeyan	DEU	1951	59
Queanbeyan	DEU	1960	56
Queanbeyan	DEU	1970	43
Queanbeyan	DEU	1980	22
Queanbeyan	DEU	1990	32
Queanbeyan	DEU	2000	17
Queanbeyan	DEU	2010	23
Queanbeyan	DEU	2015	11
Queanbeyan	EGY	1970	6
Queanbeyan	EGY	1980	6
Queanbeyan	EGY	1990	3
Queanbeyan	EGY	2000	5
Queanbeyan	EGY	2010	11
Queanbeyan	EGY	2015	10
Queanbeyan	EGY	2017	10
Queanbeyan	EGY	2019	8
Queanbeyan	EGY	2020	3
Queanbeyan	FJI		5
Queanbeyan	FJI	1970	3
Queanbeyan	FJI	1980	13
Queanbeyan	FJI	1990	23
Queanbeyan	FJI	2000	29
Queanbeyan	FJI	2010	59
Queanbeyan	FJI	2015	23
Queanbeyan	FJI	2017	4
Queanbeyan	FJI	2018	13
Queanbeyan	FJI	2019	4
Queanbeyan	FJI	2020	8
Queanbeyan	FJI	2021	4
Queanbeyan	GBR		45
Queanbeyan	GBR	1951	42
Queanbeyan	GBR	1960	169
Queanbeyan	GBR	1970	519
Queanbeyan	GBR	1980	325
Queanbeyan	GBR	1990	275
Queanbeyan	GBR	2000	192
Queanbeyan	GBR	2010	330
Queanbeyan	GBR	2015	153
Queanbeyan	GBR	2016	7
Queanbeyan	GBR	2017	5
Queanbeyan	GBR	2018	13
Queanbeyan	GBR	2019	26
Queanbeyan	GBR	2020	6
Queanbeyan	GBR	2021	7
Queanbeyan	GRC		3
Queanbeyan	GRC	1951	3
Queanbeyan	GRC	1960	31
Queanbeyan	GRC	1970	62
Queanbeyan	GRC	1980	16
Queanbeyan	GRC	1990	6
Queanbeyan	HKG		6
Queanbeyan	HKG	1970	9
Queanbeyan	HKG	1980	9
Queanbeyan	HKG	1990	12
Queanbeyan	HKG	2000	8
Queanbeyan	HKG	2015	5
Queanbeyan	HKG	2016	3
Queanbeyan	HKG	2019	3
Queanbeyan	HKG	2020	3
Queanbeyan	HRV		5
Queanbeyan	HRV	1951	4
Queanbeyan	HRV	1960	16
Queanbeyan	HRV	1970	81
Queanbeyan	HRV	1980	36
Queanbeyan	HRV	1990	8
Queanbeyan	HRV	2000	13
Queanbeyan	HRV	2010	6
Queanbeyan	HRV	2015	7
Queanbeyan	HRV	2017	5
Queanbeyan	IDN		3
Queanbeyan	IDN	1970	7
Queanbeyan	IDN	1980	4
Queanbeyan	IDN	1990	16
Queanbeyan	IDN	2000	19
Queanbeyan	IDN	2010	16
Queanbeyan	IDN	2015	17
Queanbeyan	IDN	2016	8
Queanbeyan	IDN	2017	7
Queanbeyan	IDN	2018	5
Queanbeyan	IDN	2019	3
Queanbeyan	IDN	2020	4
Queanbeyan	IND		23
Queanbeyan	IND	1970	7
Queanbeyan	IND	1980	8
Queanbeyan	IND	1990	16
Queanbeyan	IND	2000	43
Queanbeyan	IND	2010	429
Queanbeyan	IND	2015	335
Queanbeyan	IND	2016	102
Queanbeyan	IND	2017	108
Queanbeyan	IND	2018	146
Queanbeyan	IND	2019	90
Queanbeyan	IND	2020	22
Queanbeyan	IND	2021	3
Queanbeyan	IRL	1970	16
Queanbeyan	IRL	1980	18
Queanbeyan	IRL	1990	13
Queanbeyan	IRL	2000	9
Queanbeyan	IRL	2010	19
Queanbeyan	IRL	2015	12
Queanbeyan	IRL	2017	4
Queanbeyan	IRN		3
Queanbeyan	IRN	1990	8
Queanbeyan	IRN	2010	10
Queanbeyan	IRN	2015	14
Queanbeyan	IRN	2016	3
Queanbeyan	IRN	2020	4
Queanbeyan	IRQ	1990	4
Queanbeyan	IRQ	2000	4
Queanbeyan	IRQ	2015	9
Queanbeyan	IRQ	2018	4
Queanbeyan	ITA		6
Queanbeyan	ITA	1951	6
Queanbeyan	ITA	1960	135
Queanbeyan	ITA	1970	140
Queanbeyan	ITA	1980	27
Queanbeyan	ITA	1990	16
Queanbeyan	ITA	2000	6
Queanbeyan	ITA	2010	14
Queanbeyan	ITA	2015	6
Queanbeyan	ITA	2018	7
Queanbeyan	ITA	2019	4
Queanbeyan	JPN	1990	7
Queanbeyan	JPN	2000	5
Queanbeyan	JPN	2010	12
Queanbeyan	JPN	2015	3
Queanbeyan	KOR	1980	7
Queanbeyan	KOR	1990	7
Queanbeyan	KOR	2000	8
Queanbeyan	KOR	2010	30
Queanbeyan	KOR	2015	17
Queanbeyan	KOR	2017	4
Queanbeyan	LBN	1970	6
Queanbeyan	LBN	1980	4
Queanbeyan	LBN	1990	7
Queanbeyan	LBN	2010	5
Queanbeyan	LKA	1980	6
Queanbeyan	LKA	1990	26
Queanbeyan	LKA	2000	16
Queanbeyan	LKA	2010	13
Queanbeyan	LKA	2015	34
Queanbeyan	LKA	2016	7
Queanbeyan	LKA	2017	4
Queanbeyan	LKA	2019	5
Queanbeyan	LKA	2020	4
Queanbeyan	MKD		9
Queanbeyan	MKD	1951	6
Queanbeyan	MKD	1960	8
Queanbeyan	MKD	1970	74
Queanbeyan	MKD	1980	142
Queanbeyan	MKD	1990	137
Queanbeyan	MKD	2000	84
Queanbeyan	MKD	2010	48
Queanbeyan	MKD	2015	41
Queanbeyan	MKD	2016	3
Queanbeyan	MKD	2019	3
Queanbeyan	MYS		10
Queanbeyan	MYS	1960	4
Queanbeyan	MYS	1970	15
Queanbeyan	MYS	1980	25
