SA3_NAME16	CoupleFamily	HasChild	IncomeFamily.max	families
Queanbeyan				4
Queanbeyan			26250	3
Queanbeyan			34125	7
Queanbeyan			42000	9
Queanbeyan			52500	15
Queanbeyan			65625	20
Queanbeyan			78750	28
Queanbeyan			91875	15
Queanbeyan			105000	21
Queanbeyan			131250	35
Queanbeyan			157500	15
Queanbeyan			183750	15
Queanbeyan			210000	10
Queanbeyan			Inf	11
Queanbeyan	0			222
Queanbeyan	0		0	29
Queanbeyan	0		7875	3
Queanbeyan	0		15750	30
Queanbeyan	0		21000	43
Queanbeyan	0		26250	77
Queanbeyan	0		34125	129
Queanbeyan	0		42000	106
Queanbeyan	0		52500	184
Queanbeyan	0		65625	197
Queanbeyan	0		78750	180
Queanbeyan	0		91875	200
Queanbeyan	0		105000	186
Queanbeyan	0		131250	333
Queanbeyan	0		157500	140
Queanbeyan	0		183750	124
Queanbeyan	0		210000	48
Queanbeyan	0		Inf	125
Queanbeyan	1	0		962
Queanbeyan	1	0	0	109
Queanbeyan	1	0	7875	36
Queanbeyan	1	0	15750	21
Queanbeyan	1	0	21000	23
Queanbeyan	1	0	26250	100
Queanbeyan	1	0	34125	69
Queanbeyan	1	0	42000	348
Queanbeyan	1	0	52500	375
Queanbeyan	1	0	65625	476
Queanbeyan	1	0	78750	682
Queanbeyan	1	0	91875	572
Queanbeyan	1	0	105000	707
Queanbeyan	1	0	131250	1739
Queanbeyan	1	0	157500	1638
Queanbeyan	1	0	183750	1598
Queanbeyan	1	0	210000	1271
Queanbeyan	1	0	Inf	4314
Queanbeyan	1	1	7875	5
Queanbeyan	1	1	15750	9
Queanbeyan	1	1	21000	5
Queanbeyan	1	1	26250	15
Queanbeyan	1	1	34125	27
Queanbeyan	1	1	42000	54
Snowy Mountains			21000	4
Snowy Mountains			34125	6
Snowy Mountains			42000	9
Snowy Mountains			52500	9
Snowy Mountains			65625	6
Snowy Mountains			91875	6
Snowy Mountains			105000	3
Snowy Mountains			131250	12
Snowy Mountains			157500	3
Snowy Mountains	0			57
Snowy Mountains	0		0	3
Snowy Mountains	0		7875	5
Snowy Mountains	0		15750	5
Snowy Mountains	0		21000	7
Snowy Mountains	0		26250	40
Snowy Mountains	0		34125	54
Snowy Mountains	0		42000	54
Snowy Mountains	0		52500	92
Snowy Mountains	0		65625	63
Snowy Mountains	0		78750	68
Snowy Mountains	0		91875	46
Snowy Mountains	0		105000	40
Snowy Mountains	0		131250	69
Snowy Mountains	0		157500	35
Snowy Mountains	0		183750	23
Snowy Mountains	0		210000	15
Snowy Mountains	0		Inf	21
Snowy Mountains	1	0		373
Snowy Mountains	1	0	0	39
Snowy Mountains	1	0	7875	17
Snowy Mountains	1	0	15750	11
Snowy Mountains	1	0	21000	11
Snowy Mountains	1	0	26250	51
Snowy Mountains	1	0	34125	42
Snowy Mountains	1	0	42000	263
Snowy Mountains	1	0	52500	182
Snowy Mountains	1	0	65625	253
Snowy Mountains	1	0	78750	343
Snowy Mountains	1	0	91875	222
Snowy Mountains	1	0	105000	262
Snowy Mountains	1	0	131250	637
Snowy Mountains	1	0	157500	463
Snowy Mountains	1	0	183750	403
Snowy Mountains	1	0	210000	226
Snowy Mountains	1	0	Inf	536
Snowy Mountains	1	1	7875	6
Snowy Mountains	1	1	15750	6
Snowy Mountains	1	1	26250	7
Snowy Mountains	1	1	34125	8
Snowy Mountains	1	1	42000	15
South Coast				6
South Coast			0	3
South Coast			7875	4
South Coast			26250	3
South Coast			34125	4
South Coast			42000	17
South Coast			52500	39
South Coast			65625	33
South Coast			78750	32
South Coast			91875	13
South Coast			105000	12
South Coast			131250	22
South Coast			157500	13
South Coast			Inf	4
South Coast	0			350
South Coast	0		0	37
South Coast	0		7875	20
South Coast	0		15750	40
South Coast	0		21000	89
South Coast	0		26250	149
South Coast	0		34125	260
South Coast	0		42000	283
South Coast	0		52500	418
South Coast	0		65625	398
South Coast	0		78750	331
South Coast	0		91875	193
South Coast	0		105000	175
South Coast	0		131250	227
South Coast	0		157500	95
South Coast	0		183750	38
South Coast	0		210000	23
South Coast	0		Inf	45
South Coast	1	0		1352
South Coast	1	0	0	230
South Coast	1	0	7875	123
South Coast	1	0	15750	65
South Coast	1	0	21000	72
South Coast	1	0	26250	376
South Coast	1	0	34125	283
South Coast	1	0	42000	1772
South Coast	1	0	52500	1337
South Coast	1	0	65625	1570
South Coast	1	0	78750	1925
South Coast	1	0	91875	1113
South Coast	1	0	105000	1206
South Coast	1	0	131250	2258
South Coast	1	0	157500	1449
South Coast	1	0	183750	994
South Coast	1	0	210000	532
South Coast	1	0	Inf	1103
