SA4_NAME21	AgeStudent	students
Capital Region	0-4	3661
Capital Region	5-14	26321
Capital Region	15-19	9131
Capital Region	20-24	2931
Capital Region	25+	7991
Central Coast	0-4	6458
Central Coast	5-14	40307
Central Coast	15-19	14985
Central Coast	20-24	6147
Central Coast	25+	11477
Central West	0-4	3655
Central West	5-14	26354
Central West	15-19	8724
Central West	20-24	2899
Central West	25+	6375
Coffs Harbour - Grafton	0-4	2207
Coffs Harbour - Grafton	5-14	16242
Coffs Harbour - Grafton	15-19	5385
Coffs Harbour - Grafton	20-24	1560
Coffs Harbour - Grafton	25+	4743
Far West and Orana	0-4	2077
Far West and Orana	5-14	13164
Far West and Orana	15-19	3888
Far West and Orana	20-24	1071
Far West and Orana	25+	3235
Hunter Valley exc Newcastle	0-4	5418
Hunter Valley exc Newcastle	5-14	36865
Hunter Valley exc Newcastle	15-19	12009
Hunter Valley exc Newcastle	20-24	4323
Hunter Valley exc Newcastle	25+	8960
Illawarra	0-4	5957
Illawarra	5-14	36195
Illawarra	15-19	14828
Illawarra	20-24	9006
Illawarra	25+	12139
Mid North Coast	0-4	3118
Mid North Coast	5-14	23420
Mid North Coast	15-19	8283
Mid North Coast	20-24	2418
Mid North Coast	25+	6183
Murray	0-4	2041
Murray	5-14	13808
Murray	15-19	4912
Murray	20-24	1662
Murray	25+	3599
New England and North West	0-4	3066
New England and North West	5-14	21912
New England and North West	15-19	7305
New England and North West	20-24	2541
New England and North West	25+	5734
Newcastle and Lake Macquarie	0-4	7061
Newcastle and Lake Macquarie	5-14	44204
Newcastle and Lake Macquarie	15-19	16831
Newcastle and Lake Macquarie	20-24	11285
Newcastle and Lake Macquarie	25+	16257
Richmond - Tweed	0-4	3708
Richmond - Tweed	5-14	27588
Richmond - Tweed	15-19	9536
Richmond - Tweed	20-24	3158
Richmond - Tweed	25+	9094
Riverina	0-4	2929
Riverina	5-14	19913
Riverina	15-19	7100
Riverina	20-24	2832
Riverina	25+	5183
Southern Highlands and Shoalhaven	0-4	2541
Southern Highlands and Shoalhaven	5-14	16705
Southern Highlands and Shoalhaven	15-19	5944
Southern Highlands and Shoalhaven	20-24	1872
Southern Highlands and Shoalhaven	25+	4593
Sydney - Baulkham Hills and Hawkesbury	0-4	5092
Sydney - Baulkham Hills and Hawkesbury	5-14	38174
Sydney - Baulkham Hills and Hawkesbury	15-19	15962
Sydney - Baulkham Hills and Hawkesbury	20-24	7984
Sydney - Baulkham Hills and Hawkesbury	25+	8962
Sydney - Blacktown	0-4	8173
Sydney - Blacktown	5-14	56216
Sydney - Blacktown	15-19	19316
Sydney - Blacktown	20-24	11071
Sydney - Blacktown	25+	16672
Sydney - City and Inner South	0-4	3691
Sydney - City and Inner South	5-14	17945
Sydney - City and Inner South	15-19	8487
Sydney - City and Inner South	20-24	17161
Sydney - City and Inner South	25+	30906
Sydney - Eastern Suburbs	0-4	4293
Sydney - Eastern Suburbs	5-14	25396
Sydney - Eastern Suburbs	15-19	10940
Sydney - Eastern Suburbs	20-24	8959
Sydney - Eastern Suburbs	25+	14662
Sydney - Inner South West	0-4	10187
Sydney - Inner South West	5-14	66403
Sydney - Inner South West	15-19	28027
Sydney - Inner South West	20-24	21393
Sydney - Inner South West	25+	30396
Sydney - Inner West	0-4	4834
Sydney - Inner West	5-14	28827
Sydney - Inner West	15-19	12064
Sydney - Inner West	20-24	12913
Sydney - Inner West	25+	18672
Sydney - North Sydney and Hornsby	0-4	7736
Sydney - North Sydney and Hornsby	5-14	52807
Sydney - North Sydney and Hornsby	15-19	22389
Sydney - North Sydney and Hornsby	20-24	13070
Sydney - North Sydney and Hornsby	25+	19481
Sydney - Northern Beaches	0-4	5125
Sydney - Northern Beaches	5-14	33374
Sydney - Northern Beaches	15-19	14299
Sydney - Northern Beaches	20-24	7001
Sydney - Northern Beaches	25+	9418
Sydney - Outer South West	0-4	6207
Sydney - Outer South West	5-14	41171
Sydney - Outer South West	15-19	14552
Sydney - Outer South West	20-24	6290
Sydney - Outer South West	25+	10052
Sydney - Outer West and Blue Mountains	0-4	6490
Sydney - Outer West and Blue Mountains	5-14	41834
Sydney - Outer West and Blue Mountains	15-19	15260
Sydney - Outer West and Blue Mountains	20-24	6718
Sydney - Outer West and Blue Mountains	25+	11998
Sydney - Parramatta	0-4	8568
Sydney - Parramatta	5-14	56275
Sydney - Parramatta	15-19	20847
Sydney - Parramatta	20-24	18581
Sydney - Parramatta	25+	27305
Sydney - Ryde	0-4	3529
Sydney - Ryde	5-14	22755
Sydney - Ryde	15-19	9447
Sydney - Ryde	20-24	7679
Sydney - Ryde	25+	11403
Sydney - South West	0-4	8002
Sydney - South West	5-14	61327
Sydney - South West	15-19	25603
Sydney - South West	20-24	13577
Sydney - South West	25+	18077
Sydney - Sutherland	0-4	4673
Sydney - Sutherland	5-14	28133
Sydney - Sutherland	15-19	12056
Sydney - Sutherland	20-24	5530
Sydney - Sutherland	25+	7383
No usual address (NSW)	0-4	65
No usual address (NSW)	5-14	425
No usual address (NSW)	15-19	188
No usual address (NSW)	20-24	130
No usual address (NSW)	25+	337
Ballarat	0-4	2796
Ballarat	5-14	20250
Ballarat	15-19	7520
Ballarat	20-24	3115
Ballarat	25+	5982
Bendigo	0-4	2574
Bendigo	5-14	19437
Bendigo	15-19	7005
Bendigo	20-24	2882
Bendigo	25+	5316
Geelong	0-4	5778
Geelong	5-14	37869
Geelong	15-19	14573
Geelong	20-24	8107
Geelong	25+	12440
Hume	0-4	2748
Hume	5-14	20477
Hume	15-19	7579
Hume	20-24	2336
Hume	25+	5482
Latrobe - Gippsland	0-4	4280
Latrobe - Gippsland	5-14	32252
Latrobe - Gippsland	15-19	11338
Latrobe - Gippsland	20-24	3375
Latrobe - Gippsland	25+	7998
Melbourne - Inner	0-4	7295
Melbourne - Inner	5-14	40134
Melbourne - Inner	15-19	20349
Melbourne - Inner	20-24	32846
Melbourne - Inner	25+	50330
Melbourne - Inner East	0-4	5656
Melbourne - Inner East	5-14	41548
Melbourne - Inner East	15-19	21966
Melbourne - Inner East	20-24	16733
Melbourne - Inner East	25+	17981
Melbourne - Inner South	0-4	7574
Melbourne - Inner South	5-14	49812
Melbourne - Inner South	15-19	22776
Melbourne - Inner South	20-24	14128
Melbourne - Inner South	25+	16797
Melbourne - North East	0-4	10679
Melbourne - North East	5-14	65455
Melbourne - North East	15-19	25566
Melbourne - North East	20-24	15654
Melbourne - North East	25+	23807
Melbourne - North West	0-4	8187
Melbourne - North West	5-14	53879
Melbourne - North West	15-19	20435
Melbourne - North West	20-24	11879
Melbourne - North West	25+	18250
Melbourne - Outer East	0-4	9461
Melbourne - Outer East	5-14	60911
Melbourne - Outer East	15-19	26091
Melbourne - Outer East	20-24	13287
Melbourne - Outer East	25+	18602
Melbourne - South East	0-4	15685
Melbourne - South East	5-14	107233
Melbourne - South East	15-19	43121
Melbourne - South East	20-24	29220
Melbourne - South East	25+	39452
Melbourne - West	0-4	17239
Melbourne - West	5-14	112064
Melbourne - West	15-19	38574
Melbourne - West	20-24	23687
Melbourne - West	25+	39803
Mornington Peninsula	0-4	5236
Mornington Peninsula	5-14	34493
Mornington Peninsula	15-19	13504
Mornington Peninsula	20-24	5614
Mornington Peninsula	25+	9284
North West	0-4	2338
North West	5-14	16792
North West	15-19	5682
North West	20-24	1635
North West	25+	3824
Shepparton	0-4	2010
Shepparton	5-14	15808
Shepparton	15-19	5781
Shepparton	20-24	1753
Shepparton	25+	3698
Warrnambool and South West	0-4	1836
Warrnambool and South West	5-14	14165
Warrnambool and South West	15-19	5321
Warrnambool and South West	20-24	1372
