SA4_NAME16	HomeCensusNight	Sex	persons
Capital Region	0	F	5263
Capital Region	0	M	5790
Capital Region	1	F	114459
Capital Region	1	M	113306
Central Coast	0	F	4913
Central Coast	0	M	5388
Central Coast	1	F	173704
Central Coast	1	M	162592
Central West	0	F	4191
Central West	0	M	5021
Central West	1	F	102572
Central West	1	M	101180
Coffs Harbour - Grafton	0	F	2986
Coffs Harbour - Grafton	0	M	3481
Coffs Harbour - Grafton	1	F	71649
Coffs Harbour - Grafton	1	M	68012
Far West and Orana	0	F	2647
Far West and Orana	0	M	3465
Far West and Orana	1	F	55599
Far West and Orana	1	M	53853
Hunter Valley exc Newcastle	0	F	4919
Hunter Valley exc Newcastle	0	M	5844
Hunter Valley exc Newcastle	1	F	141887
Hunter Valley exc Newcastle	1	M	139297
Illawarra	0	F	4763
Illawarra	0	M	5054
Illawarra	1	F	155009
Illawarra	1	M	149016
Mid North Coast	0	F	4895
Mid North Coast	0	M	5473
Mid North Coast	1	F	112811
Mid North Coast	1	M	105859
Murray	0	F	2759
Murray	0	M	3273
Murray	1	F	59877
Murray	1	M	57647
New England and North West	0	F	3890
New England and North West	0	M	4307
New England and North West	1	F	90403
New England and North West	1	M	86955
Newcastle and Lake Macquarie	0	F	7451
Newcastle and Lake Macquarie	0	M	8226
Newcastle and Lake Macquarie	1	F	192046
Newcastle and Lake Macquarie	1	M	182804
Richmond - Tweed	0	F	5119
Richmond - Tweed	0	M	5488
Richmond - Tweed	1	F	127511
Richmond - Tweed	1	M	118948
Riverina	0	F	3096
Riverina	0	M	3631
Riverina	1	F	79204
Riverina	1	M	77724
Southern Highlands and Shoalhaven	0	F	3391
Southern Highlands and Shoalhaven	0	M	3819
Southern Highlands and Shoalhaven	1	F	78700
Southern Highlands and Shoalhaven	1	M	75095
Sydney - Baulkham Hills and Hawkesbury	0	F	2361
Sydney - Baulkham Hills and Hawkesbury	0	M	2594
Sydney - Baulkham Hills and Hawkesbury	1	F	131171
Sydney - Baulkham Hills and Hawkesbury	1	M	128243
Sydney - Blacktown	0	F	2980
Sydney - Blacktown	0	M	3332
Sydney - Blacktown	1	F	197915
