SA4_NAME21	IndigenousStatus	persons
Capital Region	Aboriginal	9804
Capital Region	Both Aboriginal & Torres Strait Islander	148
Capital Region	Non-indigenous	228672
Capital Region	Torres Strait Islander	186
Central Coast	Aboriginal	16457
Central Coast	Both Aboriginal & Torres Strait Islander	278
Central Coast	Non-indigenous	329547
Central Coast	Torres Strait Islander	314
Central West	Aboriginal	16597
Central West	Both Aboriginal & Torres Strait Islander	312
Central West	Non-indigenous	195809
Central West	Torres Strait Islander	244
Coffs Harbour - Grafton	Aboriginal	9094
Coffs Harbour - Grafton	Both Aboriginal & Torres Strait Islander	229
Coffs Harbour - Grafton	Non-indigenous	136615
Coffs Harbour - Grafton	Torres Strait Islander	189
Far West and Orana	Aboriginal	19159
Far West and Orana	Both Aboriginal & Torres Strait Islander	314
Far West and Orana	Non-indigenous	95976
Far West and Orana	Torres Strait Islander	117
Hunter Valley exc Newcastle	Aboriginal	22306
Hunter Valley exc Newcastle	Both Aboriginal & Torres Strait Islander	559
Hunter Valley exc Newcastle	Non-indigenous	268636
Hunter Valley exc Newcastle	Torres Strait Islander	445
Illawarra	Aboriginal	10900
Illawarra	Both Aboriginal & Torres Strait Islander	169
Illawarra	Non-indigenous	302558
Illawarra	Torres Strait Islander	215
Mid North Coast	Aboriginal	16498
Mid North Coast	Both Aboriginal & Torres Strait Islander	327
Mid North Coast	Non-indigenous	211958
Mid North Coast	Torres Strait Islander	252
Murray	Aboriginal	4779
Murray	Both Aboriginal & Torres Strait Islander	134
Murray	Non-indigenous	118549
Murray	Torres Strait Islander	90
New England and North West	Aboriginal	21246
New England and North West	Both Aboriginal & Torres Strait Islander	522
New England and North West	Non-indigenous	163508
New England and North West	Torres Strait Islander	284
Newcastle and Lake Macquarie	Aboriginal	19202
Newcastle and Lake Macquarie	Both Aboriginal & Torres Strait Islander	323
Newcastle and Lake Macquarie	Non-indigenous	370647
Newcastle and Lake Macquarie	Torres Strait Islander	347
Richmond - Tweed	Aboriginal	10734
Richmond - Tweed	Both Aboriginal & Torres Strait Islander	648
Richmond - Tweed	Non-indigenous	245245
Richmond - Tweed	Torres Strait Islander	434
Riverina	Aboriginal	10493
Riverina	Both Aboriginal & Torres Strait Islander	161
Riverina	Non-indigenous	152821
Riverina	Torres Strait Islander	181
Southern Highlands and Shoalhaven	Aboriginal	7952
Southern Highlands and Shoalhaven	Both Aboriginal & Torres Strait Islander	154
Southern Highlands and Shoalhaven	Non-indigenous	152748
Southern Highlands and Shoalhaven	Torres Strait Islander	152
Sydney - Baulkham Hills and Hawkesbury	Aboriginal	2608
Sydney - Baulkham Hills and Hawkesbury	Both Aboriginal & Torres Strait Islander	61
Sydney - Baulkham Hills and Hawkesbury	Non-indigenous	261657
Sydney - Baulkham Hills and Hawkesbury	Torres Strait Islander	45
Sydney - Blacktown	Aboriginal	11349
Sydney - Blacktown	Both Aboriginal & Torres Strait Islander	267
Sydney - Blacktown	Non-indigenous	389162
Sydney - Blacktown	Torres Strait Islander	219
Sydney - City and Inner South	Aboriginal	4805
Sydney - City and Inner South	Both Aboriginal & Torres Strait Islander	121
Sydney - City and Inner South	Non-indigenous	326293
Sydney - City and Inner South	Torres Strait Islander	121
Sydney - Eastern Suburbs	Aboriginal	2688
Sydney - Eastern Suburbs	Both Aboriginal & Torres Strait Islander	90
Sydney - Eastern Suburbs	Non-indigenous	258559
Sydney - Eastern Suburbs	Torres Strait Islander	73
Sydney - Inner South West	Aboriginal	4132
Sydney - Inner South West	Both Aboriginal & Torres Strait Islander	124
Sydney - Inner South West	Non-indigenous	600704
Sydney - Inner South West	Torres Strait Islander	158
Sydney - Inner West	Aboriginal	2041
Sydney - Inner West	Both Aboriginal & Torres Strait Islander	82
Sydney - Inner West	Non-indigenous	302562
Sydney - Inner West	Torres Strait Islander	86
Sydney - North Sydney and Hornsby	Aboriginal	1483
Sydney - North Sydney and Hornsby	Both Aboriginal & Torres Strait Islander	43
Sydney - North Sydney and Hornsby	Non-indigenous	422448
Sydney - North Sydney and Hornsby	Torres Strait Islander	71
Sydney - Northern Beaches	Aboriginal	1600
Sydney - Northern Beaches	Both Aboriginal & Torres Strait Islander	52
Sydney - Northern Beaches	Non-indigenous	261844
Sydney - Northern Beaches	Torres Strait Islander	58
Sydney - Outer South West	Aboriginal	11625
Sydney - Outer South West	Both Aboriginal & Torres Strait Islander	185
Sydney - Outer South West	Non-indigenous	285284
Sydney - Outer South West	Torres Strait Islander	198
Sydney - Outer West and Blue Mountains	Aboriginal	14815
Sydney - Outer West and Blue Mountains	Both Aboriginal & Torres Strait Islander	213
Sydney - Outer West and Blue Mountains	Non-indigenous	316795
Sydney - Outer West and Blue Mountains	Torres Strait Islander	233
Sydney - Parramatta	Aboriginal	3495
Sydney - Parramatta	Both Aboriginal & Torres Strait Islander	93
Sydney - Parramatta	Non-indigenous	489770
Sydney - Parramatta	Torres Strait Islander	157
Sydney - Ryde	Aboriginal	785
Sydney - Ryde	Both Aboriginal & Torres Strait Islander	29
Sydney - Ryde	Non-indigenous	201183
Sydney - Ryde	Torres Strait Islander	41
Sydney - South West	Aboriginal	6138
Sydney - South West	Both Aboriginal & Torres Strait Islander	124
Sydney - South West	Non-indigenous	468038
Sydney - South West	Torres Strait Islander	130
Sydney - Sutherland	Aboriginal	3122
Sydney - Sutherland	Both Aboriginal & Torres Strait Islander	66
Sydney - Sutherland	Non-indigenous	226342
Sydney - Sutherland	Torres Strait Islander	74
No usual address (NSW)	Aboriginal	1175
No usual address (NSW)	Both Aboriginal & Torres Strait Islander	35
No usual address (NSW)	Non-indigenous	10141
No usual address (NSW)	Torres Strait Islander	20
Ballarat	Aboriginal	2907
