SA4_NAME21	Religion	Denomination	Sex	persons
Capital Region	(Other)		F	9118
Capital Region	(Other)		M	10666
Capital Region	(Other)	(Other)	F	481
Capital Region	(Other)	(Other)	M	320
Capital Region	(Other)	Australian Aboriginal Traditional	F	29
Capital Region	(Other)	Australian Aboriginal Traditional	M	30
Capital Region	(Other)	Other spiritual beliefs	F	280
Capital Region	(Other)	Other spiritual beliefs	M	190
Capital Region	(Other)	Secular beliefs	F	335
Capital Region	(Other)	Secular beliefs	M	419
Capital Region	(Other)	Sikhism	F	419
Capital Region	(Other)	Sikhism	M	493
Capital Region	Buddhism		F	1097
Capital Region	Buddhism		M	739
Capital Region	Christianity		F	2393
Capital Region	Christianity		M	2116
Capital Region	Christianity	(Other)	F	79
Capital Region	Christianity	(Other)	M	62
Capital Region	Christianity	Anglican	F	21357
Capital Region	Christianity	Anglican	M	18616
Capital Region	Christianity	Assyrian Apostolic	F	5
Capital Region	Christianity	Assyrian Apostolic	M	8
Capital Region	Christianity	Baptist	F	1053
Capital Region	Christianity	Baptist	M	1013
Capital Region	Christianity	Brethren	F	256
Capital Region	Christianity	Brethren	M	252
Capital Region	Christianity	Catholic	F	27365
Capital Region	Christianity	Catholic	M	25471
Capital Region	Christianity	Churches Of Christ	F	43
Capital Region	Christianity	Churches Of Christ	M	32
Capital Region	Christianity	Eastern Orthodox	F	1200
Capital Region	Christianity	Eastern Orthodox	M	1266
Capital Region	Christianity	Jehovah's Witnesses	F	530
Capital Region	Christianity	Jehovah's Witnesses	M	377
Capital Region	Christianity	Latter Day Saints	F	133
Capital Region	Christianity	Latter Day Saints	M	107
Capital Region	Christianity	Lutheran	F	493
Capital Region	Christianity	Lutheran	M	371
Capital Region	Christianity	Oriental Orthodox	F	37
Capital Region	Christianity	Oriental Orthodox	M	45
Capital Region	Christianity	Pentecostal	F	726
Capital Region	Christianity	Pentecostal	M	610
Capital Region	Christianity	Presbyterian Reformed	F	2373
Capital Region	Christianity	Presbyterian Reformed	M	2178
Capital Region	Christianity	Protestant (Other)	F	364
Capital Region	Christianity	Protestant (Other)	M	345
Capital Region	Christianity	Salvation Army	F	245
Capital Region	Christianity	Salvation Army	M	216
Capital Region	Christianity	Seventh Day Adventist	F	248
Capital Region	Christianity	Seventh Day Adventist	M	226
Capital Region	Christianity	Uniting Church	F	3482
Capital Region	Christianity	Uniting Church	M	2856
Capital Region	Hinduism		F	1015
Capital Region	Hinduism		M	1179
Capital Region	Islam		F	883
Capital Region	Islam		M	1019
Capital Region	Judaism		F	85
Capital Region	Judaism		M	81
Capital Region	No religion		F	43606
Capital Region	No religion		M	47789
Central Coast	(Other)		F	11370
Central Coast	(Other)		M	11234
Central Coast	(Other)	(Other)	F	573
Central Coast	(Other)	(Other)	M	407
Central Coast	(Other)	Australian Aboriginal Traditional	F	52
Central Coast	(Other)	Australian Aboriginal Traditional	M	64
Central Coast	(Other)	Other spiritual beliefs	F	481
Central Coast	(Other)	Other spiritual beliefs	M	282
Central Coast	(Other)	Secular beliefs	F	455
Central Coast	(Other)	Secular beliefs	M	578
Central Coast	(Other)	Sikhism	F	266
Central Coast	(Other)	Sikhism	M	277
Central Coast	Buddhism		F	2095
Central Coast	Buddhism		M	1316
Central Coast	Christianity		F	4183
Central Coast	Christianity		M	3620
Central Coast	Christianity	(Other)	F	152
Central Coast	Christianity	(Other)	M	128
Central Coast	Christianity	Anglican	F	32140
Central Coast	Christianity	Anglican	M	25964
Central Coast	Christianity	Assyrian Apostolic	F	8
Central Coast	Christianity	Assyrian Apostolic	M	7
Central Coast	Christianity	Baptist	F	2872
Central Coast	Christianity	Baptist	M	2334
Central Coast	Christianity	Brethren	F	141
Central Coast	Christianity	Brethren	M	123
Central Coast	Christianity	Catholic	F	40367
Central Coast	Christianity	Catholic	M	34987
Central Coast	Christianity	Churches Of Christ	F	175
Central Coast	Christianity	Churches Of Christ	M	116
Central Coast	Christianity	Eastern Orthodox	F	1253
Central Coast	Christianity	Eastern Orthodox	M	1181
Central Coast	Christianity	Jehovah's Witnesses	F	809
Central Coast	Christianity	Jehovah's Witnesses	M	570
Central Coast	Christianity	Latter Day Saints	F	377
Central Coast	Christianity	Latter Day Saints	M	324
Central Coast	Christianity	Lutheran	F	375
Central Coast	Christianity	Lutheran	M	296
Central Coast	Christianity	Oriental Orthodox	F	162
Central Coast	Christianity	Oriental Orthodox	M	175
Central Coast	Christianity	Pentecostal	F	1772
Central Coast	Christianity	Pentecostal	M	1387
Central Coast	Christianity	Presbyterian Reformed	F	3756
Central Coast	Christianity	Presbyterian Reformed	M	3142
Central Coast	Christianity	Protestant (Other)	F	1679
Central Coast	Christianity	Protestant (Other)	M	1550
Central Coast	Christianity	Salvation Army	F	376
Central Coast	Christianity	Salvation Army	M	263
Central Coast	Christianity	Seventh Day Adventist	F	720
Central Coast	Christianity	Seventh Day Adventist	M	631
Central Coast	Christianity	Uniting Church	F	4775
Central Coast	Christianity	Uniting Church	M	3544
Central Coast	Hinduism		F	1034
Central Coast	Hinduism		M	1172
Central Coast	Islam		F	690
Central Coast	Islam		M	802
Central Coast	Judaism		F	231
Central Coast	Judaism		M	214
Central Coast	No religion		F	65281
Central Coast	No religion		M	71293
Central West	(Other)		F	8320
Central West	(Other)		M	10301
Central West	(Other)	(Other)	F	359
Central West	(Other)	(Other)	M	238
Central West	(Other)	Australian Aboriginal Traditional	F	35
Central West	(Other)	Australian Aboriginal Traditional	M	33
Central West	(Other)	Other spiritual beliefs	F	149
Central West	(Other)	Other spiritual beliefs	M	87
Central West	(Other)	Secular beliefs	F	209
Central West	(Other)	Secular beliefs	M	270
Central West	(Other)	Sikhism	F	185
Central West	(Other)	Sikhism	M	208
Central West	Buddhism		F	723
Central West	Buddhism		M	511
Central West	Christianity		F	2204
Central West	Christianity		M	2008
Central West	Christianity	(Other)	F	59
Central West	Christianity	(Other)	M	51
Central West	Christianity	Anglican	F	20977
Central West	Christianity	Anglican	M	18535
Central West	Christianity	Assyrian Apostolic	F	5
Central West	Christianity	Assyrian Apostolic	M	6
Central West	Christianity	Baptist	F	1381
Central West	Christianity	Baptist	M	1225
Central West	Christianity	Brethren	F	533
Central West	Christianity	Brethren	M	533
Central West	Christianity	Catholic	F	28494
Central West	Christianity	Catholic	M	26480
Central West	Christianity	Churches Of Christ	F	55
Central West	Christianity	Churches Of Christ	M	42
Central West	Christianity	Eastern Orthodox	F	316
Central West	Christianity	Eastern Orthodox	M	336
Central West	Christianity	Jehovah's Witnesses	F	365
Central West	Christianity	Jehovah's Witnesses	M	285
Central West	Christianity	Latter Day Saints	F	111
Central West	Christianity	Latter Day Saints	M	102
Central West	Christianity	Lutheran	F	274
Central West	Christianity	Lutheran	M	243
Central West	Christianity	Oriental Orthodox	F	28
Central West	Christianity	Oriental Orthodox	M	33
Central West	Christianity	Pentecostal	F	953
Central West	Christianity	Pentecostal	M	774
Central West	Christianity	Presbyterian Reformed	F	3411
Central West	Christianity	Presbyterian Reformed	M	3129
Central West	Christianity	Protestant (Other)	F	478
Central West	Christianity	Protestant (Other)	M	456
Central West	Christianity	Salvation Army	F	245
Central West	Christianity	Salvation Army	M	179
Central West	Christianity	Seventh Day Adventist	F	221
Central West	Christianity	Seventh Day Adventist	M	177
