SED_NAME16	CountryOfBirth	YearOfArrival.max	persons_born_overseas
Albury			51
Albury		1951	39
Albury		1960	102
Albury		1970	148
Albury		1980	153
Albury		1990	101
Albury		2000	76
Albury		2010	272
Albury		2015	302
Albury		2016	46
Albury		2017	43
Albury		2018	73
Albury		2019	112
Albury		2020	26
Albury		2021	8
Albury	AFG	2010	3
Albury	BGD		4
Albury	BGD	2000	3
Albury	BGD	2010	23
Albury	BGD	2015	36
Albury	BGD	2016	3
Albury	BGD	2017	4
Albury	BGD	2020	6
Albury	BGD	2021	3
Albury	CAN	1970	6
Albury	CAN	1980	9
Albury	CAN	1990	4
Albury	CAN	2000	15
Albury	CAN	2010	17
Albury	CAN	2015	12
Albury	CAN	2017	3
Albury	CAN	2018	3
Albury	CHN		6
Albury	CHN	1980	4
Albury	CHN	1990	3
Albury	CHN	2000	22
Albury	CHN	2010	36
Albury	CHN	2015	40
Albury	CHN	2016	18
Albury	CHN	2017	14
Albury	CHN	2018	17
Albury	CHN	2019	18
Albury	CHN	2020	3
Albury	DEU		9
Albury	DEU	1951	62
Albury	DEU	1960	133
Albury	DEU	1970	62
Albury	DEU	1980	26
Albury	DEU	1990	23
Albury	DEU	2000	7
Albury	DEU	2010	16
Albury	DEU	2015	12
Albury	DEU	2017	3
Albury	DEU	2020	7
Albury	EGY	1970	4
Albury	EGY	1980	3
Albury	EGY	2015	4
Albury	FJI	1970	4
Albury	FJI	1980	4
Albury	FJI	1990	19
Albury	FJI	2000	13
Albury	FJI	2010	12
Albury	FJI	2015	10
Albury	FJI	2017	6
Albury	FJI	2018	4
Albury	GBR		87
Albury	GBR	1951	84
Albury	GBR	1960	242
Albury	GBR	1970	606
Albury	GBR	1980	314
Albury	GBR	1990	236
Albury	GBR	2000	101
Albury	GBR	2010	240
Albury	GBR	2015	50
Albury	GBR	2016	11
Albury	GBR	2017	10
Albury	GBR	2018	26
Albury	GBR	2019	16
Albury	GBR	2020	13
Albury	GBR	2021	3
Albury	GRC		4
Albury	GRC	1951	5
Albury	GRC	1960	23
Albury	GRC	1970	14
Albury	GRC	1980	3
Albury	GRC	1990	8
Albury	GRC	2010	5
Albury	HKG		5
Albury	HKG	1970	3
Albury	HKG	1980	5
Albury	HKG	1990	10
Albury	HKG	2010	3
Albury	HKG	2015	8
Albury	HKG	2016	3
Albury	HKG	2017	3
Albury	HRV	1960	13
Albury	HRV	1970	30
Albury	HRV	1980	9
Albury	HRV	1990	6
Albury	HRV	2000	7
Albury	IDN	2000	4
Albury	IDN	2010	15
Albury	IDN	2015	14
Albury	IDN	2016	3
Albury	IDN	2020	3
Albury	IND		14
Albury	IND	1951	6
Albury	IND	1970	10
Albury	IND	1980	7
Albury	IND	1990	11
Albury	IND	2000	18
Albury	IND	2010	286
Albury	IND	2015	323
Albury	IND	2016	104
Albury	IND	2017	127
Albury	IND	2018	105
Albury	IND	2019	88
Albury	IND	2020	30
Albury	IND	2021	7
Albury	IRL		4
Albury	IRL	1960	9
Albury	IRL	1970	13
Albury	IRL	1980	7
Albury	IRL	1990	10
Albury	IRL	2000	4
Albury	IRL	2010	17
Albury	IRL	2015	19
Albury	IRN	1990	7
Albury	IRN	2000	6
Albury	IRN	2010	10
Albury	IRN	2015	6
Albury	IRQ	2000	5
Albury	IRQ	2010	7
Albury	IRQ	2015	5
Albury	IRQ	2017	3
Albury	ITA		11
Albury	ITA	1951	7
Albury	ITA	1960	49
Albury	ITA	1970	28
Albury	ITA	1980	9
Albury	ITA	2010	4
Albury	ITA	2015	8
Albury	ITA	2018	10
Albury	ITA	2019	4
Albury	JPN	2010	16
Albury	JPN	2015	3
Albury	KOR		3
Albury	KOR	1990	3
Albury	KOR	2000	3
Albury	KOR	2010	16
Albury	KOR	2015	11
Albury	KOR	2016	3
Albury	KOR	2017	10
Albury	KOR	2018	3
Albury	KOR	2019	10
Albury	KOR	2020	3
Albury	LBN		5
Albury	LBN	1970	3
Albury	LBN	1980	5
Albury	LBN	2000	3
Albury	LBN	2010	8
Albury	LKA	1960	4
Albury	LKA	1980	4
Albury	LKA	1990	6
Albury	LKA	2000	14
Albury	LKA	2010	8
Albury	LKA	2015	19
Albury	LKA	2016	13
Albury	LKA	2017	6
Albury	LKA	2018	14
Albury	LKA	2019	4
Albury	LKA	2021	4
Albury	MKD		5
Albury	MKD	1970	4
Albury	MYS		3
Albury	MYS	1970	5
Albury	MYS	1980	14
Albury	MYS	1990	6
Albury	MYS	2000	3
Albury	MYS	2010	8
Albury	MYS	2015	11
Albury	MYS	2017	7
Albury	MYS	2019	6
Albury	NLD		3
Albury	NLD	1951	16
Albury	NLD	1960	159
Albury	NLD	1970	41
Albury	NLD	1980	18
Albury	NLD	1990	12
Albury	NLD	2000	10
Albury	NLD	2010	10
Albury	NLD	2015	9
Albury	NPL		10
Albury	NPL	2010	82
Albury	NPL	2015	159
Albury	NPL	2016	28
Albury	NPL	2017	45
Albury	NPL	2018	23
Albury	NPL	2019	15
Albury	NZL		37
Albury	NZL	1951	5
Albury	NZL	1960	18
Albury	NZL	1970	67
Albury	NZL	1980	145
Albury	NZL	1990	181
Albury	NZL	2000	128
Albury	NZL	2010	139
Albury	NZL	2015	66
Albury	NZL	2016	14
Albury	NZL	2018	15
Albury	NZL	2019	11
Albury	NZL	2020	9
Albury	NZL	2021	4
Albury	PAK	2010	10
Albury	PAK	2015	32
Albury	PAK	2016	9
Albury	PAK	2017	9
Albury	PAK	2018	13
Albury	PHL		21
Albury	PHL	1970	7
Albury	PHL	1980	11
Albury	PHL	1990	67
Albury	PHL	2000	47
Albury	PHL	2010	124
Albury	PHL	2015	121
Albury	PHL	2016	24
Albury	PHL	2017	15
Albury	PHL	2018	38
Albury	PHL	2019	44
Albury	PHL	2020	9
Albury	POL		3
Albury	POL	1951	6
Albury	POL	1970	9
Albury	POL	1980	3
Albury	POL	1990	11
Albury	POL	2000	5
Albury	POL	2010	3
Albury	SGP	1960	3
Albury	SGP	1980	7
Albury	SGP	1990	11
Albury	SGP	2000	4
Albury	SGP	2010	6
Albury	SGP	2015	7
Albury	SGP	2017	4
Albury	THA		14
Albury	THA	1980	5
Albury	THA	1990	7
Albury	THA	2000	10
Albury	THA	2010	40
Albury	THA	2015	26
Albury	THA	2016	13
Albury	THA	2017	10
Albury	THA	2018	3
Albury	THA	2019	3
Albury	TWN	2015	6
Albury	TWN	2017	6
Albury	TWN	2018	5
Albury	TWN	2019	4
Albury	USA		6
Albury	USA	1951	4
Albury	USA	1960	5
Albury	USA	1970	8
Albury	USA	1980	14
