STE_NAME16	Ancestry	responses
New South Wales		511302
New South Wales	Australian	2307547
New South Wales	Australian Aboriginal	259587
New South Wales	Chinese	581635
New South Wales	Croatian	54754
New South Wales	Dutch	87088
New South Wales	English	2404993
New South Wales	Filipino	152793
New South Wales	French	48647
New South Wales	German	242551
New South Wales	Greek	141624
New South Wales	Hungarian	26444
New South Wales	Indian	261105
New South Wales	Irish	735351
New South Wales	Italian	301830
New South Wales	Korean	72500
New South Wales	Lebanese	178298
New South Wales	Macedonian	43773
New South Wales	Maltese	78938
New South Wales	Maori	39722
New South Wales	NZ	52595
New South Wales	(Other)	1234729
New South Wales	Polish	59753
New South Wales	Russian	35558
New South Wales	Samoan	34064
New South Wales	Scottish	620359
New South Wales	Serbian	36046
New South Wales	South African	39548
New South Wales	Spanish	50426
New South Wales	Sri Lankan	21123
New South Wales	Vietnamese	124027
New South Wales	Welsh	44867
Victoria		378708
Victoria	Australian	1770727
Victoria	Australian Aboriginal	62528
Victoria	Chinese	427475
Victoria	Croatian	51246
Victoria	Dutch	109264
Victoria	English	1900091
Victoria	Filipino	95199
Victoria	French	35148
Victoria	German	212906
Victoria	Greek	181182
Victoria	Hungarian	24801
Victoria	Indian	276771
Victoria	Irish	611790
Victoria	Italian	384693
Victoria	Korean	20511
Victoria	Lebanese	49114
Victoria	Macedonian	49426
Victoria	Maltese	81546
Victoria	Maori	25887
Victoria	NZ	40219
Victoria	(Other)	1014371
Victoria	Polish	62567
Victoria	Russian	27391
Victoria	Samoan	23085
Victoria	Scottish	534457
Victoria	Serbian	30132
Victoria	South African	26082
Victoria	Spanish	28854
Victoria	Sri Lankan	50789
Victoria	Vietnamese	121137
Victoria	Welsh	32033
Queensland		354162
Queensland	Australian	1724656
Queensland	Australian Aboriginal	205918
Queensland	Chinese	160067
Queensland	Croatian	16781
Queensland	Dutch	80828
Queensland	English	1959879
Queensland	Filipino	73808
Queensland	French	33135
Queensland	German	309730
Queensland	Greek	32711
Queensland	Hungarian	14446
Queensland	Indian	93650
Queensland	Irish	567928
Queensland	Italian	152574
Queensland	Korean	25385
Queensland	Lebanese	9423
Queensland	Macedonian	3339
Queensland	Maltese	22118
Queensland	Maori	65039
Queensland	NZ	67258
Queensland	(Other)	565051
Queensland	Polish	32812
Queensland	Russian	17572
Queensland	Samoan	35237
Queensland	Scottish	527010
Queensland	Serbian	10120
Queensland	South African	35223
Queensland	Spanish	25704
Queensland	Sri Lankan	9568
Queensland	Vietnamese	33853
Queensland	Welsh	34675
South Australia		87580
South Australia	Australian	578829
South Australia	Australian Aboriginal	39361
South Australia	Chinese	58899
South Australia	Croatian	10183
South Australia	Dutch	29589
South Australia	English	676558
South Australia	Filipino	21250
South Australia	French	8181
South Australia	German	135224
South Australia	Greek	40703
South Australia	Hungarian	6122
South Australia	Indian	43601
South Australia	Irish	136038
South Australia	Italian	103910
South Australia	Korean	4817
South Australia	Lebanese	5951
South Australia	Macedonian	1821
South Australia	Maltese	7876
South Australia	Maori	3924
South Australia	NZ	6805
South Australia	(Other)	195534
South Australia	Polish	20394
South Australia	Russian	6926
South Australia	Samoan	601
South Australia	Scottish	149449
South Australia	Serbian	7341
South Australia	South African	6289
South Australia	Spanish	5799
South Australia	Sri Lankan	3534
South Australia	Vietnamese	22902
South Australia	Welsh	12809
Western Australia		176366
Western Australia	Australian	789272
Western Australia	Australian Aboriginal	81118
Western Australia	Chinese	116847
Western Australia	Croatian	24114
Western Australia	Dutch	52844
Western Australia	English	1000789
Western Australia	Filipino	46780
Western Australia	French	17310
Western Australia	German	78330
Western Australia	Greek	16115
Western Australia	Hungarian	5709
Western Australia	Indian	77361
Western Australia	Irish	233326
Western Australia	Italian	137251
Western Australia	Korean	8732
Western Australia	Lebanese	3426
Western Australia	Macedonian	11330
Western Australia	Maltese	5246
Western Australia	Maori	31046
Western Australia	NZ	29432
Western Australia	(Other)	349635
Western Australia	Polish	23572
Western Australia	Russian	7218
Western Australia	Samoan	3344
Western Australia	Scottish	232552
Western Australia	Serbian	8566
Western Australia	South African	33312
Western Australia	Spanish	12590
Western Australia	Sri Lankan	7119
Western Australia	Vietnamese	23700
Western Australia	Welsh	23815
Tasmania		30960
Tasmania	Australian	225194
Tasmania	Australian Aboriginal	26924
Tasmania	Chinese	12333
Tasmania	Croatian	1280
Tasmania	Dutch	11839
Tasmania	English	243584
Tasmania	Filipino	3395
Tasmania	French	2284
Tasmania	German	19881
Tasmania	Greek	2604
Tasmania	Hungarian	1128
Tasmania	Indian	5864
Tasmania	Irish	56616
Tasmania	Italian	8460
Tasmania	Korean	978
Tasmania	Lebanese	454
Tasmania	Macedonian	138
Tasmania	Maltese	848
Tasmania	Maori	1268
Tasmania	NZ	2645
Tasmania	(Other)	43037
Tasmania	Polish	4133
Tasmania	Russian	1042
Tasmania	Samoan	212
Tasmania	Scottish	52615
Tasmania	Serbian	467
Tasmania	South African	1477
Tasmania	Spanish	1309
Tasmania	Sri Lankan	736
Tasmania	Vietnamese	1503
Tasmania	Welsh	3249
Northern Territory		23326
Northern Territory	Australian	56046
Northern Territory	Australian Aboriginal	57083
Northern Territory	Chinese	6930
Northern Territory	Croatian	364
Northern Territory	Dutch	2627
Northern Territory	English	53832
Northern Territory	Filipino	8246
Northern Territory	French	1090
Northern Territory	German	8346
Northern Territory	Greek	4266
Northern Territory	Hungarian	351
Northern Territory	Indian	5199
Northern Territory	Irish	16920
Northern Territory	Italian	4394
Northern Territory	Korean	490
Northern Territory	Lebanese	185
Northern Territory	Macedonian	85
Northern Territory	Maltese	434
Northern Territory	Maori	1739
Northern Territory	NZ	1529
Northern Territory	(Other)	30626
Northern Territory	Polish	984
Northern Territory	Russian	376
Northern Territory	Samoan	429
Northern Territory	Scottish	14627
Northern Territory	Serbian	135
Northern Territory	South African	727
Northern Territory	Spanish	886
Northern Territory	Sri Lankan	747
Northern Territory	Vietnamese	1717
Northern Territory	Welsh	995
Australian Capital Territory		20843
Australian Capital Territory	Australian	143350
Australian Capital Territory	Australian Aboriginal	8625
Australian Capital Territory	Chinese	26048
Australian Capital Territory	Croatian	5626
Australian Capital Territory	Dutch	7826
Australian Capital Territory	English	145292
Australian Capital Territory	Filipino	7300
Australian Capital Territory	French	3113
Australian Capital Territory	German	19095
Australian Capital Territory	Greek	5530
Australian Capital Territory	Hungarian	2017
Australian Capital Territory	Indian	20392
Australian Capital Territory	Irish	52671
Australian Capital Territory	Italian	15226
Australian Capital Territory	Korean	3481
Australian Capital Territory	Lebanese	1619
Australian Capital Territory	Macedonian	1462
Australian Capital Territory	Maltese	1966
Australian Capital Territory	Maori	1390
Australian Capital Territory	NZ	2885
Australian Capital Territory	(Other)	76228
Australian Capital Territory	Polish	5038
Australian Capital Territory	Russian	2004
Australian Capital Territory	Samoan	1054
Australian Capital Territory	Scottish	45453
Australian Capital Territory	Serbian	2191
Australian Capital Territory	South African	1984
Australian Capital Territory	Spanish	3115
Australian Capital Territory	Sri Lankan	2333
Australian Capital Territory	Vietnamese	5957
Australian Capital Territory	Welsh	3630
Other Territories		905
Other Territories	Australian	1119
Other Territories	Australian Aboriginal	153
Other Territories	Chinese	395
Other Territories	Croatian	15
Other Territories	Dutch	50
Other Territories	English	914
Other Territories	Filipino	75
Other Territories	French	27
Other Territories	German	88
Other Territories	Hungarian	6
Other Territories	Indian	34
Other Territories	Irish	231
Other Territories	Italian	33
Other Territories	Korean	6
Other Territories	Lebanese	3
Other Territories	Maltese	9
Other Territories	Maori	53
Other Territories	NZ	151
Other Territories	(Other)	1587
Other Territories	Polish	9
Other Territories	Russian	7
Other Territories	Samoan	6
Other Territories	Scottish	266
Other Territories	Serbian	3
Other Territories	South African	16
Other Territories	Spanish	12
Other Territories	Vietnamese	3
Other Territories	Welsh	19
