STE_NAME16	AustCitizen	Sex	persons
New South Wales	0	F	657512
New South Wales	0	M	658615
New South Wales	1	F	3430483
New South Wales	1	M	3325551
Victoria	0	F	559722
Victoria	0	M	553950
Victoria	1	F	2742806
Victoria	1	M	2647013
Queensland	0	F	406155
Queensland	0	M	408025
Queensland	1	F	2209581
Queensland	1	M	2132379
South Australia	0	F	115623
South Australia	0	M	116793
South Australia	1	F	787301
South Australia	1	M	761799
Western Australia	0	F	223313
Western Australia	0	M	233142
Western Australia	1	F	1113858
Western Australia	1	M	1089713
Tasmania	0	F	34397
Tasmania	0	M	36016
Tasmania	1	F	249407
Tasmania	1	M	237749
Northern Territory	0	F	22617
Northern Territory	0	M	24411
Northern Territory	1	F	92458
Northern Territory	1	M	93115
Australian Capital Territory	0	F	32310
Australian Capital Territory	0	M	32181
Australian Capital Territory	1	F	197830
Australian Capital Territory	1	M	192180
Other Territories	0	F	562
Other Territories	0	M	790
Other Territories	1	F	1706
Other Territories	1	M	1730
