STE_NAME21	DwellingStructure	DwellingSubtype	NumberBedrooms.min	occupied_private_dwellings
New South Wales				868
New South Wales			0	408
New South Wales			1	1634
New South Wales			2	2098
New South Wales			3	1423
New South Wales			4	838
New South Wales			5	300
New South Wales			6	191
New South Wales		1 storey		3027
New South Wales		1 storey	0	1035
New South Wales		1 storey	1	12626
New South Wales		1 storey	2	66079
New South Wales		1 storey	3	55966
New South Wales		1 storey	4	8323
New South Wales		1 storey	5	1232
New South Wales		1 storey	6	343
New South Wales		2 storeys or more		2580
New South Wales		2 storeys or more	0	704
New South Wales		2 storeys or more	1	11699
New South Wales		2 storeys or more	2	45506
New South Wales		2 storeys or more	3	95271
New South Wales		2 storeys or more	4	30946
New South Wales		2 storeys or more	5	4384
New South Wales		2 storeys or more	6	856
New South Wales	(Other)			984
New South Wales	(Other)		0	1285
New South Wales	(Other)		1	5640
New South Wales	(Other)		2	7150
New South Wales	(Other)		3	3044
New South Wales	(Other)		4	868
New South Wales	(Other)		5	252
New South Wales	(Other)		6	139
New South Wales	Flat/apartment		0	195
New South Wales	Flat/apartment	1 or 2 storey block		2928
New South Wales	Flat/apartment	1 or 2 storey block	0	3059
New South Wales	Flat/apartment	1 or 2 storey block	1	29403
New South Wales	Flat/apartment	1 or 2 storey block	2	72697
New South Wales	Flat/apartment	1 or 2 storey block	3	21921
New South Wales	Flat/apartment	1 or 2 storey block	4	2455
New South Wales	Flat/apartment	1 or 2 storey block	5	490
New South Wales	Flat/apartment	1 or 2 storey block	6	316
New South Wales	Flat/apartment	3 storey block		2436
New South Wales	Flat/apartment	3 storey block	0	2738
New South Wales	Flat/apartment	3 storey block	1	24806
New South Wales	Flat/apartment	3 storey block	2	111555
New South Wales	Flat/apartment	3 storey block	3	22894
New South Wales	Flat/apartment	3 storey block	4	1044
New South Wales	Flat/apartment	3 storey block	5	136
New South Wales	Flat/apartment	3 storey block	6	133
New South Wales	Flat/apartment	4-8 storey block		2587
New South Wales	Flat/apartment	4-8 storey block	0	4057
New South Wales	Flat/apartment	4-8 storey block	1	42636
New South Wales	Flat/apartment	4-8 storey block	2	116738
New South Wales	Flat/apartment	4-8 storey block	3	29781
New South Wales	Flat/apartment	4-8 storey block	4	1120
New South Wales	Flat/apartment	4-8 storey block	5	149
New South Wales	Flat/apartment	4-8 storey block	6	93
New South Wales	Flat/apartment	9 or more storey block		1636
New South Wales	Flat/apartment	9 or more storey block	0	3391
New South Wales	Flat/apartment	9 or more storey block	1	35366
New South Wales	Flat/apartment	9 or more storey block	2	65494
New South Wales	Flat/apartment	9 or more storey block	3	16634
New South Wales	Flat/apartment	9 or more storey block	4	671
New South Wales	Flat/apartment	9 or more storey block	5	56
New South Wales	Flat/apartment	9 or more storey block	6	52
New South Wales	Flat/apartment	Attached to a house		271
New South Wales	Flat/apartment	Attached to a house	1	1751
New South Wales	Flat/apartment	Attached to a house	2	4171
New South Wales	Flat/apartment	Attached to a house	3	2097
New South Wales	Flat/apartment	Attached to a house	4	1274
New South Wales	Flat/apartment	Attached to a house	5	573
New South Wales	Flat/apartment	Attached to a house	6	225
New South Wales	Separate house			24304
New South Wales	Separate house		0	4168
New South Wales	Separate house		1	25237
New South Wales	Separate house		2	166084
